brand_entity_raw,normalized_brand,brand_alias_source,brand_alias_review_status,brand_entity_source,primary_country,observed_market_region_codes,query_category,product_count,example_product_names,example_off_brands_raw
lu,LU,curated_mechanical_brand_alias,confirmed,existing_company_brand_mapping_token_match,France,FRANCE,snacks,387,PIM'S | Pépito chocolat au lait | Lulu la barquette | La barquette LULU | Tuiles amandes (aux amandes effilees),LU | LU | LU | Lu | LU
coca cola,Coca-Cola,curated_mechanical_brand_alias,confirmed,first_off_brand_token_fallback,France,FRANCE,beverages,327,Coca cola | Vanilla Zero | Aluminum bottles | Coca-Cola zéro orange&vanilla | Cherry Vanilla,"Coca-Cola | Coca-Cola, Coke | Coca-Cola | Coca-Cola, Coke | Coca-Cola"
kellogg's,Kellogg's,curated_mechanical_brand_alias,confirmed,existing_company_brand_mapping_token_match,France,FRANCE,cereals,290,All-brann prebiotic | Trèsor | Tresor | Kellogg's Cereal - Tri Fun Club Pack | Rice Krispies,Kellogg's | Kellogg's | Kellogg's | Kellogg's | Kellogg's
kellogg's,Kellogg's,curated_mechanical_brand_alias,confirmed,existing_company_brand_mapping_token_match,United States,US_CANADA,cereals,279,Kellogg's Frosted Mini-Wheats Bite Size cereal | Vector | Front loops | Special K original | Froot Loops,Kellogg's | Kellogg's | Kellogg's | Kellogg's | Kellogg's
la laitiere,La Laitière,curated_mechanical_brand_alias,confirmed,existing_company_brand_mapping_token_match,France,FRANCE,dairies,191,crème aux oeufs | Petit pot de crème au chocolat | Velours de Crème Chocolat au lait | Yaourt nature | Crème aux oeufs,"la laitière | La laitière | Nestlé, La Laitière | La Laitière | La Laitière"
kraft,Kraft,curated_mechanical_brand_alias,confirmed,existing_company_brand_mapping_token_match,United States,US_CANADA,dairies,190,"Colby Natural Cheese, Colby | Kraft, Natural Pepper Jack Cheese | Mozzarella Low-Moisture Part-Skim Natural Cheese, Mozzarella | Sharp Cheddar Natural Cheese, Sharp Cheddar | Monterey Jack Cheese",Kraft | Kraft | Kraft | Kraft | Kraft
Sanpellegrino,San Pellegrino,curated_mechanical_brand_alias,confirmed,top9_portfolio_token_match,France,FRANCE,beverages,163,San Pellegrino | Woda San Pellegrino | S.pellecrino | Sanpellegrino aranciata | Cocktail,"Nestlé,San Pellegrino | Nestlé, San Pellegrino | Nestlé, San Pellegrino | Nestlé, San Pellegrino | Nestlé, San Pellegrino"
cote d or,Cote d'Or,top9_portfolio_brand_alias,confirmed,existing_company_brand_mapping_token_match,France,FRANCE,snacks,152,Carrés Chocolats Noir | Tablette de Chocolat Lait Noisettes Entières - COTE D'OR | Tablette de Chocolat Noir Noisettes Entières | Noisettes caramélisées et franboises | Chocolat noir amandes,côté d or | COTE D'OR | Côté d'Or | COTE D'OR | Côte d'Or
marks and spencer,M&S,curated_mechanical_brand_alias,confirmed,first_off_brand_token_fallback,France,FRANCE|UK_IE,snacks,148,Curiously Strong Mints | All Butter Belgian White Chocolate Chunk Cookies | All Butter Fruity Flapjack Cookies | Cranberry & Orange Cookies | Triple Belgian Chocolaté Chunk Cookies,Marks & Spencer | Marks & Spencer | Marks & Spencer | Marks & Spencer | Marks & Spencer
quaker,Quaker,curated_mechanical_brand_alias,confirmed,existing_company_brand_mapping_token_match,United States,US_CANADA,cereals,139,Cruesli lait | Organic Instant Oatmeal Original | Organic Instant Oatmeal Maple & Brown Sugar | Quaker oatmeal squares cereal cinnamon | Crunchy corn cereal,Quaker | Quaker | Quaker | Quaker | Quaker
