country_or_market,observed_market_region_codes,category,normalized_brand_candidate,raw_brand_variant_count,raw_brand_variants,raw_brand_variant_counts,total_product_count,example_product_names,mapping_reason,mapping_source,row_decisions,review_note
France,FRANCE,dairies,auchan,7,auchan; auchan le fromager; auchan collection; auchan baby; auchan auchan; auchan baby bio; auchan discount,auchan=1185; auchan le fromager=2; auchan collection=2; auchan baby=1; auchan auchan=1; auchan baby bio=1; auchan discount=1,1193,"beurre doux | BEURRE DOUX BIO | Fromage blanc 3,2 % MG | Parmiggiano reggiano | Pécorinos pepato",existing_confirmed_alias=10; repeated_prefix_collapsed=1,brand_alias_mapping=10; heuristic=1,,
France,FRANCE,snacks,auchan,3,auchan; auchan vendome; auchan baby bio,auchan=1133; auchan vendome=12; auchan baby bio=2,1147,Petit beurre | vienoiserie que varuabne | Abricotine | Galette Frangipane 8 Personnes | Paris brest,existing_confirmed_alias=15,brand_alias_mapping=15,,
France,FRANCE,snacks,u,2,u; u pane caldu,u=1033; u pane caldu=1,1034,chocolat noir | Tuiles salée a l'huile de tournesol | DONUTS FRAISE X4 | chocolat lait | tuiles goût salé,existing_confirmed_alias=1,brand_alias_mapping=1,,
United States,US_CANADA,beverages,wawa,2,wawa; wawa incorporated,wawa=906; wawa incorporated=2,908,"Wawa, Pumpkin Caramel Iced Latte, 16 Oz | Diet Green Tea | Cranberry juice coctail | Diet Half & Half Iced Tea Lemonade | Diet Iced Tea",existing_confirmed_alias=6,brand_alias_mapping=6,,
France,FRANCE,beverages,auchan,3,auchan; auchan pierre chanau; auchan collection,auchan=870; auchan pierre chanau=10; auchan collection=1,881,ORANGE SANGUINE | 100% pur jus pomme | Eau de source de montagne | Chocolat gourmand | café au lait,existing_confirmed_alias=13,brand_alias_mapping=13,,
France,FRANCE,dairies,u,6,u; u de nos regions; u bleu blanc coeur; u cismonte; u fit; u maraichers,u=647; u de nos regions=2; u bleu blanc coeur=1; u cismonte=1; u fit=1; u maraichers=1,653,Lait Frais Entier | Emmental râpé | BEAUFORT AOP | Crème anglaise | grana padano,existing_confirmed_alias=6,brand_alias_mapping=6,,
France,FRANCE,dairies,yoplait,4,yoplait; yoplait aromatise; yoplait aromes des iles; yoplait skyr,yoplait=624; yoplait aromatise=1; yoplait aromes des iles=1; yoplait skyr=1,627,yaourt nature sucré | Source greek grec | Tubes vanille | Yaourt pat patrouille | Petits Filous,existing_confirmed_alias=3,brand_alias_mapping=3,,
France,FRANCE,dairies,danone,5,danone; danone activia; danone skyr; danone s.a; danone yopro,danone=613; danone activia=3; danone skyr=2; danone s.a=1; danone yopro=1,620,SKYR | Cottage Cheese | Mousse au fromage blanc sur lit de fruits | Danonino | Skyr,existing_confirmed_alias=10,brand_alias_mapping=10,,
France,FRANCE,dairies,paturages,3,paturages; paturages intermarche; paturages comtois,paturages=588; paturages intermarche=17; paturages comtois=11,616,emmental français rapé | Conté | Comté | Comté affiné 6 mois minimum | Comte,existing_confirmed_alias=28,brand_alias_mapping=28,,
United States,US_CANADA,beverages,starbucks,6,starbucks; starbucks via; starbucks by nespresso for vertuo; starbucks coffee company; starbucks refresher; starbucks tripleshot energy,starbucks=578; starbucks via=2; starbucks by nespresso for vertuo=1; starbucks coffee company=1; starbucks refresher=1; starbucks tripleshot energy=1,584,"DoubleShot Energy | Starbucks Medium Roast Latin American Blend Iced Coffee 11 Fluid Ounce Glass Bottle | Starbucks Refreshers Strawberry Lemonade 8.4 Oz Can | Starbucks Refreshers Acai Blueberry 8.4 Oz Can | Iced Coffee, Medium Roast",existing_confirmed_alias=9,brand_alias_mapping=9,,
France,FRANCE,dairies,leader price,3,leader price; leader price fine ligne; leaderprice,leader price=560; leader price fine ligne=6; leaderprice=1,567,Queso manchego | Saint Nectaire Laitier | Comté AOP (34% MG) - 323 g - Leader Price | beurre moulé doux | Fromage à tartiner,existing_confirmed_alias=11; punctuation_spacing_variant=2,brand_alias_mapping=11; heuristic=2,,
France,FRANCE,snacks,leader price,4,leader price; leader price fine ligne; leader price - le prix gagnant; leader price leaderprice,leader price=561; leader price fine ligne=2; leader price - le prix gagnant=1; leader price leaderprice=1,565,Crackers | Goûters fourrés | Sablés au chocolat au lait pur beurre de cacao | CROISSANTS X 4 PAIN AU CHOCOLAT X 4 PUR BEURRE | Cookies pépites de chocolat et nougatine,existing_confirmed_alias=13,brand_alias_mapping=13,,
France,FRANCE,beverages,lipton,2,lipton; lipton the glace,lipton=542; lipton the glace=1,543,Infusion | Iced Tea Peach | Tisane pêche et mangue naturellement sans caféine | Thé Infusion Fruits | thé orange jaïpur,existing_confirmed_alias=1,brand_alias_mapping=1,,
France,FRANCE,beverages,casino,2,casino; casino ca vient d'ici,casino=510; casino ca vient d'ici=1,511,Nectar orange | 100% pur jus Orange Sanguine de Sicile pressé | jus d Orange | Jus de pomme | Cidre de Bretagne,existing_confirmed_alias=2,brand_alias_mapping=2,,
France,FRANCE,dairies,casino,3,casino; casino ca vient d'ici; casino ste fromagere de riom,casino=461; casino ca vient d'ici=1; casino ste fromagere de riom=1,463,Comté extra 16/21 mois | Emmental français | Emmental Français Est-Central Grand Cru | Emmental bio | Emmental,existing_confirmed_alias=3,brand_alias_mapping=3,,
France,FRANCE,snacks,casino,2,casino; casino famili,casino=454; casino famili=2,456,Panettone aux raisin secs et aux écorces d orange confit | p'tits biscuits fourrage au lait bio | Cookies tout chocolat | Brownie familial | Crackers salés Casino,existing_confirmed_alias=4,brand_alias_mapping=4,,
France,FRANCE,dairies,nestle,11,nestle; nestle la laitiere; nestle lindahls; nestle nesquik; nestle yaos; nestle health science; nestle lindahl's; nestle milo; nestle milk pak; nestle nido; nestle nutrition,nestle=312; nestle la laitiere=126; nestle lindahls=3; nestle nesquik=3; nestle yaos=2; nestle health science=1; nestle lindahl's=1; nestle milo=1; nestle milk pak=1; nestle nido=1; nestle nutrition=1,452,La Laitiere petit pot de creme cafe | Coffee Whitener Hazelnut Powder | ferme et fondant | Nestlé la laitière crème aux oeufs vanille | Nestlé p'tit onctueux,existing_confirmed_alias=207,brand_alias_mapping=207,,
France,FRANCE,snacks,leclerc,2,leclerc; leclerc traiteur,leclerc=436; leclerc traiteur=2,438,Mille feuille | Flan nature | Biscuits Vital au son d'avoine et canneberges | Biscuits Vital (chocolat 70%) | Biscuits Praeventia (chocolat),existing_confirmed_alias=2,brand_alias_mapping=2,,
France,FRANCE,dairies,monoprix,2,monoprix; monoprix p'tit prix,monoprix=435; monoprix p'tit prix=2,437,Cantal | Cantal Jeune | Grana Padano | Grana padano | Grana padano aop,existing_confirmed_alias=6,brand_alias_mapping=6,,
France,FRANCE,snacks,cora,3,cora; cora nature bio; cora cora,cora=428; cora nature bio=7; cora cora=1,436,barquette chocolat noisette | Gauffre sucree | chocolat dessert noir | Pain au chocolat tournesol ×4 | Pain chocolat,existing_confirmed_alias=28; repeated_prefix_collapsed=1,brand_alias_mapping=28; heuristic=1,,
France,FRANCE,beverages,carrefour,3,carrefour; carrefour carrefour; carrefour veggie,carrefour=404; carrefour carrefour=1; carrefour veggie=1,406,Eau de source de montagne | Multifruits | chicorée café | Fresh tonicité | pur jus d'orange,existing_confirmed_alias=1; repeated_prefix_collapsed=1,brand_alias_mapping=1; heuristic=1,,
United States,US_CANADA,snacks,lay's,4,lay's; lays; lay's lays; lay's lay's,lay's=370; lays=23; lay's lays=8; lay's lay's=2,403,Potato chips sweet southern heat barbecue | Lays bbq chips | Kettle cooked original | Potato chips | Veggie Poppables Ranch Flavor,punctuation_spacing_variant=23; repeated_prefix_collapsed=10,heuristic=33,,
France,FRANCE,snacks,st michel,5,st michel; stmichel; st. michel; st-michel; st michel biscuits,st michel=394; stmichel=4; st. michel=2; st-michel=1; st michel biscuits=1,402,madeleine | Cocottes cereales | madeleine recette de commercy | La Grande Galette French Butter Cookies | Madeleines saint Michel,punctuation_spacing_variant=6; existing_confirmed_alias=2,heuristic=6; brand_alias_mapping=2,,
United States,US_CANADA,snacks,trader joe's,3,trader joe's; trader joes; trader joe's trader joes,trader joe's=334; trader joes=50; trader joe's trader joes=1,385,Organic Brown Rice Cake Thins | Mini Dark Chocolate Mint Stars | 72% cacao Belgian dark chocolate bar | Swiss 72% Cacao Dark Chocolate | ABC Bars,punctuation_spacing_variant=83; repeated_prefix_collapsed=3,heuristic=86,,
France,FRANCE,dairies,Reflets de France,5,reflets de france; carrefour reflets de france; reflets de france carrefour; carrefour reflets-de-france; reflets de france fromageries chabert,reflets de france=316; carrefour reflets de france=56; reflets de france carrefour=9; carrefour reflets-de-france=1; reflets de france fromageries chabert=1,383,Pont - l'Evêque AOP | Chaource AOP | Crème fraîche d'Isigny AOP | Rocamadour AOP | Beurre de baratte,curated_private_label_mapping_confirm=474,curated_private_label_mapping=474,approve_alias=383,
France,FRANCE,snacks,lindt,10,lindt; lindt and sprungli; lindt excellence; lindt creation; lindt connaisseurs; lindt and sprungli schweiz ag; lindt creatin; lindt exellence; lindt lindor; lindt maitre chocolatier,lindt=331; lindt and sprungli=28; lindt excellence=12; lindt creation=3; lindt connaisseurs=1; lindt and sprungli schweiz ag=1; lindt creatin=1; lindt exellence=1; lindt lindor=1; lindt maitre chocolatier=1,380,Chocolat noir extra fin aux graines de sésame | Les Grandes 34% noisettes | Barre De Chocolat (extra Crémeux) | Lindt Excellence coconut | Lindt Swiss Thins,existing_confirmed_alias=63,brand_alias_mapping=63,,
France,FRANCE,snacks,e.leclerc,4,e.leclerc; e. leclerc; e leclerc; e . leclerc,e.leclerc=339; e. leclerc=28; e leclerc=6; e . leclerc=1,374,Pain au chocolat | Croissants | Croissant | Fraisier | Croissant au beurre,punctuation_spacing_variant=38,heuristic=38,,
France,FRANCE,beverages,cora,3,cora; cora nature bio; cora and match,cora=351; cora nature bio=13; cora and match=1,365,"Sirop de citron | Eau pétillante | JUS D ORANGE FRAIS 1 LITRE | Jus Pomme | 100 % pur jus, Raisin",existing_confirmed_alias=29,brand_alias_mapping=29,,
France,FRANCE,dairies,president,3,president; president professionnel; president bio,president=336; president professionnel=9; president bio=1,346,Chevres chauds | Crème de camembert | Beurre doux La Motte | Fromage chèvre | Camembert de campagne,existing_confirmed_alias=10,brand_alias_mapping=10,,
