country_or_market,observed_market_region_codes,category,raw_brand_variants,normalized_brand_candidate,total_product_count,example_product_names,alias_review_decision,approved_normalized_brand,review_reason,mapping_source
United States,US_CANADA,beverages,wawa; wawa incorporated,wawa,908,"Wawa, Pumpkin Caramel Iced Latte, 16 Oz | Diet Green Tea | Cranberry juice coctail | Diet Half & Half Iced Tea Lemonade | Diet Iced Tea",approve_alias,wawa,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=6
France,FRANCE,dairies,yoplait; yoplait aromatise; yoplait aromes des iles; yoplait skyr,yoplait,627,yaourt nature sucré | Source greek grec | Tubes vanille | Yaourt pat patrouille | Petits Filous,approve_alias,yoplait,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=3
United States,US_CANADA,beverages,starbucks; starbucks via; starbucks by nespresso for vertuo; starbucks coffee company; starbucks refresher; starbucks tripleshot energy,starbucks,584,"DoubleShot Energy | Starbucks Medium Roast Latin American Blend Iced Coffee 11 Fluid Ounce Glass Bottle | Starbucks Refreshers Strawberry Lemonade 8.4 Oz Can | Starbucks Refreshers Acai Blueberry 8.4 Oz Can | Iced Coffee, Medium Roast",approve_alias,starbucks,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=9
France,FRANCE,beverages,lipton; lipton the glace,lipton,543,Infusion | Iced Tea Peach | Tisane pêche et mangue naturellement sans caféine | Thé Infusion Fruits | thé orange jaïpur,approve_alias,lipton,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=1
France,FRANCE,snacks,st michel; stmichel; st. michel; st-michel; st michel biscuits,st michel,402,madeleine | Cocottes cereales | madeleine recette de commercy | La Grande Galette French Butter Cookies | Madeleines saint Michel,approve_alias,st michel,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=6; brand_alias_mapping=2
France,FRANCE,dairies,reflets de france; carrefour reflets de france; reflets de france carrefour; carrefour reflets-de-france; reflets de france fromageries chabert,Reflets de France,383,Pont - l'Evêque AOP | Chaource AOP | Crème fraîche d'Isigny AOP | Rocamadour AOP | Beurre de baratte,approve_alias,Reflets de France,curated Carrefour private-label mapping,curated_private_label_mapping
France,FRANCE,snacks,lindt; lindt and sprungli; lindt excellence; lindt creation; lindt connaisseurs; lindt and sprungli schweiz ag; lindt creatin; lindt exellence; lindt lindor; lindt maitre chocolatier,lindt,380,Chocolat noir extra fin aux graines de sésame | Les Grandes 34% noisettes | Barre De Chocolat (extra Crémeux) | Lindt Excellence coconut | Lindt Swiss Thins,approve_alias,lindt,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=63
France,FRANCE,snacks,e.leclerc; e. leclerc; e leclerc; e . leclerc,e.leclerc,374,Pain au chocolat | Croissants | Croissant | Fraisier | Croissant au beurre,approve_alias,e.leclerc,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=38
France,FRANCE,beverages,cora; cora nature bio; cora and match,cora,365,"Sirop de citron | Eau pétillante | JUS D ORANGE FRAIS 1 LITRE | Jus Pomme | 100 % pur jus, Raisin",approve_alias,cora,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=29
France,FRANCE,dairies,president; president professionnel; president bio,president,346,Chevres chauds | Crème de camembert | Beurre doux La Motte | Fromage chèvre | Camembert de campagne,approve_alias,president,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=10
France,FRANCE,dairies,cora; cora nature bio,cora,341,Fromage fouetté | Lait demi-écrémé | Yaourt a boire | Comte 18 mois | gruyere IGP,approve_alias,cora,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=28
France,FRANCE,beverages,tropicana; tropicana essentiels; tropicana pure premium,tropicana,339,Ruby breakfast | Pur Jus d'orange de Floride | Jus D'orange Pur | Jus d'orange | Orange Juice - No Pulp (3.78L),approve_alias,tropicana,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=4
France,FRANCE,dairies,juraflore; jura flore; juraflore fort des rousses,juraflore,332,Comté bio | Compté Bio - Jura Flore | Comté BIO | Comté Bio | Comté Bio jura flore,approve_alias,juraflore,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=112; brand_alias_mapping=1
United States,US_CANADA,snacks,meijer; meijer inc; meijer naturals; meijer distribution inc; meijer kids,meijer,320,Cookies chocolate chip | Potato Chips | Jumbo flaky | Chocolate fudge brownie mix | Classic potato chips,approve_alias,meijer,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=80
France,FRANCE,snacks,chabrior; chabrior intermarche; chabrior - bleu blanc coeur,chabrior,289,Caofret' | BRIEFING | Palmiers | Préparation cookie chocolat | Brioche tranchée,approve_alias,chabrior,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=66
France,FRANCE,snacks,picard; picard creation,picard,288,"10 mini-pains au chocolat, pur beurre | Shortbread millionnaire | Brioche Tranchée Pur Beurre Surgelelée Deja Cuite 275 g | Opéra | Petit trianon - Croquant au chocolat",approve_alias,picard,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=1
France,FRANCE,dairies,saveurs de nos regions; saveurs de nos regions lidl,saveurs de nos regions,284,Mont d'or | Epoisses affiné au marc de Bourgogne | Rocamadour AOP 3x35g | Quart Maroilles AOP | Cantal entre-deux,approve_alias,saveurs de nos regions,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=6
