off_brands_raw,off_brand_tokens,legacy_primary_brand,brand_entity_raw,brand_entity_source,primary_country,observed_market_region_codes,query_category,product_count,example_product_names
Reflets de France,reflets de france,reflets de france,Reflets de France,curated_carrefour_private_label_mapping,France,FRANCE,dairies,283,Tomette de brebis | Brie de Meaux AOP | COMTE RDF | Reblochon | Reblochon
Kellogg's,kelloggs,kelloggs,kellogg's,existing_company_brand_mapping_token_match,United States,US_CANADA,cereals,245,Kellogg's Frosted Mini-Wheats Bite Size cereal | Vector | Front loops | Special K original | Froot Loops
"U, U Bio",u|u bio,u,u bio,existing_company_brand_mapping_token_match,France,FRANCE,beverages,245,Pur jus orange bocal 1 litre | Pur jus orange bocal 1 litre | Pur jus de pomme 1l | Pur jus de raisin bouteille en verre de 1l | Pur jus de raisin bouteille en verre de 1l
LAY'S,lays,lays,Lay’s,existing_company_brand_mapping_token_match,United States,US_CANADA,snacks,218,"Barbecue Flavored Potato Chips, Barbecue | Sour Cream & Onion Flavored Potato Chips, Sour Cream & Onion | Cheddar & Sour Cream Flavored Potato Chips, Cheddar & Sour Cream | Chile Limon Flavored Potato Chips, Chile Limon | Potato Crisps, Pizza"
Kellogg's,kelloggs,kelloggs,kellogg's,existing_company_brand_mapping_token_match,France,FRANCE,cereals,215,All-brann prebiotic | Trèsor | Tresor | Kellogg's Cereal - Tri Fun Club Pack | Rice Krispies
Milka,milka,milka,Milka,existing_company_brand_mapping_token_match,France,FRANCE,snacks,210,Bonbon au pain d’epices | Mini cookies | Cookies | Muffins Milka | Milka choco muffin
Walkers,walkers,walkers,Walkers,existing_company_brand_mapping_token_match,United Kingdom,UK_IE,snacks,205,walkers | Cheese and onion | ked e use carefully ty ingredients never fried... | Prawn cocktail | Vegan Grilled Cheese Toastie Crisps
Doritos,doritos,doritos,Doritos,existing_company_brand_mapping_token_match,United States,US_CANADA,snacks,203,"Doritos | Flavored Tortilla Chips, Hot | Jumpin' Jack Cheese Flavored Tortilla Chips, Jumpin' Jack Cheese | Wasabi Flavored Tortilla Chips, Wasabi | Doritos Nacho Cheese"
Gatorade,gatorade,gatorade,Gatorade,existing_company_brand_mapping_token_match,United States,US_CANADA,beverages,200,"Berry Zero Sugar | Grape Electrolyte Water Beverage | Gatorade Thirst Quencher Lemon Lime | Thirst quencher | Arctic blitz crisp & cool thirst quencher, arctic blitz"
Lay's,lays,lays,Lay’s,existing_company_brand_mapping_token_match,France,FRANCE,snacks,187,Chips tomate paprika | Chips (paysanne nature) | Stax salted | Chips méditerranéennes | Chips Saveur Barbecue
President,president,president,président,existing_company_brand_mapping_token_match,France,FRANCE,dairies,177,Chevres chauds | Crème de camembert | Beurre doux La Motte | Fromage chèvre | Camembert de campagne
Eco+,eco,eco,eco+,existing_company_brand_mapping_token_match,France,FRANCE,dairies,163,Emmental eco+ | Emmental | Emmental | Emmental | Emmental
Gerblé,gerble,gerble,gerblé,existing_company_brand_mapping_token_match,France,FRANCE,snacks,162,biscuit chocolat noir | Biscuit son d avoine | Biscuits saveur coco | Crousti’pause choco noisette | Gerblé choco noisette
Nespresso,nespresso,nespresso,Nespresso,existing_company_brand_mapping_token_match,France,FRANCE,beverages,158,Fortado | Arpaggio | Cocoa Truffle | Volute decaffeinato | Ristretto
"Nestlé, San Pellegrino",nestle|san pellegrino,nestle,Sanpellegrino,top9_portfolio_token_match,France,FRANCE,beverages,155,Woda San Pellegrino | S.pellecrino | Sanpellegrino aranciata | Cocktail | S.PELLEGRINO
Lay's,lays,lays,Lay’s,existing_company_brand_mapping_token_match,United States,US_CANADA,snacks,152,Sour Cream & Onion Potato Chips | BARBECUE FLAVORED POTATO CHIPS | Potato chips | Salt & Vinegar | Lay'S Stax Hot'N Spicy Barbecue Flavored Potato Chips 5.5 Ounce Plastic Canister
Cadbury,cadbury,cadbury,Cadbury,existing_company_brand_mapping_token_match,United States,US_CANADA,snacks,152,"Mini Milk Chocolate Caramel Eggs | Dairy Milk Chocolate | Royal Solid Dark Chocolate | Royal Dark Chocolate, Caramel & Sea Salt | ROYAL DARK DARK CHOCOLATE"
Schweppes,schweppes,schweppes,Schweppes,existing_company_brand_mapping_token_match,France,FRANCE,beverages,151,Schweppes Ginger Ale | SCHWEPPES LEMON | Lemon | Tonic | Schweppes
"Activia, Danone",activia|danone,activia,Activia,top9_portfolio_token_match,France,FRANCE,dairies,138,"activia fruits mixés | Activia So Délicat Pointe de Citron Vert | Activia Recette au fromage blanc (2,9 % MG) Saveur Vanille | Activia Céréales | activia figue"
Président,president,president,président,existing_company_brand_mapping_token_match,France,FRANCE,dairies,137,Cancoillote | Rondelé | Crème entière semi épaisse gastronomique | Emmental coeur de meule | La brique
Cadbury,cadbury,cadbury,Cadbury,existing_company_brand_mapping_token_match,United Kingdom,UK_IE,snacks,132,Fingers | Cadbury Dairy Milk Biscoff | Fingers Salted Caramel Flavour | Dairy milk buttons dessert | Crunchie
"Elle & Vire, Savencia",elle and vire|savencia,elle and vire,elle & vire,existing_company_brand_mapping_token_match,France,FRANCE,dairies,126,Crème de Normandie épaisse entière 30% | Carré frais | La crème entière de Normandie semi-épaisse | Crème entière de Normandie | Beurre Léger 41% demi-sel
Fanta,fanta,fanta,Fanta,existing_company_brand_mapping_token_match,France,FRANCE,beverages,126,Fanta orange | Fanta Apple | Fruit Punch | Fanta Peach | Fanta Cherry
Reese's,reeses,reeses,Reese's,existing_company_brand_mapping_token_match,United States,US_CANADA,snacks,122,"Easter chocolate candy peanut butter egg | King Size Milk Chocolate Peanut Butter Cups | Box pc peanut butter creme egg milk chocolate easter eggs candy | Creamy Peanut Butter, Caramel, Peanuts And Pecans Wrapped In Milk Chocolate Clusters, Creamy Peanut Butter, Caramel | Reese'S, Mini Sticks, Mini Crispy Wafers, Milk Chocolate, Peanut Butter, Milk Chocolate, Peanut Butter"
"U, U Bio",u|u bio,u,u bio,existing_company_brand_mapping_token_match,France,FRANCE,snacks,115,"Biscuits petit beurre bio paquet de 150g | Biscuits petit beurre bio paquet de 150g | Biscuits Galettes pur beurre bio , 125g | Cookies bio quinoa pépites chocolat paquet de 175g | Biscuits Sablés bio amandes citron paquet de 200g"
Hershey's,hersheys,hersheys,hershey's,existing_company_brand_mapping_token_match,United States,US_CANADA,snacks,114,"Payday, 1.85 oz | Hershey's valentine's day chocolate candy red | Hershey Milk Chocolate Candy Bar | Hershey s milk chocolate with almonds candy bars oz | Nuggets"
"U, U Bio",u|u bio,u,u bio,existing_company_brand_mapping_token_match,France,FRANCE,dairies,111,"Yaourts bio brassés aux fraises 4x125g | Yaourts bio brassés aux pêches 4x125g | Fromage blanc frais nature lait pasteurisé, 500g | Camembert moulé à la louche au lait microfiltré 20%MG | Roquefort AOP lait cr 32% MG"
