barcode,product_name,brands,primary_brand,query_category,observed_market_region_codes,countries,off_categories,raw_brand_tokens,current_primary_brand,proposed_primary_brand,primary_brand_would_change,detected_portfolio_brand_key,detected_portfolio_group,detection_source,detection_confidence,detection_reason
10043613,Oikos triple zero blended Greek yogurt vanilla,"oikos,danone,dannon",oikos,dairies,US_CANADA,en:united-states,"Dairies, Fermented foods, Desserts, Fermented milk products, Dairy desserts, Fermented dairy desserts, Yogurts, Greek-style yogurts",oikos; danone; dannon,oikos,dannon,True,dannon,Danone,top_company_portfolio_matrix_off_brands,high,known portfolio brand appears in OFF brands field
1033198488953,Hipro,danone,danone,dairies,US_CANADA,en:united-states,"Dairies, Fermented foods, Desserts, Fermented milk products, Dairy desserts, Fermented dairy desserts, Yogurts",danone,danone,hipro,True,hipro,Danone,top_company_portfolio_matrix_product_name,medium,current primary brand is parent/company token; portfolio brand appears in product name
10700024404,The original malted milk balls,"the hershey company,leaf inc.",the hershey company,snacks,US_CANADA,en:united-states,"Snacks, Sweet snacks, Cocoa and its products, Confectioneries, Chocolate candies, Bonbons",the hershey company; leaf inc,the hershey company,leaf inc,True,leaf inc,,top_company_portfolio_matrix_off_brands,high,current primary brand is parent/company token; another OFF brand token needs brand-level review
10700807229,PAYDAY Peanut Caramel Bar,the hershey company,the hershey company,snacks,US_CANADA,en:united-states,"Snacks,Sweet snacks,Confectioneries,Bars",the hershey company,the hershey company,payday,True,payday,Hershey,top_company_portfolio_matrix_product_name,medium,current primary brand is parent/company token; portfolio brand appears in product name
11085768,HiPRO saveur Mangue,danone,danone,dairies,FRANCE,en:france,"Boissons, Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Desserts lactés, Boissons lactées, Desserts lactés fermentés, Boissons fermentées, Yaourts, Boissons lactées fermentées, Yaourts à boire",danone,danone,hipro,True,hipro,Danone,top_company_portfolio_matrix_product_name,medium,current primary brand is parent/company token; portfolio brand appears in product name
11095615,chocapic,nestlé,nestle,cereals,FRANCE,en:chile|en:france,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Chocolate cereals,chocolate wheat shells",nestle,nestle,chocapic,True,chocapic,Nestlé,top_company_portfolio_matrix_product_name,medium,current primary brand is parent/company token; portfolio brand appears in product name
1117479,eau vittel,"nestlé, vittel",nestle,beverages,FRANCE,en:france,"Boissons, Eaux, Eaux de sources, Eaux minérales",nestle; vittel,nestle,vittel,True,vittel,Nestlé,top_company_portfolio_matrix_off_brands,high,current primary brand is parent/company token; portfolio brand appears in OFF brands field
11178590,Fitness original,nestlé,nestle,,FRANCE,en:france,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner",nestle,nestle,fitness,True,fitness,Nestlé,top_company_portfolio_matrix_product_name,medium,current primary brand is parent/company token; portfolio brand appears in product name
11217817,KitKat ball,nestlé,nestle,snacks,FRANCE,en:france,"Snacks, Snacks sucrés, Cacao et dérivés, Confiseries, Barres, Confiseries chocolatées, Barres chocolatées",nestle,nestle,kitkat,True,kitkat,Nestlé,top_company_portfolio_matrix_product_name,medium,current primary brand is parent/company token; portfolio brand appears in product name
11695617,Nestlé p'tit gourmand banane cacao,"nestlé, nestlé bébé",nestle,dairies,FRANCE,en:france,"Produits laitiers, Desserts, Desserts lactés, Desserts au chocolat, Crèmes dessert, Crèmes dessert chocolat, Crème dessert au chocolat en conserve, Crèmes dessert en conserve",nestle; nestle bebe,nestle,bebe,True,nestle bebe,,top_company_portfolio_matrix_off_brands,high,current primary brand is parent/company token; another OFF brand token needs brand-level review
