country_or_market,observed_market_region_codes,category,raw_brand_variants,normalized_brand_candidate,approved_normalized_brand,alias_review_decision,mapping_source,review_reason,total_product_count,example_product_names
France,FRANCE,cereals,carrefour; carrefour vrac bio,carrefour,,manual_review_private_label_line,brand_alias_mapping=1,retailer private-label line should not collapse to retailer banner,24,Son d'avoine Bio | Petales de blé complet et riz | Granola crunchy | Crunchy Muesli 3 Chocolats | Crunchy Muesli Cappucino
France,FRANCE,beverages,carrefour; carrefour carrefour; carrefour veggie,carrefour,,manual_review_repeated_prefix,brand_alias_mapping=1; heuristic=1,dirty repeated brand prefix was detected or collapsed before alias review,406,Eau de source de montagne | Multifruits | chicorée café | Fresh tonicité | pur jus d'orange
France,FRANCE,dairies,reflets de france; carrefour reflets de france; reflets de france carrefour; carrefour reflets-de-france; reflets de france fromageries chabert,Reflets de France,Reflets de France,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,383,Pont - l'Evêque AOP | Chaource AOP | Crème fraîche d'Isigny AOP | Rocamadour AOP | Beurre de baratte
France,FRANCE,dairies,carrefour bio; carrefour bio carrefour; carrefour carrefour bio; bio carrefour; carrefour bio bio c carrefour; carrefour bio carrefour groupe carrefour,Carrefour Bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,153,Lait bio | Crème Dessert Vanille | Emmental français | Emmental au lait cru | Emmental Français
France,FRANCE,snacks,carrefour bio; carrefour bio carrefour; carrefour bio biowise; carrefour bio chevaliers d'argouges; carrefour carrefour bio; carrefour carrefour biocarrefour,Carrefour Bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,81,Dessert noir - Puur 52% cacao | Pain au chocolat | Croissant pur beurre | Pains chocolats | Pains chocolat
France,FRANCE,beverages,carrefour bio carrefour; carrefour bio; carrefour bio adelholzener; carrefour bio auchan bio; carrefour bio carrefour les celliers associes; carrefour bio naruralia,Carrefour Bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,65,Jus d’orange | dosettes café équilibré | Dosettes café doux | Boisson Amande à la vanille | Citronnade
France,FRANCE|SOUTHERN_EUROPE,snacks,carrefour bio carrefour; carrefour bio; carrefour bio carrefour carrefour market; carrefour carrefour bio,Carrefour Bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,52,cookies bio chocolat noisette | Chips Nature Sel de Guérande | NOIR 80% Cacao Equateur | Barquette de chocolate | Biscuits Petit déjeuner Céréales Pépites de Chocolat et Noisettes
France,FRANCE|SOUTHERN_EUROPE,beverages,carrefour bio carrefour; carrefour carrefour bio; carrefour bio; carrefour bio carrefour groupe carrefour; carrefour biocarrefour carrefour city carrefour express,Carrefour Bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,41,Pur jus de citron | NECTAR De Pomme à base de concentré* Sans sucres ajoutés** | Drink soia | SOJA à la VANILLE | Thé noir Darjeeling
France,FRANCE,beverages,reflets de france; carrefour reflets de france; reflets de france carrefour,Reflets de France,Reflets de France,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,40,Pomme de Bretagne 100% pur fruit pressé | Poire Williams du Roussillon | Pêche jaune du Roussillon Nectar de pêche | Abricot du Pays d'Oc | Bas-Armagnac Appellation Armagnac Contrôlée
France,FRANCE,snacks,carrefour reflets de france; reflets de france; reflets de france carrefour; reflets de france cmi carrefour,Reflets de France,Reflets de France,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,34,Bêtises de Cambrai | Nougat de Montélimar | Galette du Cotentin pur beurre | Lunettes de Romans - Sablés pâtissiers pur beurre | Gâche vendéenne IGP
France,FRANCE|SOUTHERN_EUROPE,snacks,carrefour simpl; carrefour carrefour discount; carrefour carrefour simpl; simpl carrefour; carrefour carrefour discount simpl produits blancs; carrefour discount simpl produits blancs; carrefour discount carrefour; simpl; simpl carrefour carrefour discount produit blanc,Simpl,Simpl,manual_review_private_label_line,curated_private_label_mapping,curated Carrefour private-label mapping requires manual confirmation,29,8 Barres céréalières aux pépites de chocolat et aux cacahuètes | Chocolate Para postres | Sucettes Lolly's - goûts fruits & cola | Petit beurre | Chocolat au lait
France,FRANCE,cereals,carrefour bio; carrefour bio carrefour,Carrefour Bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,25,Croustillant nature | Flakes d'épeautre | Blé soufflé au miel | muedli floconneux chocolat noisettes | Croustillant 3 chocolats
