raw_brand,cleaned_brand_key,approved_normalized_brand,alias_review_decision,mapping_source,review_reason,product_count,country_or_market,observed_market_region_codes,category,example_product_names
carrefour veggie,carrefour veggie,,manual_review_private_label_line,brand_alias_mapping,retailer private-label line should not collapse to retailer banner,1,France,FRANCE,beverages,Veggie Betterave panais poire
carrefour vrac bio,carrefour vrac bio,,manual_review_private_label_line,brand_alias_mapping,retailer private-label line should not collapse to retailer banner,1,France,FRANCE,cereals,Son d'avoine
reflets de france,reflets de france,Reflets de France,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,316,France,FRANCE,dairies,Tomette de brebis | Brie de Meaux AOP | COMTE RDF | Reblochon | Reblochon de savoie
carrefour bio,carrefour bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,83,France,FRANCE,dairies,Crème Dessert Vanille | Emmental français | Emmental au lait cru | Emmental Français | EMMENTAL FRANCAIS
carrefour bio carrefour,carrefour bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,64,France,FRANCE,dairies,Flan nappé caramel | Avec morceaux Fraises | Crème fraîche épaisse Entière 30% Mat.Gr. | Lait DEMI-ECREME Stérilisé UHT | Crème FLUIDE
carrefour reflets de france,reflets de france,Reflets de France,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,56,France,FRANCE,dairies,Pont - l'Evêque AOP | Chaource AOP | Crème fraîche d'Isigny AOP | Rocamadour AOP | Beurre de baratte
carrefour bio carrefour,carrefour bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,46,France,FRANCE|SOUTHERN_EUROPE,snacks,Biscuits Petit déjeuner Céréales Pépites de Chocolat et Noisettes | Lunettes à la fraise | Crackers Quesos tomate | Chocolate 52% especial postres | Crackers aceitunas bio
carrefour bio,carrefour bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,43,France,FRANCE,snacks,Dessert noir - Puur 52% cacao | Pain au chocolat | Croissant pur beurre | Pains chocolats | Pains chocolat
carrefour bio carrefour,carrefour bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,34,France,FRANCE,beverages,"Infusion 4 plantes Romarin, Mélisse, Reine des prés, Citron | Infusion Menthe douce et thym | Infusion camomille | Café moulu doux | Sirop de citron"
carrefour bio carrefour,carrefour bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,34,France,FRANCE,snacks,Pains chocolat bio | Pains chicolat bio | Croissants pur beurre bio | Brioche tranchée pur beurre | Bâtonnets Chocolat au lait
carrefour bio carrefour,carrefour bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,32,France,FRANCE|SOUTHERN_EUROPE,beverages,SOJA à la VANILLE | Thé noir Darjeeling | Grenade Bio | Jus Orange Ananas Mangue Passion | 100 % Pure Eau de Coco Bio
carrefour bio,carrefour bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,27,France,FRANCE,beverages,Jus d’orange | dosettes café équilibré | Dosettes café doux | Boisson Amande à la vanille | Citronnade
reflets de france,reflets de france,Reflets de France,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,26,France,FRANCE,beverages,"Pomme de Bretagne - 100% pur fruit pressé - Jus de Pomme | Poiré de Normandie (2 % vol.) | Pêche jaune du Roussillon | Cidre Cornouaille Reflets de France | ""50CL Cognac Hors D'age Reflets De France 40 °"""
carrefour reflets de france,reflets de france,Reflets de France,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,19,France,FRANCE,snacks,Bêtises de Cambrai | Nougat de Montélimar | Galette du Cotentin pur beurre | Lunettes de Romans - Sablés pâtissiers pur beurre | Gâche vendéenne IGP
carrefour bio carrefour,carrefour bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,17,France,FRANCE|SOUTHERN_EUROPE,cereals,Muesli croustillant chocolat | Boules de maïs au miel | Riz soufflé au chocolat | Céréales chocolat cœur aux noisettes | Cornflakes
carrefour bio carrefour,carrefour bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,16,France,FRANCE|SOUTHERN_EUROPE,dairies,Yaourts nature au lait entier x12 Bio Carrefour | Beurre demi-sel | Crème dessert vanille | Emmental râpé Lait pasteurisé | Queso feta ecológico
carrefour bio,carrefour bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,15,France,FRANCE,cereals,Croustillant nature | Flakes d'épeautre | Blé soufflé au miel | muedli floconneux chocolat noisettes | Croustillant 3 chocolats
carrefour bio carrefour,carrefour bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,15,Belgium,BENELUX|FRANCE,dairies,"Féta Bio | Aux fruits avec morceaux Fraise, Poire, Abricot ou Framboise | Petit reblochon au lait cru Bio | Carrefour Bio Lait Demi-Écrémé | Carrefour Bio Lait Entier"
carrefour simpl,carrefour simpl,Simpl,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,15,France,FRANCE|SOUTHERN_EUROPE,snacks,Croissants | Pain au Chocolat | Brioche tranchée | Barre pâtissière | Biscuit tablette
carrefour bio carrefour,carrefour bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,12,Belgium,BENELUX|FRANCE|SOUTHERN_EUROPE,snacks,Crackers Espelta 3 semillas | Galletas de arroz inflado rellenas de chocolate y avellana | Petit beurre tablette Chocolat noir | Chocolate negro con naranja | Biscuits Epeautre et Sésame
carrefour reflets de france,reflets de france,Reflets de France,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,12,France,FRANCE,beverages,Pomme de Bretagne 100% pur fruit pressé | Poire Williams du Roussillon | Pêche jaune du Roussillon Nectar de pêche | Abricot du Pays d'Oc | Bas-Armagnac Appellation Armagnac Contrôlée
carrefour selection carrefour,carrefour selection,Carrefour Sélection,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,11,France,FRANCE,snacks,"Palmier pur beurre | Dégustation aux 3 chocolats Assortiment de biscuits fins | Cheesecake nature sur son biscuit croustillant | Assortiment de chocolats lait, noir, blanc | Assortiment de chocolats au lait"
carrefour bio carrefour,carrefour bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,10,France,FRANCE,cereals,"Muesli fruits | Pétales de blé complet et riz | Flakes épeautre | Muesli Floconneux Raisins, Cranberries, Cerises, Baies de Goji | Muesli chocolat noisettes"
carrefour carrefour extra,carrefour extra,Carrefour Extra,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,10,France,FRANCE,dairies,Emmental Français Est-Central Grand Cru au Lait Cru | Crème fraîche | Beurre de montagne doux | Yaourt délicieux noix de coco | Yaourt à la Grecque COCO
carrefour simpl,carrefour simpl,Simpl,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,10,France,FRANCE|SOUTHERN_EUROPE,beverages,Pomme | Orange Jus à base de concentré | Expresso Capsules | Dosettes Classic | Dosettes forte
carrefour carrefour selection,carrefour selection,Carrefour Sélection,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,9,France,FRANCE|SOUTHERN_EUROPE,beverages,Espresso decaffeinato | Virgin Mojito | Passion Mangue Saveur Citronnelle | Jus de Fraise et Framboise | Menthe poivrée
carrefour carrefour selection,carrefour selection,Carrefour Sélection,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,9,France,FRANCE|SOUTHERN_EUROPE,snacks,Chocolate negro con pera | 85% cacao noir tanzanie | Nougatine & pistache caramélisée blanc | CORAZÓN de Coco CHOCOLATE NEGRO | Saveur framboise & crêpe dentelle noir
carrefour selection carrefour,carrefour selection,Carrefour Sélection,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,9,France,FRANCE,beverages,Lungo | Espresso Décaféiné | Costa Rica | Nectar de mangue | Piña Colada sans alcool
