merge_action,normalized_brand,parent_company,ownership_resolution_status,category_scope,region_codes_include,review_product_count,review_decision,candidate_action
appended_new,u,Système U,direct,beverages,FRANCE,1953,map to Système U,append_candidate
appended_new,auchan,Auchan,direct,dairies,FRANCE,1519,map to Auchan,append_candidate
appended_new,auchan,Auchan,direct,snacks,FRANCE,1380,map to Auchan,append_candidate
appended_new,u,Système U,direct,snacks,FRANCE,1341,map to Système U,append_candidate
appended_new,auchan,Auchan,direct,beverages,FRANCE,1108,map to Auchan,append_candidate
appended_new,u,Système U,direct,dairies,FRANCE,957,map to Système U,append_candidate
appended_new,carrefour,Carrefour,direct,dairies,FRANCE,875,map to Carrefour,append_candidate
appended_new,marque repere,E.Leclerc,direct,beverages,FRANCE,783,map to E.Leclerc,append_candidate
appended_new,danone,Danone,direct,dairies,FRANCE,782,approve proposed,append_candidate
appended_new,paturages,Les Mousquetaires / Intermarché,direct,dairies,FRANCE,749,map to Les Mousquetaires / Intermarché,append_candidate
appended_new,carrefour,Carrefour,direct,snacks,FRANCE,731,map to Carrefour,append_candidate
appended_new,casino,Groupe Casino,direct,dairies,FRANCE,634,map to Groupe Casino,append_candidate
appended_new,casino,Groupe Casino,direct,beverages,FRANCE,607,map to Groupe Casino,append_candidate
appended_new,casino,Groupe Casino,direct,snacks,FRANCE,598,map to Groupe Casino,append_candidate
appended_new,marque repere,E.Leclerc,direct,snacks,FRANCE,555,map to E.Leclerc,append_candidate
appended_new,monoprix,Monoprix,direct,dairies,FRANCE,547,map to Monoprix,append_candidate
appended_new,leclerc,E.Leclerc,direct,snacks,FRANCE,464,map to E.Leclerc,append_candidate
appended_new,carrefour,Carrefour,direct,beverages,FRANCE,441,map to Carrefour,append_candidate
appended_new,lindt,Lindt & Sprüngli,direct,snacks,FRANCE,441,map to Lindt & Sprüngli,append_candidate
appended_new,Lay's,PepsiCo,direct,snacks,US_CANADA,418,map to PepsiCo,append_candidate
appended_new,e.leclerc,E.Leclerc,direct,snacks,FRANCE,409,map to E.Leclerc,append_candidate
appended_new,président,Lactalis,direct,dairies,FRANCE,404,map to Lactalis,append_candidate
appended_new,Reflets de France,Carrefour,direct,dairies,FRANCE,388,map to Carrefour,append_candidate
appended_new,carrefour,Carrefour,direct,beverages,FRANCE|SOUTHERN_EUROPE,350,map to Carrefour,append_candidate
appended_new,Lay's,PepsiCo,direct,snacks,FRANCE,346,map to PepsiCo,append_candidate
appended_new,carrefour,Carrefour,direct,snacks,FRANCE|SOUTHERN_EUROPE,342,map to Carrefour,append_candidate
appended_new,Coca-Cola,The Coca-Cola Company,direct,beverages,FRANCE,336,map to The Coca-Cola Company,append_candidate
appended_new,monoprix,Monoprix,direct,snacks,FRANCE,333,map to Monoprix,append_candidate
appended_new,marque repere,E.Leclerc,direct,dairies,FRANCE,293,map to E.Leclerc,append_candidate
appended_new,wegmans,Wegmans,direct,snacks,US_CANADA,290,map to Wegmans,append_candidate
appended_new,Activia,Danone,direct,dairies,FRANCE,281,map to Danone,append_candidate
appended_new,tesco,Tesco,direct,snacks,UK_IE,261,map to Tesco,append_candidate
appended_new,monoprix,Monoprix,direct,beverages,FRANCE,256,map to Monoprix,append_candidate
appended_new,lidl,Lidl,direct,snacks,FRANCE,250,map to Lidl,append_candidate
appended_new,leclerc,E.Leclerc,direct,dairies,FRANCE,249,map to E.Leclerc,append_candidate
appended_new,Walkers,PepsiCo,direct,snacks,UK_IE,244,map to PepsiCo,append_candidate
appended_new,sainsburys,Sainsbury's,direct,dairies,UK_IE,232,map to Sainsbury's,append_candidate
appended_new,tesco,Tesco,direct,dairies,UK_IE,230,map to Tesco,append_candidate
appended_new,carrefour,Carrefour,direct,snacks,BENELUX|FRANCE,229,map to Carrefour,append_candidate
appended_new,Doritos,PepsiCo,direct,snacks,US_CANADA,218,map to PepsiCo,append_candidate
appended_new,Gatorade,PepsiCo,direct,beverages,US_CANADA,210,map to PepsiCo,append_candidate
appended_new,lactel,Lactalis,direct,dairies,FRANCE,204,map to Lactalis,append_candidate
appended_new,sainsburys,Sainsbury's,direct,snacks,UK_IE,199,map to Sainsbury's,append_candidate
