normalized_brand,legacy_primary_brand,primary_brand,brand_entity_raw,brand_entity_source,brand_alias_source,brand_alias_review_status,query_category,primary_country,observed_market_region_codes,current_company,proposed_company,proposed_ownership_resolution_status,proposed_mapping_source,proposed_review_note,proposed_matched_mapping_brand,company_mapping_would_change,normalized_brand_is_top9_portfolio,product_count,example_product_names,example_off_brands_raw
paturages,intermarche,intermarche,paturages,existing_company_brand_mapping_token_match,existing_company_brand_mapping_alias,confirmed,dairies,France,FRANCE,Intermarché,Manual review / complex ownership,manual_review,multiple_or_manual_mapping_rows,Multiple direct/manual mapping rows exist for this brand.,paturages,True,False,75,"Faisselle | Yaourt sucre de canne x4 naturéa | Fromage frais nature 3,2% 4x100g | Lait écrémé 0% | Creme fraiche 30% mg epaisse 20cl","Intermarché, Pâturages | Intermarché, Pâturages | Intermarché, Pâturages | Intermarché,Paturages,Printiligne | Intermarché, Paturages"
tartare,savencia,savencia,tartare,existing_company_brand_mapping_token_match,existing_company_brand_mapping_alias,confirmed,dairies,France,FRANCE,Other / not mapped to a company,Savencia,direct,company_brand_mapping.csv,Fresh cheese/spread brand,tartare,True,False,61,"Tartare - familial | Tartare | L'Original Tartare, Ail & Fines Herbes (12 Portions) - (32,2 % MG) | L’original tartare | Tartare Ail & Fines herbes Léger","Savencia,Tartare | Savencia,Tartare | Savencia, Tartare | Savencia, Tartare | Savencia,Tartare"
st môret,savencia,savencia,st môret,existing_company_brand_mapping_token_match,existing_company_brand_mapping_alias,confirmed,dairies,France,FRANCE,Other / not mapped to a company,Savencia,direct,company_brand_mapping.csv,Fresh cheese/spread brand,st moret,True,False,53,St moret | Saint Moret léger 8% | st Môret | St Moret bio | St Môret - Le goût primeur,"Savencia, St Moret | Savencia, St moret | Savencia, st môret | Savencia, St moret | Savencia, St Môret"
yoplait,panier de yoplait,panier de yoplait,yoplait,existing_company_brand_mapping_token_match,existing_company_brand_mapping_alias,confirmed,dairies,France,FRANCE,Other / not mapped to a company,General Mills,direct,company_brand_mapping.csv,US yogurt business; European Yoplait ownership is different,yoplait,True,False,45,"Panier de Yoplait (0 % MG, 0 % Sucres ajoutés) - (Fraise, Pêche, Cerise, Ananas, Abricot, Mûre) 4 Pots | Panier de Yoplait Exotique (Ananas, Coco, Mangue) 8 Pots | Panier de Yoplait (0 % MG, 0 % Sucres ajoutés) - (Cerise, Fraise, Framboise, Mûre) 8 Pots | Panier de Yoplait Cerise, Fraise, Framboise, Mûre | Panier de Yoplait Pêche, Poire","Panier de Yoplait, Yoplait | Panier de Yoplait, Yoplait | Panier de Yoplait, Yoplait | Panier de Yoplait, Yoplait | Panier de Yoplait, Yoplait"
mont blanc,creme dessert,creme dessert,mont blanc,existing_company_brand_mapping_token_match,existing_company_brand_mapping_alias,confirmed,dairies,France,FRANCE,Other / not mapped to a company,Bel Group,direct,company_brand_mapping.csv,Dairy dessert brand via MOM Group,mont blanc,True,False,39,"MONT BLANC Crème dessert Boîte Chocolat 4,3kg | MONT BLANC Crème dessert Boîte Saveur Vanille 4,3kg | MONT BLANC Crème dessert Coupelles Caramel 4x125g | MONT BLANC Crème dessert Boîte Caramel 570g | Crème dessert au café","Crème Dessert, MONT BLANC | Crème Dessert, MONT BLANC | Crème Dessert,MONT BLANC | Crème Dessert,MONT BLANC | Crème Dessert, MONT BLANC"
kettle brand,kettle brand,kettle,kettle brand,existing_company_brand_mapping_token_match,existing_company_brand_mapping_alias,confirmed,snacks,United States,US_CANADA,Other / not mapped to a company,Manual review / complex ownership,manual_review,multiple_or_manual_mapping_rows,Multiple direct/manual mapping rows exist for this brand.,kettle brand,True,False,37,Potato Chips Unsalted (US only) | Potato Chips Sea Salt | Potato Chips Krinkle Cut Salt & Fresh Ground Pepper | Potato Chips New York Cheddar | Potato Chips New York Cheddar,Kettle Brand | Kettle Brand | Kettle Brand | Kettle Brand | Kettle Brand
target stores,archer farms,archer farms,target stores,existing_company_brand_mapping_token_match,existing_company_brand_mapping_alias,confirmed,snacks,United States,US_CANADA,Other / not mapped to a company,Target,direct,company_brand_mapping.csv,Target stores brand variant,target stores,True,False,37,"Archer farms, cheesecake, salted caramel | Pumpkin Corn Tortilla Chips | Chocolate Peppermint Cookies & Red Velvet Crisp Sugar Cookies | Archer farms, red velvet brownie | Archer farms, cookies with coffee cream filling, dark chocolate","Archer Farms, Target Stores | Archer Farms, Target Stores | Archer Farms, Target Stores | Archer Farms, Target Stores | Archer Farms, Target Stores"
président,lactalis,lactalis,président,existing_company_brand_mapping_token_match,existing_company_brand_mapping_alias,confirmed,dairies,France,FRANCE,Other / not mapped to a company,Lactalis,direct,company_brand_mapping.csv,Cheese/butter/cream; global dairy brand,president,True,False,35,Petit brie crémeux | Rondelé au bleu | Emmental Bio | PRESIDENT BURGER CHEDDAR EMMENTAL 12 TRANCHES 200g | Beurre doux la laiterie BIO,"Lactalis, Président | Lactalis, Président | Lactalis, Président | Lactalis, Président | Lactalis, President"
u bio,u bio,u,u bio,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,dairies,France,FRANCE,Manual review / complex ownership,Système U,direct,layer3_review_decision_20260824,Obvious Système U retailer/private-label brand line in France.,u bio,True,False,35,Beurre de baratte | Beurre doux | Lait demi écrémé stérilisation UHT | Camembert | Yaourt au lait entier avec morceaux de fraises,U BIO | U BIO | U bio | U Bio | U Bio
yoplait,perle de lait,perle de lait,yoplait,existing_company_brand_mapping_token_match,existing_company_brand_mapping_alias,confirmed,dairies,France,FRANCE,Other / not mapped to a company,General Mills,direct,company_brand_mapping.csv,US yogurt business; European Yoplait ownership is different,yoplait,True,False,35,Perle de Lait (Fraise) 4 Pots | Perle de Lait Coco en fins éclats (8 pots) | Perle de Lait (Caramel) 4 Pots | Perle de Lait (Nature) 4 Pots | Perle de Lait (Coco en fins éclats) 8 Pots - Offre Économique,"Perle de Lait, Yoplait | Perle de Lait,Yoplait | Perle de Lait, Yoplait | Perle de Lait, Yoplait | Perle de Lait, Yoplait"
