review_decision,review_note,normalized_brand,query_category,primary_country,observed_market_region_codes,current_company,proposed_company,proposed_ownership_resolution_status,company_mapping_would_change,product_count,example_product_names,example_off_brands_raw
,,Carrefour Bio,dairies,France,FRANCE,Manual review / complex ownership,Other / not mapped to a company,unresolved,True,149,Crème Dessert Vanille | Emmental français | Emmental français | Emmental au lait cru | Emmental Français,Carrefour BIO | Carrefour bio | Carrefour BIO | Carrefour Bio | Carrefour BIO
,,monoprix gourmet,dairies,France,FRANCE,Manual review / complex ownership,Other / not mapped to a company,unresolved,True,142,Selles-sur-Cher | Camenbert de Normandie | Salers | Reblochon de Savoie fermier | Reblochon de Savoie fermier,Monoprix Gourmet | Monoprix Gourmet | Monoprix Gourmet | Monoprix Gourmet | Monoprix Gourmet
,,Carrefour Bio,snacks,France,FRANCE,Manual review / complex ownership,Other / not mapped to a company,unresolved,True,79,Dessert noir - Puur 52% cacao | Pain au chocolat | Croissants | Croissant pur beurre | Croissant,"Carrefour BIO | Carrefour BIO | Carrefour Bio,Carrefour | Carrefour BIO | Carrefour Bio,Carrefour"
,,Carrefour Bio,beverages,France,FRANCE,Manual review / complex ownership,Other / not mapped to a company,unresolved,True,66,Jus d’orange | dosettes café équilibré | Dosettes café doux | Boisson Amande à la vanille,Carrefour BIO | carrefour bio | Carrefour BIO | Carrefour Bio | Carrefour BIO
,,tartare,dairies,France,FRANCE,Other / not mapped to a company,Manual review / complex ownership,manual_review,True,61,"Tartare - familial | Tartare | L'Original Tartare, Ail & Fines Herbes (12 Portions) - (32,2 % MG) | L’original tartare | Tartare Ail & Fines herbes Léger","Savencia,Tartare | Savencia,Tartare | Savencia, Tartare | Savencia, Tartare | Savencia,Tartare"
,,taillefine,dairies,France,FRANCE,Danone,Manual review / complex ownership,manual_review,True,56,Taillefine nature | Yaourt 0% taillefine | Hipro | Taillefine recette au fromage blanc fraise 120 g x 4 | Taillefine recette au fromage blanc peche 120 g x 4,"Danone, Taillefine | Danone, Taillefine | Danone, Taillefine | Danone, Taillefine, Taillefine fromage | Danone, Taillefine, Taillefine fromage"
,,KitKat,snacks,France,FRANCE,Manual review / complex ownership,Nestlé,market_scoped,True,54,"Kitkat | KITKAT Ball, Chapelet Billes au chocolat au Lait, 5x30g | Barres au chocolat blanc | KITKAT Blanc, 4 barres enrobage blanc, 8x41,5g | KITKAT Tablette Saveur Cookie Dough 99g","Nestlé, Kit Kat | Nestlé, Kit kat ball, Kitkat | Nestlé, Kitkat | Nestlé, Kitkat | Nestlé, Kit Kat"
,,st môret,dairies,France,FRANCE,Other / not mapped to a company,Manual review / complex ownership,manual_review,True,53,St moret | Saint Moret léger 8% | st Môret | St Moret bio | St Môret - Le goût primeur,"Savencia, St Moret | Savencia, St moret | Savencia, st môret | Savencia, St moret | Savencia, St Môret"
,,Carrefour Bio,snacks,France,FRANCE|SOUTHERN_EUROPE,Manual review / complex ownership,Other / not mapped to a company,unresolved,True,51,cookies bio chocolat noisette | Chocolate con LECHE | Fourrés au cacao | Biscuits Petit déjeuner Céréales Pépites de Chocolat et Noisettes | Lunettes à la fraise,"Carrefour bio | Carrefour BIO,Carrefour | Carrefour BIO,Carrefour | Carrefour BIO, Carrefour | Carrefour BIO, Carrefour"
,,auchan bio,beverages,France,FRANCE,Manual review / complex ownership,Other / not mapped to a company,unresolved,True,48,AUCHAN CAFE BIO ESPRESSO NS HOME COMPOST Riche et équilibré. | AUCHAN CAFE BIO LUNGO NS HOME COMPOST Rond et délicat. | Bio classico | AUCHAN CAFE FILIERE BIO MEXIQUE COMPATIBLE NESPRESSO HOME COMPOST Riche et fruité | Poudre cacaotée bio 32% de cacao,"Auchan Bio | Auchan Bio | Auchan Bio | Auchan Bio | Auchan Bio,auchan"
,,auchan bio,dairies,France,FRANCE,Manual review / complex ownership,Other / not mapped to a company,unresolved,True,45,Beurre moulé doux bio | Comté bio Auchan | Emmental français au lait cru | Lait frais microfiltré | Lait Frais Microfiltré Demi-Écrémé Bio,"Auchan bio | Auchan Bio,Auchan | Auchan Bio | Auchan Bio,Auchan | Auchan Bio,Auchan,Groupe Auchan"
,,yoplait,dairies,France,FRANCE,Other / not mapped to a company,Manual review / complex ownership,manual_review,True,45,"Panier de Yoplait (0 % MG, 0 % Sucres ajoutés) - (Fraise, Pêche, Cerise, Ananas, Abricot, Mûre) 4 Pots | Panier de Yoplait Exotique (Ananas, Coco, Mangue) 8 Pots | Panier de Yoplait (0 % MG, 0 % Sucres ajoutés) - (Cerise, Fraise, Framboise, Mûre) 8 Pots | Panier de Yoplait Cerise, Fraise, Framboise, Mûre | Panier de Yoplait Pêche, Poire","Panier de Yoplait, Yoplait | Panier de Yoplait, Yoplait | Panier de Yoplait, Yoplait | Panier de Yoplait, Yoplait | Panier de Yoplait, Yoplait"
,,tesco finest,snacks,United Kingdom,UK_IE,Manual review / complex ownership,Other / not mapped to a company,unresolved,True,42,Tesco Finest Dark Milk Chocolate | Tesco Finest Ecuador Dark Chocolate | Belgian Triple Chocolate Cookies | British Ribeye Steak | Mature Cheddar & Red Onion Flavour Hand Cooked Crisps,Tesco Finest | Tesco Finest | TESCO finest | TESCO finest | Tesco Finest
,,auchan bio,snacks,France,FRANCE,Manual review / complex ownership,Other / not mapped to a company,unresolved,True,40,Snacks pois chiche | Bio Chocolat noir 70% | Cake aux fruits tranché BIO | Gaufres au miel à la farine d'épeautre BIO | Biscuits Tablette Chocolat au Lait,"Auchan bio | Auchan Bio,Auchan | Auchan Bio | Auchan Bio | AUCHAN BIO"
