barcode,product_name,normalized_brand,primary_brand,query_category,primary_country,observed_market_region_codes,visible_company_owner,ownership_resolution_status,company_mapping_source
84114902801,Potato Chips Low Sodium (Canada Only),kettle brand,kettle,snacks,Canada,US_CANADA,Campbell Soup Company,mapped_from_manual_review_replacement,manual_review_company_replacement_proposals
84114033338,Potato Chips,kettle brand,kettle,snacks,France,FRANCE|US_CANADA,Campbell Soup Company,mapped_from_manual_review_replacement,manual_review_company_replacement_proposals
84114119056,Potato Chips Honey Dijon,kettle brand,kettle,snacks,France,FRANCE|US_CANADA,Campbell Soup Company,mapped_from_manual_review_replacement,manual_review_company_replacement_proposals
84114107077,Potato Chips Krinkle Cut Salt & Fresh Ground Pepper,kettle brand,kettle,snacks,France,FRANCE|US_CANADA,Campbell Soup Company,mapped_from_manual_review_replacement,manual_review_company_replacement_proposals
84114126566,Potato Chips Pepperoncini,kettle brand,kettle,snacks,France,FRANCE|US_CANADA,Campbell Soup Company,mapped_from_manual_review_replacement,manual_review_company_replacement_proposals
84114009982,Potato Chips Sea Salt,kettle brand,kettle,snacks,France,FRANCE|SOUTHERN_EUROPE|US_CANADA,Campbell Soup Company,mapped_from_manual_review_replacement,manual_review_company_replacement_proposals
84114119032,Potato Chips Sea Salt,kettle brand,diamond foods inc,snacks,France,FRANCE|US_CANADA,Campbell Soup Company,mapped_from_manual_review_replacement,manual_review_company_replacement_proposals
84114108128,Potato Chips Sea Salt,kettle brand,kettle,snacks,France,FRANCE|US_CANADA,Campbell Soup Company,mapped_from_manual_review_replacement,manual_review_company_replacement_proposals
84114113917,Potato Chips Backyard Barbeque,kettle brand,kettle,snacks,Mexico,US_CANADA,Campbell Soup Company,mapped_from_manual_review_replacement,manual_review_company_replacement_proposals
84114030702,Potato Chips Honey Dijon,kettle brand,kettle,snacks,Singapore,US_CANADA,Campbell Soup Company,mapped_from_manual_review_replacement,manual_review_company_replacement_proposals
84114903167,Air Fried Jalapeño,kettle brand,kettle,snacks,United States,US_CANADA,Campbell Soup Company,mapped_from_manual_review_replacement,manual_review_company_replacement_proposals
84114902917,Air Fried Kettle Cooked Air Finished Chips Himalayan Salt,kettle brand,kettle,snacks,United States,US_CANADA,Campbell Soup Company,mapped_from_manual_review_replacement,manual_review_company_replacement_proposals
84114901187,Farmstand Ranch,kettle brand,kettle,snacks,United States,US_CANADA,Campbell Soup Company,mapped_from_manual_review_replacement,manual_review_company_replacement_proposals
84114901903,Jalapeño,kettle brand,kettle,snacks,United States,US_CANADA,Campbell Soup Company,mapped_from_manual_review_replacement,manual_review_company_replacement_proposals
84114115447,Kettle Potato Chips Backyard BBQ,kettle brand,kettle,snacks,United States,US_CANADA,Campbell Soup Company,mapped_from_manual_review_replacement,manual_review_company_replacement_proposals
84114902085,Krinkle Cut Potato Chips,kettle brand,kettle,snacks,United States,US_CANADA,Campbell Soup Company,mapped_from_manual_review_replacement,manual_review_company_replacement_proposals
84114108548,Krinkle Cut Potato Chips Dill Pickle,kettle brand,kettle,snacks,United States,US_CANADA,Campbell Soup Company,mapped_from_manual_review_replacement,manual_review_company_replacement_proposals
84114113832,Krinkle Cut Potato Chips Dill Pickle,kettle brand,kettle,snacks,United States,US_CANADA,Campbell Soup Company,mapped_from_manual_review_replacement,manual_review_company_replacement_proposals
84114128003,Krinkle Cut Potato Chips Dill Pickle,kettle brand,kettle,snacks,United States,US_CANADA,Campbell Soup Company,mapped_from_manual_review_replacement,manual_review_company_replacement_proposals
84114128041,Krinkle Cut Potato Chips Dill Pickle,kettle brand,kettle,snacks,United States,US_CANADA,Campbell Soup Company,mapped_from_manual_review_replacement,manual_review_company_replacement_proposals
84114900425,Krinkle cut potato chips,kettle brand,kettle,snacks,United States,US_CANADA,Campbell Soup Company,mapped_from_manual_review_replacement,manual_review_company_replacement_proposals
84114009975,Organic Potato Chips Sea Salt,kettle brand,kettle,snacks,United States,US_CANADA,Campbell Soup Company,mapped_from_manual_review_replacement,manual_review_company_replacement_proposals
84114143112,Organic Sea salt & Vinegar,kettle brand,kettle,snacks,United States,US_CANADA,Campbell Soup Company,mapped_from_manual_review_replacement,manual_review_company_replacement_proposals
84114901521,POTATO CHIPS BACKYARD BARBEQUE,kettle brand,kettle,snacks,United States,US_CANADA,Campbell Soup Company,mapped_from_manual_review_replacement,manual_review_company_replacement_proposals
84114112699,POTATO CHIPS SEA SALT,kettle brand,kettle,snacks,United States,US_CANADA,Campbell Soup Company,mapped_from_manual_review_replacement,manual_review_company_replacement_proposals
84114902160,POTATO CHIPS SEA SALT & VINEGAR,kettle brand,kettle,snacks,United States,US_CANADA,Campbell Soup Company,mapped_from_manual_review_replacement,manual_review_company_replacement_proposals
84114901149,Potato Chip Sea Salt & Apple Cider Vinegar,kettle brand,kettle,snacks,United States,US_CANADA,Campbell Soup Company,mapped_from_manual_review_replacement,manual_review_company_replacement_proposals
84114901200,Potato Chips,kettle brand,kettle,snacks,United States,US_CANADA,Campbell Soup Company,mapped_from_manual_review_replacement,manual_review_company_replacement_proposals
