barcode,product_name,brands,primary_brand,query_category,observed_market_region_codes,countries,off_categories,raw_brand_tokens,current_primary_brand,proposed_primary_brand,primary_brand_would_change,detected_portfolio_brand_key,detected_portfolio_group,detection_source,detection_confidence,detection_reason
1001776768,,nestlé,nestle,snacks,FRANCE,en:france,"Botanas, Snacks dulces, Cacao y sus productos, Dulces, Dulces de chocolate",nestle,nestle,nestle,False,,,no_change,,no more-specific Top 9 portfolio brand detected
10137079,Tablette chocolat Nestle,nestlé,nestle,snacks,FRANCE,en:france,en:dark-chocolates,nestle,nestle,nestle,False,,,no_change,,no more-specific Top 9 portfolio brand detected
11117780,"Dark chocolate covered pretzels with peppermint pieces, peppermint",nestlé,nestle,snacks,FRANCE|UK_IE|US_CANADA,en:brazil|en:france|en:morocco|en:united-kingdom|en:united-states,"snacks, da:crackers",nestle,nestle,nestle,False,,,no_change,,no more-specific Top 9 portfolio brand detected
11217817,KitKat ball,nestlé,nestle,snacks,FRANCE,en:france,"Snacks, Snacks sucrés, Cacao et dérivés, Confiseries, Barres, Confiseries chocolatées, Barres chocolatées",nestle,nestle,kitkat,True,kitkat,Nestlé,top_company_portfolio_matrix_product_name,medium,current primary brand is parent/company token; portfolio brand appears in product name
11412069,"Code-barres inexistant et/ou fiche incomplète, obsolète ou en doublon",nestlé,nestle,snacks,FRANCE,en:france,"Aliments et boissons à base de végétaux, Boissons, Aliments d'origine végétale, Céréales et pommes de terre, Céréales et dérivés, Boissons instantanées",nestle,nestle,nestle,False,,,no_change,,no more-specific Top 9 portfolio brand detected
12112210,La lechera choco-avellana,nestle,nestle,snacks,FRANCE,en:france|en:mexico,"Snacks,Breakfasts,Spreads,Sweet snacks,Cocoa and its products,Sweet spreads,Chocolates,Milk chocolates,fr:Pâtes à tartiner,Hazelnut spreads,Chocolate spreads,Chocolates with hazelnuts,Cocoa and hazelnuts spreads,Milk chocolates with hazelnuts",nestle,nestle,la lechera,True,la lechera,Nestlé,top_company_portfolio_matrix_product_name,medium,current primary brand is parent/company token; portfolio brand appears in product name
1345058954226,Chocolat noir bio Nestlé,nestlé,nestle,snacks,FRANCE,en:france,"Snacks, Snacks sucrés, Cacao et dérivés, Chocolats, Chocolats noirs",nestle,nestle,nestle,False,,,no_change,,no more-specific Top 9 portfolio brand detected
15218957,les recettes de l atelier,nestlé,nestle,snacks,FRANCE,en:france,"Snacks, Snacks sucrés, Cacao et dérivés, Chocolats",nestle,nestle,nestle,False,,,no_change,,no more-specific Top 9 portfolio brand detected
17164102,after eight,nestlé,nestle,snacks,FRANCE,en:france,"Snacks, Snacks sucrés, Cacao et dérivés, Chocolats, Chocolats noirs, Chocolats fourrés, Chocolats noirs fourrés à la menthe",nestle,nestle,nestle,False,,,no_change,,no more-specific Top 9 portfolio brand detected
1761934,Tablette chocolat noir,nestlé,nestle,snacks,FRANCE,en:france,en:dark-chocolates,nestle,nestle,nestle,False,,,no_change,,no more-specific Top 9 portfolio brand detected
18000203,Kit kat pop choc,nestlé,nestle,snacks,FRANCE,en:france,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits, Wafers, Stuffed wafers, Hazelnut cream stuffed wafers, en:bonbons",nestle,nestle,nestle,False,,,no_change,,no more-specific Top 9 portfolio brand detected
20,Nesquik moins de sucre,nestlé,nestle,snacks,FRANCE|DACH,en:france|en:germany,"Snacks, Snacks sucrés, Biscuits et gâteaux, Gâteaux, Quatre-quarts, Gâteaux au chocolat, Madeleines, Madeleines au chocolat",nestle,nestle,nesquik,True,nesquik,Nestlé,top_company_portfolio_matrix_product_name,medium,current primary brand is parent/company token; portfolio brand appears in product name
2000000125703,Kitkat au matcha,nestlé,nestle,snacks,FRANCE,en:france,"Snacks, Snacks sucrés, Biscuits et gâteaux, Gâteaux",nestle,nestle,kitkat,True,kitkat,Nestlé,top_company_portfolio_matrix_product_name,medium,current primary brand is parent/company token; portfolio brand appears in product name
202662017710,Smarties,nestlé,nestle,snacks,FRANCE,en:france,"Snacks, Snacks sucrés, Cacao et dérivés, Confiseries, Confiseries chocolatées, Bonbons de chocolat, Bonbons dragéifiés",nestle,nestle,smarties,True,smarties,Nestlé,top_company_portfolio_matrix_product_name,medium,current primary brand is parent/company token; portfolio brand appears in product name
23290643488,Clafoutis aux cerises,"la laitière,nestlé",la laitiere,snacks,FRANCE,en:france,"Snacks,Desserts,Snacks sucrés,Biscuits et gâteaux,Gâteaux,Clafoutis,Clafoutis aux fruits,Clafoutis aux cerises",la laitiere; nestle,la laitiere,la laitiere,False,,,no_change,,no more-specific Top 9 portfolio brand detected
28000010775,Bars,nestlé,nestle,snacks,FRANCE|US_CANADA,en:france|en:united-states,"Snacks, Sweet snacks, Cocoa and its products, Confectioneries, Chocolate candies",nestle,nestle,nestle,False,,,no_change,,no more-specific Top 9 portfolio brand detected
28000033279,DARK CHOCOLATE MORSELS,nestlé toll house,nestle,snacks,FRANCE|DACH|US_CANADA,en:france|en:germany|en:united-states,"Snacks, Sweet snacks, Cocoa and its products, Confectioneries, Chocolate candies, Baking decorations, en:chocolates",nestle toll house,nestle,toll house,True,nestle toll house,,top_company_portfolio_matrix_off_brands,high,current primary brand is parent/company token; another OFF brand token needs brand-level review
28000043964,Semi-Sweet Morsels,nestlé toll house,nestle,snacks,FRANCE|US_CANADA,en:france|en:united-states,"Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolate candies,Baking decorations",nestle toll house,nestle,toll house,True,nestle toll house,,top_company_portfolio_matrix_off_brands,high,current primary brand is parent/company token; another OFF brand token needs brand-level review
28000081409,Milk chocolate,nestlé,nestle,snacks,FRANCE|US_CANADA,en:france|en:united-states,Snacks,nestle,nestle,nestle,False,,,no_change,,no more-specific Top 9 portfolio brand detected
28000089009,Fudge bar in milk chocolate,nestlé,nestle,snacks,FRANCE|US_CANADA,en:france|en:united-states,"Snacks, Sweet snacks, Cocoa and its products, Confectioneries, Chocolate candies",nestle,nestle,nestle,False,,,no_change,,no more-specific Top 9 portfolio brand detected
28000131708,Crunch Creamy Milk Chocolate with Crisped Rice,nestle,nestle,snacks,FRANCE|US_CANADA,en:france|en:united-states,"Snacks, Sweet snacks, Cocoa and its products, Confectioneries, Chocolate candies",nestle,nestle,nestle,False,,,no_change,,no more-specific Top 9 portfolio brand detected
28000157852,Authentic Mexican Hot Chocolate Drink Tablets,nestlé abuelita,nestle,snacks,US_CANADA|FRANCE,en:canada|en:france|en:united-states,"Beverages, Snacks, Sweet snacks, Cocoa and its products, Dried products, Chocolates, Dried products to be rehydrated, Dark chocolates, Dehydrated beverages",nestle abuelita,nestle,abuelita,True,nestle abuelita,,top_company_portfolio_matrix_off_brands,high,current primary brand is parent/company token; another OFF brand token needs brand-level review
28000202033,"Nestle, butterfinger",nestlé,nestle,snacks,FRANCE|UK_IE|US_CANADA,en:france|en:ireland|en:united-states,"Snacks, Sweet snacks, Cocoa and its products, Confectioneries, Bars, Chocolate candies, Candies, Bars covered with chocolate",nestle,nestle,nestle,False,,,no_change,,no more-specific Top 9 portfolio brand detected
28000217303,BUTTER-SCOTCH MORSELS,nestlé toll house,nestle,snacks,FRANCE|DACH|US_CANADA,en:france|en:germany|en:united-states,"Snacks,Sweet snacks,Confectioneries,Baking decorations",nestle toll house,nestle,toll house,True,nestle toll house,,top_company_portfolio_matrix_off_brands,high,current primary brand is parent/company token; another OFF brand token needs brand-level review
28000231828,California raisins covered in chocolate,nestlé,nestle,snacks,FRANCE|US_CANADA,en:france|en:united-states,Snacks,nestle,nestle,nestle,False,,,no_change,,no more-specific Top 9 portfolio brand detected
28000268442,Bunches of crunchy milk chocolate,nestlé,nestle,snacks,FRANCE|US_CANADA,en:france|en:united-states,"Snacks, Sweet snacks, Cocoa and its products, Confectioneries, Chocolate candies, Candies",nestle,nestle,nestle,False,,,no_change,,no more-specific Top 9 portfolio brand detected
28000394257,Dark Chocolate Morsels,nestle toll house,nestle,snacks,FRANCE|US_CANADA,en:france|en:united-states,"Baking decorations, en:chocolate-candies",nestle toll house,nestle,toll house,True,nestle toll house,,top_company_portfolio_matrix_off_brands,high,current primary brand is parent/company token; another OFF brand token needs brand-level review
28000461997,Bunches of crunchy dark chocolate,nestlé,nestle,snacks,FRANCE|US_CANADA,en:france|en:united-states,"Snacks, Sweet snacks, Cocoa and its products, Confectioneries, Chocolate candies, Candies",nestle,nestle,nestle,False,,,no_change,,no more-specific Top 9 portfolio brand detected
28000469689,Bite-sized candy,nestlé,nestle,snacks,FRANCE|US_CANADA,en:france|en:united-states,"Snacks, Sweet snacks, Confectioneries",nestle,nestle,nestle,False,,,no_change,,no more-specific Top 9 portfolio brand detected
28000560683,Peanut butter cups skull,nestlé,nestle,snacks,FRANCE|US_CANADA,en:france|en:united-states,"Snacks, Sweet snacks, Confectioneries",nestle,nestle,nestle,False,,,no_change,,no more-specific Top 9 portfolio brand detected
28000688776,"Laffy taffy, candy, strawberry, strawberry",nestlé,nestle,snacks,FRANCE|US_CANADA,en:france|en:united-states,"Snacks, Sweet snacks, Confectioneries, Candies",nestle,nestle,nestle,False,,,no_change,,no more-specific Top 9 portfolio brand detected
28000778965,"Laffy taffy, taffy candy, sour apple, sour apple",nestlé,nestle,snacks,FRANCE|US_CANADA,en:france|en:united-states,"Snacks, Sweet snacks, Confectioneries, Candies",nestle,nestle,nestle,False,,,no_change,,no more-specific Top 9 portfolio brand detected
28000822057,Bars,nestlé,nestle,snacks,FRANCE|US_CANADA,en:france|en:united-states,"Snacks, Sweet snacks, Cocoa and its products, Confectioneries, Chocolate candies",nestle,nestle,nestle,False,,,no_change,,no more-specific Top 9 portfolio brand detected
28000867379,"Crispety, crunchety, peanut-buttery! bar",nestlé,nestle,snacks,FRANCE|US_CANADA,en:france|en:united-states,"Snacks, Sweet snacks, Confectioneries",nestle,nestle,nestle,False,,,no_change,,no more-specific Top 9 portfolio brand detected
28000922269,Candy,nestlé,nestle,snacks,FRANCE|US_CANADA,en:france|en:united-states,"Snacks, Sweet snacks, Confectioneries",nestle,nestle,nestle,False,,,no_change,,no more-specific Top 9 portfolio brand detected
28000966201,California raisins covered in chocolate,nestlé,nestle,snacks,FRANCE|US_CANADA,en:france|en:united-states,Snacks,nestle,nestle,nestle,False,,,no_change,,no more-specific Top 9 portfolio brand detected
3023290042830,Moelleux la laitière,nestlé,nestle,snacks,BENELUX|FRANCE,en:belgium|en:france|en:luxembourg,"Snacks, Snacks sucrés, Biscuits et gâteaux, Gâteaux, Gâteaux au chocolat",nestle,nestle,nestle,False,,,no_change,,no more-specific Top 9 portfolio brand detected
3023290208137,Clafoutis aux Abricots,"la laitière, nestlé",la laitiere,snacks,FRANCE|US_CANADA,en:france|en:united-states,"Snacks, Desserts, Snacks sucrés, Biscuits et gâteaux, Frais, Gâteaux, Clafoutis, Clafoutis aux abricots",la laitiere; nestle,la laitiere,la laitiere,False,,,no_change,,no more-specific Top 9 portfolio brand detected
3023290210321,Clafoutis aux Abricots,"nestlé, la laitière",nestle,snacks,FRANCE,en:france,"Snacks, Desserts, Snacks sucrés, Biscuits et gâteaux, Gâteaux, Clafoutis, Clafoutis aux abricots",nestle; la laitiere,nestle,la laitiere,True,la laitiere,,top_company_portfolio_matrix_off_brands,high,current primary brand is parent/company token; another OFF brand token needs brand-level review
3023290210338,La Laitiere Clafoutis aux cerises,"nestlé, la laitière",nestle,snacks,FRANCE,en:france,"Snacks, Desserts, Snacks sucrés, Biscuits et gâteaux, Gâteaux, Clafoutis, Clafoutis aux fruits, Clafoutis aux cerises",nestle; la laitiere,nestle,la laitiere,True,la laitiere,,top_company_portfolio_matrix_off_brands,high,current primary brand is parent/company token; another OFF brand token needs brand-level review
3023290419687,Clafoutis aux pommes façon Tatin,nestlé,nestle,snacks,FRANCE,en:france,"Snacks, Desserts, Snacks sucrés, Biscuits et gâteaux, Gâteaux, Clafoutis",nestle,nestle,nestle,False,,,no_change,,no more-specific Top 9 portfolio brand detected
3023290456538,Profiteroles au chocolat,nestlé,nestle,snacks,FRANCE,en:france,"Snacks,Desserts,Snacks sucrés,Biscuits et gâteaux,Desserts au chocolat,Pâtisseries,Réfrigérés,Profiteroles",nestle,nestle,nestle,False,,,no_change,,no more-specific Top 9 portfolio brand detected
3023290643488,Clafoutis aux cerises,"la laitière, nestlé",la laitiere,snacks,FRANCE,en:france,"snacks, desserts, sweet-snacks, biscuits-and-cakes, cakes, clafoutis, biscuits-et-gâteaux, fr:clafoutis-aux-cerises, fr:clafoutis-aux-fruits, fr:frais, gâteaux, snacks-sucrés, en:cherry-clafoutis",la laitiere; nestle,la laitiere,la laitiere,False,,,no_change,,no more-specific Top 9 portfolio brand detected
3023290719329,Clafoutis aux pommes façon tatin,"nestlé, la laitière",nestle,snacks,FRANCE,en:france,"Snacks, Desserts, Snacks sucrés, Biscuits et gâteaux, Gâteaux, Clafoutis, Pâtisseries, Clafoutis aux fruits, Clafoutis-aux-pommes",nestle; la laitiere,nestle,la laitiere,True,la laitiere,,top_company_portfolio_matrix_off_brands,high,current primary brand is parent/company token; another OFF brand token needs brand-level review
3023290798263,Far aux Pruneaux d'Agen,"nestlé, la laitière",nestle,snacks,FRANCE,en:france,"Snacks, Desserts, Snacks sucrés, Biscuits et gâteaux, Frais, Gâteaux, Gâteaux bretons, Fars",nestle; la laitiere,nestle,la laitiere,True,la laitiere,,top_company_portfolio_matrix_off_brands,high,current primary brand is parent/company token; another OFF brand token needs brand-level review
3025640081117,Chocolat Noir 80%,"nestlé, klaus",nestle,snacks,FRANCE,en:france,"Snacks, Snacks sucrés, Cacao et dérivés, Chocolats, Chocolats noirs",nestle; klaus,nestle,klaus,True,klaus,,top_company_portfolio_matrix_off_brands,high,current primary brand is parent/company token; another OFF brand token needs brand-level review
3033210001373,Buche glacee aux 3 chocolats,nestlé,nestle,snacks,FRANCE,en:france,"Snacks, Desserts, Snacks sucrés, Aliments festifs, Surgelés, Biscuits et gâteaux, Aliments et boissons de Noël, Desserts glacés, Gâteaux, Bûches de Noël, Bûches glacées",nestle,nestle,nestle,False,,,no_change,,no more-specific Top 9 portfolio brand detected
3033210001410,Délice de fruits rouges cœur de méringue,nestlé,nestle,snacks,FRANCE,en:france,"Snacks, Desserts, Snacks sucrés, Aliments festifs, Surgelés, Biscuits et gâteaux, Aliments et boissons de Noël, Desserts glacés, Gâteaux, Bûches de Noël, Bûches glacées",nestle,nestle,nestle,False,,,no_change,,no more-specific Top 9 portfolio brand detected
3033210006965,Glace smarties,nestlé,nestle,snacks,FRANCE,en:france,"Snacks, Snacks sucrés, Confiseries",nestle,nestle,smarties,True,smarties,Nestlé,top_company_portfolio_matrix_product_name,medium,current primary brand is parent/company token; portfolio brand appears in product name
3033210012256,Bûche de Noël glacée façon Dame Blanche 8/10 parts,nestlé,nestle,snacks,FRANCE,en:france,"Desserts, Festive foods, Frozen foods, Christmas foods and drinks, Frozen desserts, Yule log, Ice cream log, en:cakes",nestle,nestle,nestle,False,,,no_change,,no more-specific Top 9 portfolio brand detected
3033210810968,Buche glacée Douceur Melba,nestlé,nestle,snacks,FRANCE,en:france,"Snacks, Desserts, Snacks sucrés, Aliments festifs, Surgelés, Biscuits et gâteaux, Aliments et boissons de Noël, Desserts glacés, Gâteaux, Bûches de Noël, Bûches glacées",nestle,nestle,nestle,False,,,no_change,,no more-specific Top 9 portfolio brand detected
3033710000487,Chocolat au Lait Noisettes,nestlé,nestle,snacks,FRANCE,en:france,"Snacks, Snacks sucrés, Cacao et dérivés, Chocolats, Chocolats au lait, Chocolats aux noisettes, Chocolats au lait aux noisettes",nestle,nestle,nestle,False,,,no_change,,no more-specific Top 9 portfolio brand detected
3033710000760,Barre céréales au chocolat noir,nestlé,nestle,snacks,FRANCE,en:france,"Snacks, Sweet snacks, Bars, Cereal bars, en:chocolate-candies",nestle,nestle,nestle,False,,,no_change,,no more-specific Top 9 portfolio brand detected
3033710000821,SUNDY barre céréales et chocolat 36g,"nestlé, sundy",nestle,snacks,FRANCE,en:france,"Snacks, Snacks sucrés, Barres, Barres de céréales, Barres de céréales au chocolat",nestle; sundy,nestle,sundy,True,sundy,,top_company_portfolio_matrix_off_brands,high,current primary brand is parent/company token; another OFF brand token needs brand-level review
3033710001057,GALAK Chocolat Blanc,"nestlé, galak",nestle,snacks,FRANCE,en:france,"Snacks, Sweet snacks, Cocoa and its products, Chocolates, White chocolates, White chocolate bars, Confiseries, Confiseries chocolatées",nestle; galak,nestle,galak,True,galak,,top_company_portfolio_matrix_off_brands,high,current primary brand is parent/company token; another OFF brand token needs brand-level review
3033710001279,CRUNCH Lait Tablette 100g,"nestlé, crunch",nestle,snacks,BENELUX|FRANCE|DACH,en:belgium|en:france|en:morocco|en:switzerland,"Snacks,Snacks sucrés,Cacao et dérivés,Confiseries,Chocolats,Chocolats au lait,Chocolats au lait au riz, Confiseries chocolatées",nestle; crunch,nestle,crunch,True,crunch,,top_company_portfolio_matrix_off_brands,high,current primary brand is parent/company token; another OFF brand token needs brand-level review
3033710001286,Chocolat Au Lait,nestlé,nestle,snacks,FRANCE,en:france,"Snacks, Snacks sucrés, Cacao et dérivés, Chocolats, Chocolats au lait",nestle,nestle,nestle,False,,,no_change,,no more-specific Top 9 portfolio brand detected
3033710001347,Grand Chocolat noir Intense 70%,nestlé,nestle,snacks,FRANCE,en:france,"Snacks,Snacks sucrés,Cacao et dérivés,Chocolats,Chocolats noirs,Chocolat noir en tablette extra dégustation à 70% de cacao minimum",nestle,nestle,nestle,False,,,no_change,,no more-specific Top 9 portfolio brand detected
3033710001354,NESTLE LES RECETTES DE L'ATELIER - Carrés dégustation Chocolat noir 70% - 210g,"nestlé, les recettes de l'atelier, les recettes de l'atelier les carres",nestle,snacks,FRANCE,en:france,"Snacks,Snacks sucrés,Cacao et dérivés,Chocolats,Chocolats noirs,Chocolat noir en tablette extra dégustation à 70% de cacao minimum",nestle; les recettes de latelier; les recettes de latelier les carres,nestle,les recettes de latelier,True,les recettes de latelier,,top_company_portfolio_matrix_off_brands,high,current primary brand is parent/company token; another OFF brand token needs brand-level review
3033710002665,GALAK Chocolat Blanc Tablette 2x100g,"nestlé, galak",nestle,snacks,FRANCE,en:france,"Snacks, Sweet snacks, Cocoa and its products, Chocolates, White chocolates, Confiseries, Confiseries chocolatées",nestle; galak,nestle,galak,True,galak,,top_company_portfolio_matrix_off_brands,high,current primary brand is parent/company token; another OFF brand token needs brand-level review
3033710003020,Chocolat Noir Pâtissier Dessert Nestlé,nestlé,nestle,snacks,FRANCE,en:france,"Snacks,Snacks sucrés,Cacao et dérivés,Chocolats,Chocolats noirs",nestle,nestle,nestle,False,,,no_change,,no more-specific Top 9 portfolio brand detected
