product_name,off_brands_raw,old_normalized_brand,new_normalized_brand,brand_entity_source,parent_company,query_category,primary_country,observed_market_region_codes
Aero,Nestlé,nestle,Aero,product_name_recovery_nestle_uk_ie_snacks,Nestlé,snacks,United Kingdom,UK_IE
Aero,Nestlé,nestle,Aero,product_name_recovery_nestle_france_snacks,Nestlé,snacks,France,FRANCE
Aero Chocolate Caramel,Nestlé,nestle,Aero,product_name_recovery_nestle_uk_ie_snacks,Nestlé,snacks,United Kingdom,UK_IE
Aero Chocolate Melts,Nestlé,nestle,Aero,product_name_recovery_nestle_uk_ie_snacks,Nestlé,snacks,United Kingdom,UK_IE
Aero Dark & Milk,Nestlé,nestle,Aero,product_name_recovery_nestle_uk_ie_snacks,Nestlé,snacks,United Kingdom,UK_IE
Aero Delightful Peppermint,Nestlé,nestle,Aero,product_name_recovery_nestle_france_snacks,Nestlé,snacks,France,FRANCE|UK_IE
Aero Milk Chocolate Bar,Nestlé,nestle,Aero,product_name_recovery_nestle_france_snacks,Nestlé,snacks,Canada,US_CANADA|FRANCE
Aero Peppermint,Nestle,nestle,Aero,product_name_recovery_nestle_france_snacks,Nestlé,snacks,Canada,US_CANADA|FRANCE
Aero Peppermint,Nestlé,nestle,Aero,product_name_recovery_nestle_france_snacks,Nestlé,snacks,France,FRANCE|UK_IE
Aero Peppermint,Nestlé,nestle,Aero,product_name_recovery_nestle_uk_ie_snacks,Nestlé,snacks,Ireland,UK_IE
Aero Peppermint Chocolate Bar,Nestlé,nestle,Aero,product_name_recovery_nestle_uk_ie_snacks,Nestlé,snacks,United Kingdom,UK_IE
Aero chocolate,Nestlé,nestle,Aero,product_name_recovery_nestle_france_snacks,Nestlé,snacks,France,FRANCE
Aero dark and milk,Nestlé,nestle,Aero,product_name_recovery_nestle_uk_ie_snacks,Nestlé,snacks,United Kingdom,UK_IE
Barre De Chocolat Aero (grand Format),Nestlé,nestle,Aero,product_name_recovery_nestle_france_snacks,Nestlé,snacks,Canada,US_CANADA|FRANCE
Mint Aero,Nestle,nestle,Aero,product_name_recovery_nestle_uk_ie_snacks,Nestlé,snacks,United Kingdom,UK_IE
"Nestle aero, bubbles chocolate",Nestlé,nestle,Aero,product_name_recovery_nestle_france_snacks,Nestlé,snacks,France,FRANCE|UK_IE|US_CANADA
After Eight,Nestlé,nestle,After Eight,product_name_recovery_nestle_france_snacks,Nestlé,snacks,France,FRANCE|DACH|SOUTHERN_EUROPE
After Eight,Nestlé,nestle,After Eight,product_name_recovery_nestle_france_snacks,Nestlé,snacks,France,FRANCE|DACH
After eight,Nestlé,nestle,After Eight,product_name_recovery_nestle_france_snacks,Nestlé,snacks,France,FRANCE
after eight,Nestlé,nestle,After Eight,product_name_recovery_nestle_france_snacks,Nestlé,snacks,France,FRANCE
BALATON® Ét,Nestlé,nestle,Balaton,product_name_recovery_nestle_france_snacks,Nestlé,snacks,France,FRANCE
Balaton,Nestlé,nestle,Balaton,product_name_recovery_nestle_france_snacks,Nestlé,snacks,France,FRANCE
Barre Glacée Crunch,Nestlé,nestle,Crunch,product_name_recovery_nestle_france_snacks,Nestlé,snacks,France,FRANCE
Barre crunch glacée,Nestlé,nestle,Crunch,product_name_recovery_nestle_france_snacks,Nestlé,snacks,France,FRANCE
Berry Crunch Flavour Bar,"Nestlé,Optifast",nestle,Crunch,product_name_recovery_nestle_france_snacks,Nestlé,snacks,France,FRANCE
Crunch,Nestlé,nestle,Crunch,product_name_recovery_nestle_france_snacks,Nestlé,snacks,France,FRANCE
Crunch Creamy Milk Chocolate with Crisped Rice,Nestle,nestle,Crunch,product_name_recovery_nestle_france_snacks,Nestlé,snacks,France,FRANCE|US_CANADA
Crunch Noir,Nestlé,nestle,Crunch,product_name_recovery_nestle_france_snacks,Nestlé,snacks,France,FRANCE
Crunch Snack,Nestlé,nestle,Crunch,product_name_recovery_nestle_france_snacks,Nestlé,snacks,France,FRANCE
Crunch Snack,Nestlé,nestle,Crunch,product_name_recovery_nestle_france_snacks,Nestlé,snacks,France,FRANCE
Crunch snack,Nestlé,nestle,Crunch,product_name_recovery_nestle_france_snacks,Nestlé,snacks,France,FRANCE
crunch,Nestlé,nestle,Crunch,product_name_recovery_nestle_france_snacks,Nestlé,snacks,France,FRANCE
