recovered_brand,product_count,example_product_names
KitKat,124,Kit Kat mini | Kit kat drumstick | KIT KAT THÉ VERT | Kit Kat Mint Créme & Cookie Smash | KitKat Minis
Les Recettes de l’Atelier,87,"INCOA Les recettes de l'Atelier | les recettes de l atelier | NESTLE LES RECETTES DE L'ATELIER - Carrés dégustation Chocolat noir 70% - 210g | NESTLE LES RECETTES DE L'ATELIER - Carrés dégustation Chocolat noir éclats cacao - 192g | NESTLE L'ATELIER Chocolat Noir Myrtilles, Amandes et Noisettes"
Lion,22,LION MINI Barres chocolatées - sachet 385g | NESTLE LION Getreideriegel Multipack ( | Lion mini (+10% gratuit) | Lion | LION MINI Barres chocolatées - sachet 350g
Smarties,20,Smarties | White chocolate smarties | SMARTIES Mini bonbons chocolatés Sachet | SMARTIES WHITE CHOCOLATE Hexatube 34g | Smarties
Galak,19,Galak | GALAK Chocolat Blanc | GALAK Chocolat Blanc Tablette 2x100g | Galak | Galak speculoos
Fitness,16,Chocolate Fitness | Fitness chocolat au lait | Barres Fitness Chocolat Blanc | Fitness Tiramisu | Fitness Chocolat
Aero,16,"Aero Milk Chocolate Bar | Aero Peppermint | Barre De Chocolat Aero (grand Format) | Nestle aero, bubbles chocolate | Aero Peppermint"
Milkybar,14,Milkybar | Milky Bar | Milkybar | Milkybar white chocolate buttons | Milkybar imp
Nestlé Dessert,11,NESTLÉ DESSERT Praliné 170g | NESTLÉ DESSERT Noir 2x205g | NESTLE DESSERT Lait | NESTLÉ DESSERT 70% Absolu 3x170g | NESTLÉ DESSERT Chocolat Noir Éclats de Noisettes 170g
Crunch,10,Crunch Creamy Milk Chocolate with Crisped Rice | Berry Crunch Flavour Bar | Barre Glacée Crunch | Barre crunch glacée | Crunch Snack
Nesquik,10,Nesquik | NESQUIK Barres de Céréales 6 x 25g + 6 offertes | NESTLE NESQUIK Barres de Céréales Crunchy brownie 6x20g | Nesquik - Chocolat au lait fourré aux crème de lait | Nesquik wafer
Yorkie,6,Yorkie Original Duo | YORKIE DUO RAISIN & BISCUIT | Yorkie Original | Yorkie orange | Yorkie Honeycomb
After Eight,4,after eight | After Eight | After Eight | After eight
Balaton,2,Balaton | BALATON® Ét
Rolo,1,Rolo
