matched_brand,matched_brand_key,matched_company_candidate,top9_group,ownership_resolution_status,needs_manual_review_from_matrix,product_name,barcode,current_normalized_brand,current_brand_entity_raw,current_brand_entity_source,current_resolved_company,query_category,primary_country,observed_market_region_codes,image_url,off_brands_raw,match_rule,review_decision_blank,review_note_blank
7UP,7up,PepsiCo,PepsiCo,market_scoped,yes,7UP,5949000505267,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,beverages,France,FRANCE,https://images.openfoodfacts.org/images/products/594/900/050/5267/front_ro.3.400.jpg,,product_name_starts_exactly_with_top9_portfolio_brand,,
7UP,7up,Keurig Dr Pepper,PepsiCo,market_scoped,yes,7UP,78000026597,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,beverages,United States,US_CANADA,,,product_name_starts_exactly_with_top9_portfolio_brand,,
7UP,7up,Keurig Dr Pepper,PepsiCo,market_scoped,yes,7UP lemon lime flavored soda,78000012804,st regis,st regis,first_off_brand_token_fallback,Other / not mapped to a company,beverages,United States,US_CANADA,,St Regis,product_name_starts_exactly_with_top9_portfolio_brand,,
7UP,7up,PepsiCo,PepsiCo,market_scoped,yes,7UP saveur citron & citron vert 33 cl,3168930159773,seven up,seven up,first_off_brand_token_fallback,Other / not mapped to a company,beverages,France,FRANCE,https://images.openfoodfacts.org/images/products/316/893/015/9773/front_fr.32.400.jpg,seven up,product_name_starts_exactly_with_top9_portfolio_brand,,
7UP,7up,PepsiCo,PepsiCo,market_scoped,yes,"7UP saveur mojito citron vert & menthe 1,5 L",3502110006271,pepsico,pepsico,first_off_brand_token_fallback,Other / not mapped to a company,beverages,France,FRANCE,https://images.openfoodfacts.org/images/products/350/211/000/6271/front_fr.105.400.jpg,PepsiCo,product_name_starts_exactly_with_top9_portfolio_brand,,
7UP,7up,PepsiCo,PepsiCo,market_scoped,yes,7up,3502110005694,pepsico,pepsico,first_off_brand_token_fallback,Other / not mapped to a company,beverages,France,FRANCE,https://images.openfoodfacts.org/images/products/350/211/000/5694/front_fr.15.400.jpg,Pepsico,product_name_starts_exactly_with_top9_portfolio_brand,,
7UP,7up,PepsiCo,PepsiCo,market_scoped,yes,7up,4060800303455,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,beverages,United Kingdom,UK_IE,https://images.openfoodfacts.org/images/products/406/080/030/3455/front_en.3.400.jpg,,product_name_starts_exactly_with_top9_portfolio_brand,,
7UP,7up,PepsiCo,PepsiCo,market_scoped,yes,7up,6111252420226,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,beverages,France,FRANCE,https://images.openfoodfacts.org/images/products/611/125/242/0226/front_fr.4.400.jpg,,product_name_starts_exactly_with_top9_portfolio_brand,,
7UP,7up,Keurig Dr Pepper,PepsiCo,market_scoped,yes,7up,65400000968,7UP,7UP,existing_company_brand_mapping_token_match,Manual review,beverages,Canada,US_CANADA|FRANCE,https://images.openfoodfacts.org/images/products/006/540/000/0968/front_en.19.400.jpg,7up,product_name_starts_exactly_with_top9_portfolio_brand,,
7UP,7up,PepsiCo,PepsiCo,market_scoped,yes,7up,8717700001009,seven up,seven up,first_off_brand_token_fallback,Other / not mapped to a company,beverages,France,FRANCE|DACH|SOUTHERN_EUROPE,https://images.openfoodfacts.org/images/products/871/770/000/1009/front_it.11.400.jpg,Seven up,product_name_starts_exactly_with_top9_portfolio_brand,,
7UP,7up,PepsiCo,PepsiCo,market_scoped,yes,7up,894110313497,pepsico,pepsico,first_off_brand_token_fallback,Other / not mapped to a company,beverages,Bangladesh,FRANCE,https://images.openfoodfacts.org/images/products/089/411/031/3497/front_en.5.400.jpg,pepsico,product_name_starts_exactly_with_top9_portfolio_brand,,
7UP,7up,PepsiCo,PepsiCo,market_scoped,yes,7up Free,87170856,pepsico,pepsico,first_off_brand_token_fallback,Other / not mapped to a company,beverages,France,FRANCE|UK_IE,https://images.openfoodfacts.org/images/products/000/008/717/0856/front_en.15.400.jpg,PepsiCo,product_name_starts_exactly_with_top9_portfolio_brand,,
7UP,7up,Keurig Dr Pepper,PepsiCo,market_scoped,yes,7up Zero Sugar,7818901,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,beverages,United States,US_CANADA,https://images.openfoodfacts.org/images/products/000/000/781/8901/front_en.4.400.jpg,,product_name_starts_exactly_with_top9_portfolio_brand,,
7UP,7up,PepsiCo,PepsiCo,market_scoped,yes,7up free mojito,8719128117829,unknown,unknown,first_off_brand_token_fallback,Other / not mapped to a company,beverages,France,FRANCE,https://images.openfoodfacts.org/images/products/871/912/811/7829/front_fr.3.400.jpg,,product_name_starts_exactly_with_top9_portfolio_brand,,
