matched_company_candidate,matched_brand,query_category,observed_market_region_codes,candidate_product_count,example_product_names
Nestle,Gourmet,snacks,US_CANADA,254,Gourmet Almond Toffee | Gourmet Almond Toffee Covered In Dark Chocolate | Gourmet Almond Toffee Covered In Milk Chocolate | Gourmet Banana Nut Muffins | Gourmet Black Liquorice Candy
Nestlé,Corn Flakes,cereals,FRANCE,116,CORN FLAKES NATURE VRAC | CORN FLAKES SUCRE CANNE | Corn Flakes | Corn Flakes | Corn Flakes
Nestlé,Corn Flakes,cereals,US_CANADA,71,CORN FLAKES TOASTED CORN CEREAL | Corn Flakes | Corn Flakes | Corn Flakes | Corn Flakes
The Hershey Company,Reese's,snacks,US_CANADA,52,"REESE'S STICKS | Reese'S, Crunchy Miniatures Milk Chocolate Peanut Butter Cups | Reese'S, Fast Break Candy, Milk Chocolate, Peanut Butter & Nougats, Milk Chocolate, Peanut Butter & Nougats | Reese'S, Milk Chocolate & Peanut Butter | Reese'S, Milk Chocolate & Peanut Butter Football"
PepsiCo,Doritos,snacks,US_CANADA,48,Doritos | Doritos | Doritos | Doritos | Doritos
PepsiCo,Lay's,snacks,US_CANADA,45,Lay's Barbecue Flavored Potato Chips 2.88 Ounce Plastic Bag | Lay's Barbecue Flavored Potato Chips 9.5 Ounce Plastic Bag | Lay's Barbecue Flavored Potato Chips Party Size 13.25 Ounce Plastic Bag | Lay's Cheddar & Sour Cream Flavored Potato Chips 9.5 Ounce Bag | Lay's Cheesy Garlic Bread Potato Chips 9.5 Ounce Bag
Nestle,Gourmet,beverages,US_CANADA,39,"Gourmet Bloody Mary Mix | Gourmet Chocolate Natural 100% Whey Protein Powder | Gourmet Hot Cocoa | Gourmet Hot Cocoa, Cookies 'N' Creme | Gourmet Nectar, Strawberry Guava"
Cereal Partners Worldwide,Chocapic,cereals,FRANCE,34,CHOCAPIC BIO céréales petit déjeuner | Chocapic | Chocapic | Chocapic | Chocapic
Nestle,Gourmet,dairies,US_CANADA,34,Gourmet Cheese Spread | Gourmet Cheese Spread | Gourmet Cracker Cuts Sliced Cheese Variety Pack | Gourmet Egg Nog | Gourmet Fresh Heavy Whipping Cream
The Coca-Cola Company,Coca-Cola,beverages,FRANCE,25,Coca Cola | Coca Cola | Coca Cola | Coca Cola | Coca Cola 500ml
PepsiCo,Cheetos,snacks,US_CANADA,19,Cheetos | Cheetos | Cheetos Cheddar Popcorn | Cheetos Crunchy Cheddar and Jalapeno Flavored Snacks 2.25z | Cheetos Crunchy Cheese Flavored Snacks 3.25 Ounce Plastic Bag
Nestlé,Nestea,beverages,US_CANADA,18,"Nestea, diet green tea, citrus | Nestea, diet green tea, citrus | Nestea, diet iced tea, lemon | Nestea, green tea, citrus, citrus | Nestea, half & half iced tea, lemonade, lemonade"
The Hershey Company,Jolly Rancher,snacks,US_CANADA,18,Jolly Rancher | Jolly Rancher Assortment | Jolly Rancher Gummy Sours | Jolly Rancher Jelly Hearts | Jolly rancher chews original flavors assortment
Cereal Partners Worldwide,Fitness,cereals,FRANCE,16,FITNESS Miel amandes | Fitness - Pépite croustillantes d'avoine au chocolat croquant d'avoine | Fitness Bio | Fitness Chocolat au Lait | Fitness Croquant d'Avoine - Pépites croustillantes d'avoine au bon goût de miel
Froneri,Extrême,snacks,US_CANADA,16,"Extreme Dark Chocolate 88% | Extreme Health Usa, Dark Chocolate Covered Chia Seeds | Extreme Sour Hard Candy | Extreme Sour Hard Candy | Extreme Sour Hard Candy"
PepsiCo,Fritos,snacks,US_CANADA,14,Fritos - The Original Corn Chips | Fritos BAR-B-Q Corn Chips 2.00 Ounce Plastic Bag | Fritos Bar-B-Q Corn Chips 1.0 Ounce Plastic Bag | Fritos Bar-B-Q Flavored Corn Chips 9.75 Ounce Plastic Bag | Fritos Flamin Hot Flavored Corn Chips 9.75 Ounce Plastic Bag
PepsiCo,Ruffles,snacks,US_CANADA,14,RUFFLES | Ruffles Bar-b-que Potato Chips 15.75 ounces | Ruffles Cheddar & Sour Cream | Ruffles Cheddar & Sour Cream Flavored Potato Chips 2.875 Ounce Plastic Bag | Ruffles Honey Mustard Potato Chips 1.875 ounces
Keurig Dr Pepper,Dr Pepper,beverages,US_CANADA,13,"Dr pepper, diet soda | Dr pepper, diet soda | Dr pepper, naturally sweetened soda | Dr pepper, soda | Dr pepper, soda"
Nestlé,Boost,beverages,US_CANADA,13,Boost | Boost | Boost Glucose Control | Boost Max Women Nutritional shake | Boost Plus Complete Nutritional Drink Rich Chocolate - 6 PK
The Coca-Cola Company,Minute Maid,beverages,US_CANADA,13,"Minute maid, 100% juice, apple white grape, apple white grape | Minute maid, 100% juice, mixed berry, mixed berry | Minute maid, fruit drink, peach | Minute maid, kids+, 100% juice, orange, orange | Minute maid, lemonade"
Keurig Dr Pepper,7UP,beverages,US_CANADA,12,"7UP | 7UP lemon lime flavored soda | 7up Zero Sugar | 7up, caffeine free diet soda | 7up, caffeine free diet soda, diet cherry"
Nestle,Gourmet,cereals,US_CANADA,12,Gourmet Granola | Gourmet Granola | Gourmet Granola | Gourmet Granola | Gourmet Granola
Cereal Partners Worldwide,Fitness,snacks,FRANCE,11,FITNESS Délice barres de céréales chocolat au lait | Fitness Breakfast Cereal Bar - Chocolate | Fitness Dark Chocolate 375gr | Fitness Délice - Chocolat Noir | Fitness Délice Chocolat au lait
Nestle,Gourmet,snacks,FRANCE,11,"Gourmet | Gourmet Doux - Tartine, cuisine, pâtisserie | Gourmet Jelly Beans | Gourmet Line Milk | Gourmet Nougat"
Nestlé,Corn Flakes,cereals,FRANCE|SOUTHERN_EUROPE,11,Corn Flakes | Corn Flakes | Corn Flakes | Corn Flakes | Corn Flakes Senza glutine
PepsiCo,Pepsi,beverages,FRANCE,11,PEPSI ZERO SLEEK CAN 330MLX6 | Pepsi | Pepsi Max | Pepsi Pet 50CL | Pepsi Zéro Sleek 33 cl
The Coca-Cola Company,Coca-Cola,beverages,US_CANADA,11,Coca cola orange vanilla cola | Coca cola zero Orange Vanille | Coca-Cola | Coca-Cola | Coca-Cola 1.25L
