matched_top9_company_group,matched_top9_brand,matched_brand_key,candidate_orphan_brand,candidate_orphan_brand_key,current_company_owner,proposed_company_owner_candidates,query_category,primary_country,observed_market_region_codes,match_rule,product_count,example_product_names,example_off_brands_raw,example_barcodes,example_image_urls,suggested_action,review_decision,review_note,final_company_owner,apply_to_mapping,apply_to_mapping_bool,review_decision_clean,target_company_owner,target_normalized_brand,target_primary_brand_db,target_brand_key,target_company_key,product_count_num,applied_by_script
PepsiCo,Lay's,lay s,Lay’s,lays,Other / not mapped to a company,PepsiCo,snacks,United States,US_CANADA,brand_prefix_concatenated_review,410,"Lays wavy | Original Wavy Potato Chips | Sour Cream & Onion Potato Chips | Barbecue Flavored Potato Chips, Barbecue | Sour Cream & Onion Flavored Potato Chips, Sour Cream & Onion","Lay's | LAY'S | Lays | Lay's, Lays | Lay's,Fritolay",16543447 | 185004690652 | 28400001748 | 28400002714 | 28400002752,https://images.openfoodfacts.org/images/products/000/001/654/3447/front_en.3.400.jpg | https://images.openfoodfacts.org/images/products/018/500/469/0652/front_en.3.400.jpg | https://images.openfoodfacts.org/images/products/002/840/000/1748/front_en.29.400.jpg,review_prefix_candidate,approve proposed,Lay's spelling/combined-brand variant.,PepsiCo,True,True,approve proposed,PepsiCo,Lay’s,Lay’s,lays,pepsico,410,True
PepsiCo,Lay's,lay s,Lay’s,lays,Other / not mapped to a company,PepsiCo,snacks,France,FRANCE,brand_prefix_concatenated_review,343,Chips tomate paprika | Chips méditerranéennes | Chips Saveur Barbecue | Chips lays | Chips nature allégée,"Lay's | Lays | Lay's, Lays, PepsiCo | Lays, lai's, lay's | Lay's, Lays",1002107806 | 1257384009757 | 131340174653 | 13173951 | 1356658935935,https://images.openfoodfacts.org/images/products/000/100/210/7806/front_fr.3.400.jpg | https://images.openfoodfacts.org/images/products/125/738/400/9757/front_fr.3.400.jpg | https://images.openfoodfacts.org/images/products/013/134/017/4653/front_fr.3.400.jpg,review_prefix_candidate,approve proposed,Lay's spelling/combined-brand variant.,PepsiCo,True,True,approve proposed,PepsiCo,Lay’s,Lay’s,lays,pepsico,343,True
Hershey,Reese's,reese s,Reese's,reeses,Other / not mapped to a company,The Hershey Company,snacks,United States,US_CANADA,brand_prefix_concatenated_review,136,"Easter chocolate candy peanut butter egg | King Size Milk Chocolate Peanut Butter Cups | Box pc peanut butter creme egg milk chocolate easter eggs candy | Creamy Peanut Butter, Caramel, Peanuts And Pecans Wrapped In Milk Chocolate Clusters, Creamy Peanut Butter, Caramel | Reese'S, Mini Sticks, Mini Crispy Wafers, Milk Chocolate, Peanut Butter, Milk Chocolate, Peanut Butter",Reese's | Reese’s | reeses | REESE'S | Reeses,34000004751 | 34000004805 | 34000012633 | 34000016075 | 34000093717,https://images.openfoodfacts.org/images/products/003/400/000/4751/front_en.3.400.jpg | https://images.openfoodfacts.org/images/products/003/400/000/4805/front_en.4.400.jpg | https://images.openfoodfacts.org/images/products/003/400/001/2633/front_en.4.400.jpg,review_prefix_candidate,approve proposed,Reese's spelling/combined-brand variant.,The Hershey Company,True,True,approve proposed,The Hershey Company,Reese's,Reese's,reeses,the hershey company,136,True
Nestlé,Essentia,essentia,essential everyday,essential everyday,Other / not mapped to a company,Nestlé,snacks,United States,US_CANADA,brand_prefix_concatenated_review,78,"Chewy chocolate chip granola bars | Oats & Honey Crunchy Granola Bars | Crunchy peanut butter granola bars, crunchy peanut butter | Fruit & Grain Bars | Blueberry frosted toaster pastries, blueberry","Essential Everyday | Essential everyday | Essential Everyday, Supervalu Inc.",41303001288 | 41303001349 | 41303001356 | 41303001400 | 41303001448,https://images.openfoodfacts.org/images/products/004/130/300/1288/front_en.4.400.jpg | https://images.openfoodfacts.org/images/products/004/130/300/1349/front_en.8.400.jpg | https://images.openfoodfacts.org/images/products/004/130/300/1400/front_en.5.400.jpg,review_prefix_candidate,reject prefix match / keep Other,False prefix: Essential Everyday/Essential brands are not Nestlé Essentia.,Other / not mapped to a company,False,False,reject prefix match / keep Other,Other / not mapped to a company,Essentia,essential everyday,essential everyday,other not mapped to a company,78,False
Coca-Cola,Monster Energy,monster energy,monster energy company,monster energy company,Other / not mapped to a company,Monster Beverage Corp (Coca-Cola 20% stake / exclusive distrib),beverages,United States,US_CANADA,brand_prefix_with_separator,57,"Original Lemonade | Mango Lemonade | Hubert's, Raspberry Lemonade, Raspberry | Peace Tea, Caddy Shack, Ice Tea + Lemonade | Peace Tea, Sweet Lemon Tea, Lemon","Monster Energy Company, Hubert's Lemonade | Monster Energy Company",70847000532 | 70847000570 | 70847000617 | 70847003670 | 70847004028,https://images.openfoodfacts.org/images/products/007/084/700/0532/front_en.5.400.jpg | https://images.openfoodfacts.org/images/products/007/084/700/4400/front_en.5.400.jpg | https://images.openfoodfacts.org/images/products/007/084/701/3426/front_en.6.400.jpg,review_prefix_candidate,approve proposed,Monster Energy Company string; keep scoped proposed owner.,Monster Beverage Corp (Coca-Cola 20% stake / exclusive distrib),True,True,approve proposed,Monster Beverage Corp (Coca-Cola 20% stake / exclusive distrib),Monster Energy,monster energy company,monster energy company,monster beverage corp coca cola 20 stake exclusive distrib,57,True
Nestlé,Essentia,essentia,essential everyday,essential everyday,Other / not mapped to a company,Nestlé,dairies,United States,US_CANADA,brand_prefix_concatenated_review,50,"Greek nonfat vanilla yogurt | CREAM CHEESE | Chive & onion | Essential everyday, mild cheddar cheese | Mexican Style Cheddar Jack Cheese","Essential everyday | Essential Everyday | Essential Everyday,Supervalu Inc. | Essential Everyday, Supervalu Inc.",14502042 | 41303006191 | 41303006269 | 41303007891 | 41303007914,https://images.openfoodfacts.org/images/products/000/001/450/2042/front_en.3.400.jpg | https://images.openfoodfacts.org/images/products/004/130/300/6191/front_en.10.400.jpg | https://images.openfoodfacts.org/images/products/004/130/300/6269/front_en.6.400.jpg,review_prefix_candidate,reject prefix match / keep Other,False prefix: Essential Everyday/Essential brands are not Nestlé Essentia.,Other / not mapped to a company,False,False,reject prefix match / keep Other,Other / not mapped to a company,Essentia,essential everyday,essential everyday,other not mapped to a company,50,False
Nestlé,Essentia,essentia,essential everyday,essential everyday,Other / not mapped to a company,Nestlé,beverages,United States,US_CANADA,brand_prefix_concatenated_review,49,"100% tomato juice from concentrate with added ingredients | Tomato Juice | 100% vegetable juice from concentrate, vegetable | Light Flavored Juice Cocktail, Cranberry | Cranberry raspberry flavored juice cocktail blend","Essential Everyday, Supervalu Inc. | Essential Everyday | Essential Everyday,Supervalu Inc. | Essential Everyday, Supervalu | Essential everyday",41303002582 | 41303002599 | 41303002629 | 41303002834 | 41303002858,https://images.openfoodfacts.org/images/products/004/130/300/2599/front_en.6.400.jpg | https://images.openfoodfacts.org/images/products/004/130/300/2834/front_en.5.400.jpg | https://images.openfoodfacts.org/images/products/004/130/300/3022/front_en.8.400.jpg,review_prefix_candidate,reject prefix match / keep Other,False prefix: Essential Everyday/Essential brands are not Nestlé Essentia.,Other / not mapped to a company,False,False,reject prefix match / keep Other,Other / not mapped to a company,Essentia,essential everyday,essential everyday,other not mapped to a company,49,False
Mondelez,Clif,clif,clif bar and company,clif bar and company,Other / not mapped to a company,Mondelez International,snacks,United States,US_CANADA,brand_prefix_with_separator,47,"Peanut butter fruit + nut bar, peanut butter | Berry almond fruit + nut bar, berry almond | Cashew fruit + nut bar, cashew | Dark chocolate almond coconut fruit + nut bar, dark chocolate almond coconut | White chocolate macadamia nutrition bar",Clif Bar And Company | Clif Bar & Company,722252014191 | 722252014207 | 722252014214 | 722252014221 | 722252100672,https://images.openfoodfacts.org/images/products/072/225/210/0672/front_en.5.400.jpg | https://images.openfoodfacts.org/images/products/072/225/216/1055/front_en.8.400.jpg | https://images.openfoodfacts.org/images/products/072/225/220/0693/front_en.5.400.jpg,review_prefix_candidate,approve proposed,Clif/Clif Bar variant.,Mondelēz International,True,True,approve proposed,Mondelēz International,Clif,clif bar and company,clif bar and company,mondelez international,47,True
PepsiCo,Lay's,lay s,Lay’s,lays,Other / not mapped to a company,PepsiCo,snacks,Belgium,BENELUX|FRANCE,brand_prefix_concatenated_review,38,Chips natures | Saveur Poulet Rôti | Cuites au four nature | Chips paysannes nature | Chips à l'ancienne nature,"Lays | Lay's, Lays, PepsiCo | Lay’s | Lay's | Lay's, Lays",3168930000877 | 3168930001591 | 3168930002987 | 3168930003823 | 3168930003830,https://images.openfoodfacts.org/images/products/316/893/000/0877/front_en.73.400.jpg | https://images.openfoodfacts.org/images/products/316/893/000/1591/front_fr.53.400.jpg | https://images.openfoodfacts.org/images/products/316/893/000/2987/front_en.134.400.jpg,review_prefix_candidate,approve proposed,Lay's spelling/combined-brand variant.,PepsiCo,True,True,approve proposed,PepsiCo,Lay’s,Lay’s,lays,pepsico,38,True
Nestlé,Essentia,essentia,essential everyday,essential everyday,Other / not mapped to a company,Nestlé,cereals,United States,US_CANADA,brand_prefix_concatenated_review,24,"Granola With Raisins & Almonds | Cinni - mini crunch cereal | Lightly Sweetened Whole Grain Wheat Cereal | Fruit Flavored Multi-Grain Sweetened Cereal | Essential everyday, crunchy rice squares, oven toasted rice cereal","Essential Everyday | Essential Everyday, Supervalu Inc. | Essential everyday",41303001516 | 41303001622 | 41303001653 | 41303001721 | 41303001912,https://images.openfoodfacts.org/images/products/004/130/300/1516/front_en.5.400.jpg | https://images.openfoodfacts.org/images/products/004/130/300/1622/front_en.5.400.jpg | https://images.openfoodfacts.org/images/products/004/130/300/1653/front_en.5.400.jpg,review_prefix_candidate,reject prefix match / keep Other,False prefix: Essential Everyday/Essential brands are not Nestlé Essentia.,Other / not mapped to a company,False,False,reject prefix match / keep Other,Other / not mapped to a company,Essentia,essential everyday,essential everyday,other not mapped to a company,24,False
