matched_top9_company_group,matched_top9_brand,match_rule,candidate_product_count
PepsiCo,Lay's,brand_prefix_concatenated_review,869
Nestlé,Essentia,brand_prefix_concatenated_review,277
Hershey,Reese's,brand_prefix_concatenated_review,217
Nestlé,Gourmet,brand_prefix_with_separator,100
Coca-Cola,Monster Energy,brand_prefix_with_separator,64
Nestlé,Fitness,exact_brand_match,59
Mondelez,Clif,brand_prefix_with_separator,57
Nestlé,Chef,brand_prefix_with_separator,50
Coca-Cola,Coca-Cola,brand_prefix_with_separator,49
Danone,Blédina,exact_brand_match,44
Mondelez,Chips Ahoy!,exact_brand_match,43
PepsiCo,Pepsi,brand_prefix_concatenated_review,41
Nestlé,Bakers,brand_prefix_with_separator,36
Mondelez,Milka,brand_prefix_concatenated_review,35
PepsiCo,Pepsi,brand_prefix_with_separator,27
Kraft Heinz,Wyler's,brand_prefix_concatenated_review,27
Nestlé,Munch,brand_prefix_concatenated_review,23
Danone,Dannon,brand_prefix_with_separator,21
PepsiCo,Walkers,brand_prefix_with_separator,20
Nestlé,Beyond,brand_prefix_with_separator,18
Nestlé,Milo,brand_prefix_concatenated_review,16
Nestlé,Vitaflo,brand_prefix_concatenated_review,16
Nestlé,Hépar,exact_brand_match,15
Nestlé,Mövenpick,exact_brand_match,14
Nestlé,La Vie,brand_prefix_with_separator,12
PepsiCo,Gatorade,brand_prefix_with_separator,12
Nestlé,Nescafé,brand_prefix_with_separator,11
Mondelez,Clif,brand_prefix_concatenated_review,11
Danone,Oikos,brand_prefix_with_separator,10
Nestlé,Chef,brand_prefix_concatenated_review,10
Nestlé,Orgain,brand_prefix_with_separator,9
Coca-Cola,Dr Pepper,exact_brand_match,9
Danone,Alpro,brand_prefix_concatenated_review,8
Mondelez,Cadbury,brand_prefix_concatenated_review,7
Danone,Danone,brand_prefix_with_separator,7
Nestlé,Perrier,brand_prefix_with_separator,7
Nestlé,Sanpellegrino,brand_prefix_with_separator,7
Nestlé,Boost,brand_prefix_concatenated_review,7
Nestlé,Cheerios,exact_brand_match,7
Nestlé,Impact,brand_prefix_with_separator,7
PepsiCo,Schweppes,exact_brand_match,6
PepsiCo,7UP,exact_brand_match,6
Nestlé,Smarties,brand_prefix_with_separator,6
Coca-Cola,Coca-Cola,brand_prefix_concatenated_review,6
Nestlé,Felix,brand_prefix_with_separator,5
Nestlé,Nestlé Pure Life,exact_brand_match,5
Coca-Cola,Sprite,brand_prefix_with_separator,5
Mondelez,Ritz,brand_prefix_with_separator,5
Mondelez,Oreo,brand_prefix_with_separator,4
Coca-Cola,Fanta,brand_prefix_concatenated_review,4
Kraft Heinz,Capri Sun,exact_brand_match,4
Danone,Silk,brand_prefix_with_separator,4
Nestlé,Munch,brand_prefix_with_separator,4
Nestlé,Boost,brand_prefix_with_separator,3
Nestlé,Nespresso,brand_prefix_with_separator,3
PepsiCo,SodaStream,brand_prefix_with_separator,3
Danone,Volvic,brand_prefix_with_separator,3
Mondelez,Belvita,brand_prefix_with_separator,3
PepsiCo,Mountain Dew,brand_prefix_with_separator,3
Nestlé,Fitness,brand_prefix_concatenated_review,3
Danone,Evian,brand_prefix_with_separator,3
Coca-Cola,Fanta,brand_prefix_with_separator,2
Coca-Cola,Fuze Tea,brand_prefix_with_separator,2
Coca-Cola,Diet Coke,brand_prefix_with_separator,2
Mondelez,Triscuit,brand_prefix_concatenated_review,2
PepsiCo,Quaker Oats,brand_prefix_with_separator,2
Unilever,Hellmann's,brand_prefix_concatenated_review,2
PepsiCo,Doritos,brand_prefix_with_separator,2
Nestlé,Gerber,brand_prefix_with_separator,2
Nestlé,Essentia,brand_prefix_with_separator,2
Nestlé,Fitness,brand_prefix_with_separator,2
Kraft Heinz,Capri Sun,brand_prefix_with_separator,2
Mondelez,Milka,brand_prefix_with_separator,2
Mondelez,Oreo,brand_prefix_concatenated_review,2
Danone,Cow & Gate,exact_brand_match,2
Danone,Danone,brand_prefix_concatenated_review,2
Nestlé,KitKat,brand_prefix_with_separator,2
