"parent_company","primary_brand_db","ownership_resolution_status","market_scope","country_tags_include","country_tags_exclude","region_codes_include","region_codes_exclude","needs_manual_review"
"Associated British Foods","ovaltine","market_scoped","Canada / UK / Ireland / France","","en:united-states","UK_IE|FRANCE|US_CANADA","","yes"
"Cereal Partners Worldwide","cheerios","market_scoped","UK / Ireland / France","","","UK_IE|FRANCE","","yes"
"Cereal Partners Worldwide (Nestlé/General Mills JV)","nesquik cereal","market_scoped","Canada / UK / Ireland / France","","en:united-states","UK_IE|FRANCE|US_CANADA","","yes"
"Cereal Partners Worldwide (Nestlé/General Mills JV)","nesvita","direct","US / Canada / UK / Ireland / France","","","","","no"
"Froneri","haagen dazs","market_scoped","US / Canada","","","US_CANADA","","yes"
"General Mills","cheerios","market_scoped","US / Canada","","","US_CANADA","","yes"
"General Mills","haagen dazs","market_scoped","UK / Ireland / France","","","UK_IE|FRANCE","","yes"
"General Mills","nesquik cereal","market_scoped","US","en:united-states","","","","yes"
"LIPTON Teas and Infusions / Ekaterra","lipton dry tea","recently_sold_or_spun_off","Global / dry tea","","","","","yes"
"LIPTON Teas and Infusions / Ekaterra","pg tips","recently_sold_or_spun_off","Global / dry tea","","","","","yes"
"LIPTON Teas and Infusions / Ekaterra","pukka","recently_sold_or_spun_off","Global / dry tea","","","","","yes"
"LIPTON Teas and Infusions / Ekaterra","tazo","recently_sold_or_spun_off","Global / dry tea","","","","","yes"
"Manual review","lipton","manual_review","Unclear Lipton product/channel; dry tea vs RTD differs","","","","","yes"
"Manual review","starbucks","manual_review","Generic Starbucks route; retail coffee vs RTD vs cafe item differs","","","","","yes"
"Nestlé","kitkat","market_scoped","Canada / UK / Ireland / France","","en:united-states","UK_IE|FRANCE|US_CANADA","","yes"
"Nestlé","ovaltine","market_scoped","US","en:united-states","","","","yes"
"Nestlé","rolo","market_scoped","Canada / UK / Ireland / France","","en:united-states","UK_IE|FRANCE|US_CANADA","","yes"
"Nestlé","smarties","market_scoped","Canada / UK / Ireland / France","","en:united-states","UK_IE|FRANCE|US_CANADA","","yes"
"Nestlé","starbucks coffee at home","licensed_or_partnered","US / Canada / UK / Ireland / France","","","","","yes"
"PepsiCo / North American Coffee Partnership","starbucks chilled frappuccino","licensed_or_partnered","US / Canada / UK / Ireland / France","","","","","yes"
"PepsiCo / North American Coffee Partnership","starbucks doubleshot canned","licensed_or_partnered","US / Canada / UK / Ireland / France","","","","","yes"
"Smarties Candy Company","smarties","market_scoped","US","en:united-states","","","","yes"
"The Hershey Company","kitkat","market_scoped","US","en:united-states","","","","yes"
"The Hershey Company","rolo","market_scoped","US","en:united-states","","","","yes"
"The Magnum Ice Cream Company","ben and jerry s","recently_demerged","Global / recently demerged ice cream business","","","","","yes"
"The Magnum Ice Cream Company","breyers","recently_demerged","Global / recently demerged ice cream business","","","","","yes"
"The Magnum Ice Cream Company","carte d or","recently_demerged","Global / recently demerged ice cream business","","","","","yes"
"The Magnum Ice Cream Company","cornetto","recently_demerged","Global / recently demerged ice cream business","","","","","yes"
"The Magnum Ice Cream Company","magnum","recently_demerged","Global / recently demerged ice cream business","","","","","yes"
"The Magnum Ice Cream Company","magnum ice cream","recently_demerged","Global / recently demerged ice cream business","","","","","yes"
"The Magnum Ice Cream Company","miko","recently_demerged","Global / recently demerged ice cream business","","","","","yes"
"The Magnum Ice Cream Company","solero","recently_demerged","Global / recently demerged ice cream business","","","","","yes"
"The Magnum Ice Cream Company","viennetta","recently_demerged","Global / recently demerged ice cream business","","","","","yes"
"The Magnum Ice Cream Company","wall s","recently_demerged","Global / recently demerged ice cream business","","","","","yes"
"The Magnum Ice Cream Company","wall s ice cream","recently_demerged","Global / recently demerged ice cream business","","","","","yes"
