region,category,metric,tail_band,tail_direction,barcode,product_name,brand,company,off_categories,image_url,metric_value,nutrition_quality_status,nutrition_quality_reason,energy_macro_exception_type,suggested_pattern_label
BENELUX,beverages,carbs_g_100g,P0-P1,bottom,5060229013675,Tisane Bio Amour Pukka,pukka,,"Aliments et boissons à base de végétaux,Boissons,Boissons chaudes,Boissons à base de végétaux,Thés,Infusions,Tisanes infusées,Tisanes infusées non sucrées",https://images.openfoodfacts.org/images/products/506/022/901/3675/front_fr.22.400.jpg,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,likely_genuine_outlier_cluster
BENELUX,beverages,carbs_g_100g,P0-P1,bottom,5060229013668,Pukka Relax,pukka,,"Boissons et préparations de boissons, Aliments et boissons à base de végétaux, Boissons, Boissons chaudes, Boissons à base de végétaux, Préparations pour boissons, Infusions, Infusions en sachets, nl:Kruident",https://images.openfoodfacts.org/images/products/506/022/901/3668/front_fr.21.400.jpg,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,likely_genuine_outlier_cluster
BENELUX,beverages,carbs_g_100g,P0-P1,bottom,87222913,Bar-le-Duc plate,bar-le-duc,,"Boissons, Eaux, Eaux de sources, Eaux minérales, Eaux minérales naturelles",https://images.openfoodfacts.org/images/products/000/008/722/2913/front_fr.12.400.jpg,0.0,valid,,,likely_genuine_outlier_cluster
BENELUX,beverages,carbs_g_100g,P0-P1,bottom,20022969,Natural mineral water,saskia,,"Beverages, Waters, Spring waters, Mineral waters, Natural mineral waters",https://images.openfoodfacts.org/images/products/000/002/002/2969/front_en.44.400.jpg,0.0,valid,,,likely_genuine_outlier_cluster
BENELUX,beverages,carbs_g_100g,P0-P1,bottom,8850369014345,Herbal,fitne,,"Beverages and beverages preparations, Beverage preparations, Herbal teas, en:teas",https://images.openfoodfacts.org/images/products/885/036/901/4345/front_fr.6.400.jpg,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,likely_genuine_outlier_cluster
BENELUX,beverages,carbs_g_100g,P0-P1,bottom,87333824,Sport Water lemon,unknown,,"Boissons,Eaux,Boisson diététique pour le sport",https://images.openfoodfacts.org/images/products/000/008/733/3824/front_fr.4.400.jpg,0.0,valid,,,likely_genuine_outlier_cluster
BENELUX,beverages,carbs_g_100g,P0-P1,bottom,735346,Thé Earl Grey Empress,marks & spencer,Marks & Spencer,"Aliments et boissons à base de végétaux, Boissons, Boissons chaudes, Boissons à base de végétaux, Thés, Infusions, Thés noirs, Thés aromatisés, Thés noirs aromatisés, Thés à la bergamote, Thés noirs aromatisés à la bergamote",https://images.openfoodfacts.org/images/products/000/000/073/5346/front_fr.33.400.jpg,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,likely_genuine_outlier_cluster
BENELUX,beverages,carbs_g_100g,P0-P1,bottom,5411188114581,Drink Mandel Ungesüsst Bio,provamel,,"Boissons et préparations de boissons,Aliments et boissons à base de végétaux,Boissons,Aliments d'origine végétale,Substituts de produits laitiers,Substituts du lait,Fruits à coques et dérivés,Boissons à base de végétaux,Boissons végétales,Boissons végétales de fruits à coque,Laits d'amande",https://images.openfoodfacts.org/images/products/541/118/811/4581/front_de.76.400.jpg,0.0,valid,,,likely_genuine_outlier_cluster
BENELUX,beverages,carbs_g_100g,P0-P1,bottom,4012824402898,Thé de Noël,yogi tea,,"Aliments et boissons à base de végétaux, Boissons, Aliments festifs, Boissons chaudes, Boissons à base de végétaux, Aliments et boissons de Noël, Thés, Infusions, Boissons sans sucre ajouté",https://images.openfoodfacts.org/images/products/401/282/440/2898/front_fr.4.400.jpg,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,likely_genuine_outlier_cluster
BENELUX,beverages,carbs_g_100g,P0-P1,bottom,5055953902999,Thé coco passion,twining,,"Aliments et boissons à base de végétaux, Boissons, Boissons chaudes, Boissons à base de végétaux, Thés, Thé coco passion",https://images.openfoodfacts.org/images/products/505/595/390/2999/front_fr.4.400.jpg,0.0,valid,,,likely_genuine_outlier_cluster
