region,category,metric,tail_band,tail_direction,record_count,median_metric_value_in_band,min_metric_value_in_band,max_metric_value_in_band,top_product_name_tokens,top_brands,top_off_categories,top_product_examples,suggested_pattern_label,,
BENELUX,beverages,carbs_g_100g,P0-P1,bottom,19,0,0,0,thé (5) | eau (4) | source (4) | pukka (3) | cristaline (3) | water (2) | sachets (2) | tisane (1) | amour (1) | relax (1),pukka (3) | cristaline (3) | bar-le-duc (1) | saskia (1) | fitne (1) | unknown (1) | marks & spencer (1) | provamel (1),Boissons (14) | Aliments et boissons à base de végétaux (8) | Boissons à base de végétaux (8) | Boissons chaudes (6) | Eaux (6) | Thés (5) | Infusions (5) | Eaux de sources (5),5060229013675: Tisane Bio Amour Pukka (0) | 5060229013668: Pukka Relax (0) | 87222913: Bar-le-Duc plate (0) | 20022969: Natural mineral water (0) | 8850369014345: Herbal (0) | 87333824: Sport Water lemon (0) | 735346: Thé Earl Grey Empress (0) | 5411188114581: Drink Mandel Ungesüsst Bio (0),likely_genuine_outlier_cluster,,
BENELUX,beverages,carbs_g_100g,P10-P20,bottom,182,0,0,0.3,eau (36) | naturelle (18) | minérale (17) | spa (15) | cola (15) | zero (12) | perrier (12) | thé (12) | citron (11) | coca (11),spa (19) | coca-cola (14) | perrier (14) | nestle (9) | chaudfontaine (6) | twinings (6) | vittel (5) | pepsi (4),Boissons (102) | Eaux (48) | Beverages (45) | Boissons gazeuses (36) | Eaux de sources (34) | Aliments et boissons à base de végétaux (33) | Eaux minérales (32) | Boissons sans sucre ajouté (29),3502110009357: Pepsi Max (0) | 3502110000651: Pepsi Zéro sucres 50 cl (0) | 3476220000316: DE MONTAGNE (THE MOUNTAIN) (0) | 3434890000036: Eau (0) | 3422150000520: Vin chaud (0) | 5449000233295: Zero calories Zero caffeine Zerosugar (0) | 5449000228673: Fusion framboise et citron (0) | 5449000228642: Fusion : citron menthe (0),normal_category_tail,,
BENELUX,beverages,carbs_g_100g,P1-P5,bottom,72,0,0,0,eau (14) | thé (9) | minérale (7) | naturelle (7) | zero (6) | coca (5) | cola (5) | sugar (5) | pure (5) | life (5),la fourche (6) | coca-cola (5) | nestle (5) | carrefour (4) | chaudfontaine (4) | pukka (3) | rocheval (3) | twinings (3),Boissons (40) | Beverages (19) | Aliments et boissons à base de végétaux (13) | Boissons chaudes (12) | Boissons à base de végétaux (12) | Boissons édulcorées (11) | Waters (11) | Boissons gazeuses (10),"90331060: Coca Cola Light Limon (0) | 90162800: Red bull sugar free (0) | 90433252: The lime edition sugarfree (0) | 90357725: Coca-cola zéro (0) | 90357473: Cocacola mini zero sugar (0) | 17001233: Eau pure life (0) | 680275029151: Green tea (0) | 5060229013866: Infusion Pomme Sauvage, Cannelle Et Gingembre Bio (0)",normal_category_tail,,
BENELUX,beverages,carbs_g_100g,P5-P10,bottom,91,0,0,0,zero (23) | eau (19) | coca (15) | cola (13) | minérale (9) | evian (9) | naturelle (8) | pet (7) | citron (7) | sugar (6),coca-cola (18) | evian (11) | badoit (9) | chaudfontaine (5) | volvic (5) | schweppes (4) | sprite (3) | hepar (3),Boissons (48) | Eaux (32) | Beverages (27) | Sodas (27) | Boissons gazeuses (27) | Eaux de sources (25) | Eaux minérales (25) | Eaux minérales naturelles (16),"5449000106704: Sprite zero sugar (0) | 5449000080806: Zero Sugar (0) | 5449000061515: Ciel (0) | 5449000053565: Coca Cola Light (0) | 5449000050212: Coca light 1.5l (0) | 5449000111678: Chaudfontaine (0) | 5449000110039: Sprite Zero 1,5L (0) | 5449000109613: Sprite Zero (0)",likely_genuine_outlier_cluster,,
BENELUX,beverages,carbs_g_100g,P80-P90,top,182,11.35,10.8,12.8,jus (43) | pomme (27) | smoothie (20) | orange (19) | mango (12) | energy (11) | ananas (10) | red (10) | bull (9) | apple (9),delhaize (19) | carrefour (14) | innocent (11) | red bull (10) | minute maid (9) | fanta (8) | albert heijn (8) | tropicana (7),Boissons (108) | Aliments et boissons à base de végétaux (76) | Boissons à base de végétaux (73) | Boissons aux fruits (64) | Jus et nectars (55) | Jus de fruits (52) | Beverages (37) | Boissons avec sucre ajouté (27),"5400113529743: Jus de pomme et mangue (12.8) | 5400113529699: Jus multifruits (12.8) | 5410188035476: Multifruit Bio 100% pur fruit pressé (12.8) | 54051157: Chocolate (12.7) | 3503780001962: Pear (12.6) | 8710398521682: Rockstar orig mid cal 500ml (144x12 (12.5) | 20920661: Pink Guava drink (12.5) | 4002160265004: Williams Christ Birne, Birne (12.5)",normal_category_tail,,
BENELUX,beverages,carbs_g_100g,P90-P95,top,91,17,12.81,42.6,jus (11) | capsules (10) | espresso (10) | pomme (9) | starbucks (9) | smoothie (8) | nespresso (8) | super (5) | café (5) | raisin (4),carrefour (8) | starbucks (8) | delhaize (6) | innocent (4) | nestle (3) | bellarom (3) | nescafe (3) | unknown (2),Boissons (55) | Aliments et boissons à base de végétaux (43) | Cafés (24) | Aliments d'origine végétale (23) | Boissons chaudes (23) | Dosettes (22) | Cafés en dosettes (22) | Boissons à base de végétaux (20),"7613036600996: Espresso intense aroma (42.6) | 4056489440628: Freeze Dried Instant Coffee (42.6) | 3560070319961: Espresso (42.6) | 7613036394109: Gold (42.5) | 7613036943765: STARBUCKS by NESCAFE DOLCE GUSTO Caramel Macchiato 127,8g (41.7) | 5400113568728: Lungo 05 café Capsules (40.2) | 7613036961820: STARBUCKS By Nespresso Espresso Roast Décaféiné 10 capsules (40.2) | 7613036958967: STARBUCKS By Nespresso Caffè Verona 10 capsules (40.2)",normal_category_tail,,
BENELUX,beverages,carbs_g_100g,P95-P99,top,72,73.5,48,82,sirop (26) | grenadine (13) | menthe (6) | chicorée (4) | cappuccino (4) | vodka (4) | nesquik (4) | violette (3) | café (2) | caramel (2),carrefour (9) | nestle (8) | teisseire (7) | delhaize (6) | bellarom (4) | monin (3) | nescafe (2) | vodka templar (2),Boissons (48) | Sirops (25) | Sirops aromatisés (25) | Boissons avec sucre ajouté (17) | Beverages (14) | Boissons instantanées (13) | Sirops de grenadine (11) | Boissons et préparations de boissons (8),8711596001075: Bambu (82) | 5400247063830: Sirop d'Orange (81.5) | 7612100801307: Caotina Original (81.3) | 7612100019184: Caotina original (81.3) | 5410233720005: Hemo (81) | 3092713001303: Sirop de Fruits Grenadine (81) | 3092713005196: Mega Grenadine (81) | 3092713005042: Sirop Grenadine (81),likely_category_scope_noise,,
BENELUX,beverages,carbs_g_100g,P99-P100,top,19,84,82,99,sirop (9) | grenadine (4) | instant (2) | fraise (1) | boisson (1) | céréales (1) | etna (1) | saintes (1) | vierges (1) | guimauve (1),teisseire (3) | carrefour (2) | pressade (2) | cereal (1) | etna chocolade (1) | la maison guiot (1) | monin (1) | terrasana (1),Boissons (13) | Sirops (8) | Sirops aromatisés (8) | Beverages (4) | Sirops de grenadine (3) | Sirops de fraise (2) | Beverages and beverages preparations (2) | Plant-based foods and beverages (2),8888296019010: Instant Ginger Drink x (180g) (99) | 7613031513000: Nesquik Strawberry 300gr (97.6) | 4052700001074: Teegetränk 🍋 (94.7) | 7640110704707: Pure Via (93.9) | 3583787691113: Iso peach (91) | 7894321711263: Toddy Original (90) | 5411788003636: Yannoh Instant Original (86.8) | 3092718611187: Sirop de framboise (85),likely_genuine_outlier_cluster,,
BENELUX,beverages,carbs_g_per_100kcal,P0-P1,bottom,17,0,0,0,zero (10) | coca (5) | cola (5) | thé (3) | sprite (3) | vert (2) | sugar (2) | pepsi (1) | max (1) | zuccheri (1),coca-cola (6) | twinings (3) | sprite (3) | pepsi (1) | red bull (1) | freeway (1) | teisseire (1) | chaudfontaine (1),Sodas (10) | Boissons (8) | Beverages (6) | Carbonated drinks (5) | Artificially sweetened beverages (5) | Boissons gazeuses (4) | Boissons édulcorées (4) | Boissons light (4),"5410188023619: Pepsi MAX (0) | 5449000169358: Coca-Cola Zero zuccheri Zero caffeina (0) | 90433252: The lime edition sugarfree (0) | 20229184: Freeway Citron 0%, Limonade (0) | 5449000154750: Popular Product Today Only Coca Cola Zero 15 x (0) | 50414352: Sirop de grenadine (0) | 5055953900124: thé vert jasmin (0) | 5055953900117: Twinning Thé Vert Menthe (0)",likely_genuine_outlier_cluster,,
BENELUX,beverages,carbs_g_per_100kcal,P10-P20,bottom,162,8.0625,1.6471,11.3043,boisson (13) | lait (12) | capsules (12) | coco (11) | amande (11) | starbucks (11) | coconut (10) | espresso (9) | milk (8) | soja (8),alpro (15) | carrefour (8) | starbucks (8) | la fourche (5) | delhaize (5) | nescafe (5) | provamel (5) | nestle (5),Boissons (100) | Aliments et boissons à base de végétaux (71) | Aliments d'origine végétale (60) | Boissons à base de végétaux (43) | Substituts de produits laitiers (36) | Substituts du lait (36) | Boissons végétales (35) | Boissons et préparations de boissons (33),3760324840153: Lait de coco (1.65) | 5400113511168: Coconut milk (1.65) | 3701269706418: Lait de coco 400 mL + équitable (1.72) | 8850367992331: Coconut Milk (1.74) | 5400164175067: Coconut milk (1.76) | 4002359654688: Crema di cocco (1.79) | 5412093130185: Guinea's lait de coco (1.8) | 8710605096170: COCONUT MILK (1.83),likely_category_scope_noise,,
