barcode,product_name,brand,company,region,category,image_url,energy_kcal_100g,protein_g_100g,carbs_g_100g,fat_g_100g,sugars_g_100g,saturated_fat_g_100g,fiber_g_100g,salt_g_100g,energy_kcal_macro_calculated_100g,energy_kcal_macro_diff_abs,energy_kcal_macro_diff_pct,protein_g_per_100kcal,carbs_g_per_100kcal,fat_g_per_100kcal,nutrition_quality_status,nutrition_quality_reason,energy_macro_exception_type,beverage_view_segment,include_in_product_explorer,include_in_market_overview_calculations,include_in_market_overview_charts
4698,Rooibos de Noel,aroma zone,,FRANCE,beverages,https://images.openfoodfacts.org/images/products/000/000/000/4698/front_fr.9.400.jpg,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.6,10.0,0.0,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,beverage_preparations_and_alcohol,True,True,True
641753744,The noir parfumé,fauchon,,FRANCE,beverages,https://images.openfoodfacts.org/images/products/000/064/175/3744/front_fr.3.400.jpg,1.0,0.1,0.2,0.0,0.0,0.0,,0.0,1.2000000000000002,-0.20000000000000018,-0.20000000000000018,10.0,20.0,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,beverage_preparations_and_alcohol,True,True,True
1000731686,Infusion fruits rouges 200g,unknown,,FRANCE,beverages,https://images.openfoodfacts.org/images/products/000/100/073/1686/front_fr.3.400.jpg,2.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,beverage_preparations_and_alcohol,True,True,True
1002035042,Boisson chocolatée végétale à l'avoine,unknown,,FRANCE,beverages,https://images.openfoodfacts.org/images/products/000/100/203/5042/front_fr.3.400.jpg,96.0,2.3,12.0,2.5,9.0,0.4,1.6,0.16,79.7,16.299999999999997,0.16979166666666665,2.395833333333333,12.5,2.604166666666667,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted,small_absolute_kcal_gap_le20,ready_to_drink_beverages,True,True,True
1002104096,Kombucha,unknown,,FRANCE,beverages,https://images.openfoodfacts.org/images/products/000/100/210/4096/front_fr.3.400.jpg,2.0,0.0,0.2,0.0,0.0,0.0,,0.001,0.8,1.2,0.6,0.0,10.0,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,ready_to_drink_beverages,True,True,True
1002873256,Infusion,lipton,LIPTON Teas and Infusions,FRANCE,beverages,https://images.openfoodfacts.org/images/products/000/100/287/3256/front_fr.3.400.jpg,4.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,6.5,-2.5,-0.625,0.0,12.5,12.5,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,beverage_preparations_and_alcohol,True,True,True
11707,Unsweet Tea,allsup's,,FRANCE|US_CANADA,beverages,https://images.openfoodfacts.org/images/products/000/000/001/1707/front_en.3.400.jpg,0.20833333333333,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.20833333333333,1.0,0.0,0.0,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,ready_to_drink_beverages,True,True,True
1300650014,Exotic island infusion,unknown,,FRANCE,beverages,https://images.openfoodfacts.org/images/products/000/130/065/0014/front_fr.3.400.jpg,10.0,0.1,0.9,0.5,0.6,0.5,0.0,,8.5,1.5,0.15,1.0,9.0,5.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,beverage_preparations_and_alcohol,True,True,True
30083,Lemonade,sainsbury's,Sainsbury's,UK_IE,beverages,https://images.openfoodfacts.org/images/products/000/000/003/0083/front_en.3.400.jpg,15.0,0.5,3.5,0.5,3.5,0.1,,0.03,20.5,-5.5,-0.36666666666666664,3.3333333333333335,23.333333333333332,3.3333333333333335,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,ready_to_drink_beverages,True,True,True
32313,Infusion à froid cerise et cassis,unknown,,FRANCE,beverages,https://images.openfoodfacts.org/images/products/000/000/003/2313/front_fr.3.400.jpg,4.0,0.5,0.9,0.5,0.9,0.1,,,10.1,-6.1,-1.525,12.5,22.5,12.5,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,beverage_preparations_and_alcohol,True,True,True
33034,Thé Rouge Lady,unknown,,FRANCE,beverages,https://images.openfoodfacts.org/images/products/000/000/003/3034/front_fr.3.400.jpg,1.0,0.1,0.2,0.0,0.0,0.0,,0.0,1.2000000000000002,-0.20000000000000018,-0.20000000000000018,10.0,20.0,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,beverage_preparations_and_alcohol,True,True,True
33036,Mon thé super fruit,unknown,,FRANCE,beverages,https://images.openfoodfacts.org/images/products/000/000/003/3036/front_fr.3.400.jpg,1.0,0.1,0.2,0.0,0.0,0.0,,0.0,1.2000000000000002,-0.20000000000000018,-0.20000000000000018,10.0,20.0,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,beverage_preparations_and_alcohol,True,True,True
33041,Thé vert les 8 trésors de chine,unknown,,FRANCE,beverages,https://images.openfoodfacts.org/images/products/000/000/003/3041/front_fr.3.400.jpg,1.0,0.1,0.2,0.0,0.0,0.0,,0.0,1.2000000000000002,-0.20000000000000018,-0.20000000000000018,10.0,20.0,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,beverage_preparations_and_alcohol,True,True,True
33101,The vert parfumé,unknown,,FRANCE,beverages,https://images.openfoodfacts.org/images/products/000/000/003/3101/front_fr.3.400.jpg,1.0,0.1,0.2,0.0,0.0,0.0,,0.0,1.2000000000000002,-0.20000000000000018,-0.20000000000000018,10.0,20.0,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,beverage_preparations_and_alcohol,True,True,True
47381,Thé louis xiv,unknown,,FRANCE,beverages,https://images.openfoodfacts.org/images/products/000/000/004/7381/front_fr.7.400.jpg,1.0,0.1,0.2,0.0,0.0,0.0,,0.0,1.2000000000000002,-0.20000000000000018,-0.20000000000000018,10.0,20.0,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,beverage_preparations_and_alcohol,True,True,True
50678,Diet sparkling fiery ginger beer,m&s,Marks & Spencer,FRANCE|UK_IE,beverages,https://images.openfoodfacts.org/images/products/000/000/005/0678/front_en.6.400.jpg,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.02,1.7000000000000002,-0.7000000000000002,-0.7000000000000002,10.0,10.0,10.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted;alcohol_formula_exception_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10;alcohol_formula_exception_energy_le100,beverage_preparations_and_alcohol,True,True,True
75190,Sparkling Raspberry & Lemon,m&s,Marks & Spencer,FRANCE,beverages,https://images.openfoodfacts.org/images/products/000/000/007/5190/front_en.6.400.jpg,4.0,0.1,1.0,0.1,1.0,0.1,0.1,0.1,5.3,-1.2999999999999998,-0.32499999999999996,2.5,25.0,2.5,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,ready_to_drink_beverages,True,True,True
83324,Ceylon fine tea,unknown,,FRANCE,beverages,https://images.openfoodfacts.org/images/products/000/000/008/3324/front_fr.3.400.jpg,1.0,0.1,0.2,0.0,0.0,0.0,,0.0,1.2000000000000002,-0.20000000000000018,-0.20000000000000018,10.0,20.0,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,beverage_preparations_and_alcohol,True,True,True
87223,Sicilian Lemon Juice,marks & spencer,Marks & Spencer,FRANCE,beverages,https://images.openfoodfacts.org/images/products/000/000/008/7223/front_fr.4.400.jpg,27.0,0.4,2.0,0.01,2.0,0.01,,0.01,9.69,17.310000000000002,0.6411111111111112,1.4814814814814816,7.4074074074074066,0.037037037037037035,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted,small_absolute_kcal_gap_le20,ready_to_drink_beverages,True,True,True
90104,,b'life,,FRANCE,snacks,https://images.openfoodfacts.org/images/products/000/000/009/0104/front_en.17.400.jpg,22.6,0.04,0.62,0.1,0.04,0.0,0.0,0.033,3.54,19.060000000000002,0.8433628318584071,0.17699115044247787,2.743362831858407,0.4424778761061947,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted,small_absolute_kcal_gap_le20,not_beverage,True,True,True
10450064428,The vert du Fujian au jasmin,unknown,,FRANCE,beverages,https://images.openfoodfacts.org/images/products/001/045/006/4428/front_fr.3.400.jpg,1.0,0.1,0.2,0.0,0.0,0.0,,0.0,1.2000000000000002,-0.20000000000000018,-0.20000000000000018,10.0,20.0,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,beverage_preparations_and_alcohol,True,True,True
11110038173,Organic blueberry strawberry lowfat yogurt tubes,simple truth organic,,US_CANADA,dairies,https://images.openfoodfacts.org/images/products/001/111/003/8173/front_en.7.400.jpg,35.294117647059,1.1764705882353,4.7058823529412,0.58823529411765,4.1176470588235,0.29411764705882,0.0,0.051470588235295,28.82352941176485,6.470588235294148,0.1833333333333333,3.3333333333333335,13.333333333333334,1.6666666666666667,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted,small_absolute_kcal_gap_le20,not_beverage,True,True,True
11110504517,Greek blended nonfat yogurt,unknown,,US_CANADA,dairies,,67.0,10.0,9.33,0.0,4.0,0.0,4.0,0.1425,77.32,-10.319999999999993,-0.15402985074626854,14.925373134328357,13.925373134328359,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted,small_absolute_kcal_gap_le20,not_beverage,True,True,True
11150502771,Organic 2% milk fat cream top blended yogurt,unknown,,US_CANADA,dairies,,71.0,3.53,5.88,2.06,3.53,0.88,0.0,0.1175,56.17999999999999,14.820000000000007,0.20873239436619728,4.971830985915493,8.28169014084507,2.9014084507042255,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted,small_absolute_kcal_gap_le20,not_beverage,True,True,True
11156000325,Green Tea,tetley,,US_CANADA,beverages,https://images.openfoodfacts.org/images/products/001/115/600/0325/front_en.12.400.jpg,5.1,0.0,0.5,0.0,0.0,0.0,0.0,0.0375,2.0,3.0999999999999996,0.6078431372549019,0.0,9.803921568627452,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,beverage_preparations_and_alcohol,True,True,True
114936,Indian Tonic Water,sainsbury's,Sainsbury's,FRANCE|UK_IE,beverages,https://images.openfoodfacts.org/images/products/000/000/011/4936/front_fr.4.400.jpg,20.0,0.5,4.8,0.5,4.8,0.1,,0.01,25.7,-5.699999999999999,-0.285,2.5,24.0,2.5,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,ready_to_drink_beverages,True,True,True
12000213359,Zero Sugar Green Tea Pineapple Mango,lipton,LIPTON Teas and Infusions,US_CANADA,beverages,https://images.openfoodfacts.org/images/products/001/200/021/3359/front_en.19.400.jpg,29.5857988165681,0.0,5.9171597633136,0.0,0.0,0.0,,2.5147928994083,23.6686390532544,5.917159763313702,0.20000000000000276,0.0,19.999999999999932,0.0,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,small_absolute_kcal_gap_le20;beverage_energy_le60_abs_gap_le10,beverage_preparations_and_alcohol,True,True,True
