barcode,product_name,brand,company,region,category,image_url,energy_kcal_100g,protein_g_100g,carbs_g_100g,fat_g_100g,sugars_g_100g,saturated_fat_g_100g,fiber_g_100g,salt_g_100g,energy_kcal_macro_calculated_100g,energy_kcal_macro_diff_abs,energy_kcal_macro_diff_pct,protein_g_per_100kcal,carbs_g_per_100kcal,fat_g_per_100kcal,nutrition_quality_status,nutrition_quality_reason,energy_macro_exception_type,beverage_view_segment,include_in_product_explorer,include_in_market_overview_calculations,include_in_market_overview_charts
131032475,Pain au chocolat pur beurre x10,unknown,,FRANCE,snacks,https://images.openfoodfacts.org/images/products/000/013/103/2475/front_fr.3.400.jpg,422.0,7.3,23.7,23.7,10.0,16.0,,0.92,337.29999999999995,84.70000000000005,0.20071090047393375,1.729857819905213,5.616113744075829,5.616113744075829,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,,not_beverage,True,False,False
2192,madeleines ecrin,bijoux,,FRANCE,snacks,https://images.openfoodfacts.org/images/products/000/000/000/2192/front_fr.4.400.jpg,369.946666666667,3.42653333333333,47.0559,37.0124333333333,32.3159,1.5664,1.496,0.0476213333333334,535.041633333333,-165.09496666666604,-0.4462669393786471,0.9262235997981674,12.719644273048356,10.004802494053179,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,,not_beverage,True,False,False
2509,Leffe,leffe,,FRANCE,beverages,https://images.openfoodfacts.org/images/products/000/000/000/2509/front_fr.19.400.jpg,58.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,58.0,1.0,0.0,0.0,0.0,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,,beverage_preparations_and_alcohol,True,False,False
4424,Thé vert Matcha du Japon,aroma zone,,FRANCE,beverages,https://images.openfoodfacts.org/images/products/000/000/000/4424/front_fr.22.400.jpg,333.0,19.4,40.2,2.4,3.4,0.64,36.9,0.01,260.0,73.0,0.21921921921921922,5.8258258258258255,12.072072072072073,0.7207207207207207,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,,beverage_preparations_and_alcohol,True,False,False
790500025,Bonbons Angry Birds Vert,angry birds,,FRANCE,snacks,https://images.openfoodfacts.org/images/products/000/079/050/0025/front_fr.3.400.jpg,120.0,3.0,15.0,0.0,0.0,0.0,,0.015,72.0,48.0,0.4,2.5,12.5,0.0,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,,not_beverage,True,False,False
22750,MOZZARELLA STICKS,m&s food,,FRANCE|UK_IE,dairies,https://images.openfoodfacts.org/images/products/000/000/002/2750/front_fr.4.400.jpg,616.0,14.4,24.6,16.6,1.5,6.5,1.2,1.26,305.4,310.6,0.5042207792207792,2.3376623376623376,3.9935064935064934,2.694805194805195,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,,not_beverage,True,False,False
8346800025,Peanut butter chocolate flavored advanced nutrition snack bites,slimfast,,FRANCE|US_CANADA,snacks,https://images.openfoodfacts.org/images/products/000/834/680/0025/front_en.4.400.jpg,435.0,17.39,56.52,26.09,26.09,19.57,21.7,0.6525,530.45,-95.45000000000005,-0.21942528735632194,3.9977011494252874,12.993103448275864,5.997701149425287,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,,not_beverage,True,False,False
85014,Keto Granola,unknown,,US_CANADA,cereals,https://images.openfoodfacts.org/images/products/000/000/008/5014/front_en.3.400.jpg,500.0,16.666666666667,26.666666666667,46.666666666667,3.3333333333333,15.0,10.0,0.0,593.3333333333389,-93.33333333333894,-0.1866666666666779,3.3333333333334,5.3333333333334,9.3333333333334,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,,not_beverage,True,False,False
9542461867,Dubai Style Chocolate,lindt,Lindt & Sprüngli,US_CANADA,snacks,https://images.openfoodfacts.org/images/products/000/954/246/1867/front_en.47.400.jpg,533.333333333333,3.0,15.0,11.0,12.0,6.0,0.0,0.0875,171.0,362.33333333333303,0.6793749999999998,0.5625000000000003,2.8125000000000013,2.0625000000000013,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,,not_beverage,True,False,False
9800000555,Kinder bueno Crispy Creamy Chocolate Bar,kinder,Ferrero,US_CANADA,snacks,https://images.openfoodfacts.org/images/products/000/980/000/0555/front_en.39.400.jpg,571.428571428571,4.76190476190476,26.1904761904762,19.047619047619,21.4285714285714,9.52380952380952,0.0,0.566893424036281,295.23809523809484,276.19047619047615,0.4833333333333336,0.8333333333333337,4.583333333333338,3.3333333333333277,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,,not_beverage,True,False,False
