barcode,product_name,brand,company,region,category,image_url,energy_kcal_100g,protein_g_100g,carbs_g_100g,fat_g_100g,sugars_g_100g,saturated_fat_g_100g,fiber_g_100g,salt_g_100g,energy_kcal_macro_calculated_100g,energy_kcal_macro_diff_abs,energy_kcal_macro_diff_pct,protein_g_per_100kcal,carbs_g_per_100kcal,fat_g_per_100kcal,nutrition_quality_status,nutrition_quality_reason,energy_macro_exception_type,beverage_view_segment,include_in_product_explorer,include_in_market_overview_calculations,include_in_market_overview_charts
102081301,Coca cola,coca-cola,Coca-Cola,FRANCE,beverages,https://images.openfoodfacts.org/images/products/000/010/208/1301/front_fr.3.400.jpg,42.0,0.0,10.6,27.0,1.0,0.0,0.0,0.0,285.4,-243.39999999999998,-5.795238095238095,0.0,25.238095238095237,64.28571428571429,data_quality_error,nutrient_density_exceeds_energy_limit,,ready_to_drink_beverages,False,False,False
2312,Tester,cadburies,,US_CANADA,cereals,https://images.openfoodfacts.org/images/products/000/000/000/2312/front_en.3.400.jpg,2121.0,213.0,2312.0,2321.0,0.0002,31.231,23.123,0.1,30989.0,-28868.0,-13.610561056105611,10.042432814710041,109.005186232909,109.42951438000944,data_quality_error,energy_above_900_kcal;nutrient_value_above_100g;macro_mass_balance_exceeds_100g;nutrient_density_exceeds_energy_limit,,not_beverage,False,False,False
1000322695,Croissant,unknown,,FRANCE,snacks,https://images.openfoodfacts.org/images/products/000/100/032/2695/front_fr.3.400.jpg,30.0,8.8,45.0,24.0,5.4,15.0,2.4,1.2,431.2,-401.2,-13.373333333333333,29.333333333333332,150.0,80.0,data_quality_error,nutrient_density_exceeds_energy_limit,,not_beverage,False,False,False
1000827721,Mochi pistache,unknown,,FRANCE,snacks,https://images.openfoodfacts.org/images/products/000/100/082/7721/front_fr.3.400.jpg,253.0,2.0,4.0,5.0,51.0,5.0,0.393590513392858,0.5,69.0,184.0,0.7272727272727273,0.7905138339920948,1.5810276679841897,1.9762845849802373,data_quality_error,sugars_greater_than_carbs,,not_beverage,False,False,False
1000961574,Gocciole extra dark,pavesi,,FRANCE,snacks,https://images.openfoodfacts.org/images/products/000/100/096/1574/front_fr.3.400.jpg,202.0,7.4,62.7,21.7,22.4,8.0,4.3,0.9,475.7,-273.7,-1.3549504950495048,3.663366336633664,31.03960396039604,10.742574257425742,data_quality_error,nutrient_density_exceeds_energy_limit,,not_beverage,False,False,False
1001218326,Ricola,ricola,,FRANCE,snacks,https://images.openfoodfacts.org/images/products/000/100/121/8326/front_fr.3.400.jpg,236.0,0.0,97.0,0.0,0.0,0.0,,,388.0,-152.0,-0.6440677966101694,0.0,41.10169491525424,0.0,data_quality_error,nutrient_density_exceeds_energy_limit,,not_beverage,False,False,False
19101,SHORTBREAD all butter fingers,sainsburys,,FRANCE|UK_IE,snacks,https://images.openfoodfacts.org/images/products/000/000/001/9101/front_en.32.400.jpg,8700.0,6.2,60.5,28.3,14.8,18.5,4.012,0.6,521.5,8178.5,0.9400574712643678,0.07126436781609195,0.6954022988505748,0.3252873563218391,data_quality_error,energy_above_900_kcal,,not_beverage,False,False,False
26970,Basil Pesto Marinated Italian Mozzarella,m&s food,,UK_IE,dairies,https://images.openfoodfacts.org/images/products/000/000/002/6970/front_en.3.400.jpg,149.411764705882,16.9,1.1,23.1,0.2,11.7,1.2,0.001575,279.9,-130.48823529411797,-0.8733464566929175,11.31102362204727,0.7362204724409466,15.46062992125988,data_quality_error,nutrient_density_exceeds_energy_limit,,not_beverage,False,False,False
4500046865,Fruit & Nut Dark Chocolate,sainsbury's,Sainsbury's,UK_IE,snacks,https://images.openfoodfacts.org/images/products/000/450/004/6865/front_en.3.400.jpg,231.9425,2.894546875,40.862459375,45.812,39.8598,0.4903,1.845,0.009173875,587.3360250000001,-355.39352500000007,-1.532248402082413,1.2479588152236007,17.617495446069608,19.751447018118714,data_quality_error,nutrient_density_exceeds_energy_limit,,not_beverage,False,False,False
56434,,unknown,,FRANCE,beverages,https://images.openfoodfacts.org/images/products/000/000/005/6434/front_fr.15.400.jpg,3.0,0.5,0.5,1.0,0.5,0.1,0.5,0.5,13.0,-10.0,-3.3333333333333335,16.666666666666664,16.666666666666664,33.33333333333333,data_quality_error,nutrient_density_exceeds_energy_limit,,ready_to_drink_beverages,False,False,False
74034,Chocolat noisettes,coffea,,FRANCE,snacks,https://images.openfoodfacts.org/images/products/000/000/007/4034/front_fr.4.400.jpg,255.6925,2.2885,52.53015,41.451,52.43975,1.27125,0.464,0.059202,592.3336,-336.64110000000005,-1.3165857426400855,0.8950203858149927,20.54426703951035,16.211269395856352,data_quality_error,nutrient_density_exceeds_energy_limit,,not_beverage,False,False,False
74436,Sablé pomme et châtaignes,unknown,,FRANCE,snacks,https://images.openfoodfacts.org/images/products/000/000/007/4436/front_fr.3.400.jpg,563.0,7.0,63.0,35.0,24.0,22.1,,1.1,595.0,-32.0,-0.056838365896980464,1.2433392539964476,11.190053285968029,6.216696269982238,data_quality_error,macro_mass_balance_exceeds_100g,,not_beverage,False,False,False
8274000078,Extra Ginger Beer,reed's,,FRANCE|US_CANADA,beverages,https://images.openfoodfacts.org/images/products/000/827/400/0078/front_en.22.400.jpg,39.4366197183099,0.0,10.1408450704225,0.0,9.85915492957746,0.003076171875,0.31171875,0.0035211267605633,40.56338028169,-1.1267605633801026,-0.028571428571424,0.0,25.7142857142856,0.0,data_quality_error,saturated_fat_greater_than_fat,,beverage_preparations_and_alcohol,False,False,False
8274000139,All natural caribbean style ginger beer,unknown,,FRANCE|US_CANADA,beverages,https://images.openfoodfacts.org/images/products/000/827/400/0139/front_fr.4.400.jpg,15.0,0.0,20.1,0.0,3.94,0.01,0.51953125,0.001,80.4,-65.4,-4.36,0.0,134.0,0.0,data_quality_error,saturated_fat_greater_than_fat;nutrient_density_exceeds_energy_limit,,beverage_preparations_and_alcohol,False,False,False
