review_rank,review_priority_bucket,review_priority_reason,review_suggestion,reviewer_decision,reviewer_note,barcode,product_name,brand,company,region,category,image_url,nutrition_quality_status,nutrition_quality_reason,energy_kcal_100g,energy_kcal_macro_calculated_100g,energy_kcal_macro_diff_abs,energy_kcal_macro_diff_pct,energy_kcal_macro_diff_pct_abs,protein_g_100g,carbs_g_100g,fat_g_100g,sugars_g_100g,saturated_fat_g_100g,fiber_g_100g,salt_g_100g,protein_g_per_100kcal,carbs_g_per_100kcal,fat_g_per_100kcal,include_in_product_explorer,include_in_market_overview_calculations,include_in_market_overview_charts
1,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,4002968001644,Orange fit,tonisssteiner,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/400/296/800/1644/front_fr.17.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,5.0,4.0600000000000005,0.9399999999999996,0.1879999999999999,0.1879999999999999,0.07,0.9,0.02,0.9,0.0,,0.05,1.4,18.0,0.4,True,False,False
2,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,20490355,Freeway Cola Light,freeway,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/000/002/049/0355/front_fr.24.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,1.0,0.8,0.1999999999999999,0.1999999999999999,0.1999999999999999,0.1,0.1,0.0,0.1,0.0,0.1,0.02,10.0,10.0,0.0,True,False,False
3,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,20769475,Green tea natural,lord nelson,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/000/002/076/9475/front_fr.22.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,1.0,0.8,0.1999999999999999,0.1999999999999999,0.1999999999999999,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,20.0,0.0,True,False,False
4,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,20769543,Green tea lemon,nord nelson,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/000/002/076/9543/front_fr.4.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,1.0,0.8,0.1999999999999999,0.1999999999999999,0.1999999999999999,0.0,0.2,0.0,0.1,0.0,,,0.0,20.0,0.0,True,False,False
5,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,27044421,,natural & organic westminster,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/000/002/704/4421/front_nl.25.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,1.0,0.8,0.1999999999999999,0.1999999999999999,0.1999999999999999,0.0,0.2,0.0,0.1,0.0,0.0,0.1,0.0,20.0,0.0,True,False,False
6,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,3124480172013,Oasis Tropical Zéro,oasis,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/312/448/017/2013/front_fr.58.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,7.0,5.6000000000000005,1.3999999999999997,0.1999999999999999,0.1999999999999999,0.1,1.3,0.0,1.2,0.0,0.0,0.04,1.4285714285714286,18.571428571428573,0.0,True,False,False
7,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,8002270666667,SANPELLEGRINO Momenti boisson gazeuse aromatise clémentine pêche 33cl,nestle,Nestlé,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/800/227/066/6667/front_fr.227.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,11.0,8.8,2.1999999999999997,0.1999999999999999,0.1999999999999999,0.0,2.2,0.0,2.2,0.0,0.0,0.0,0.0,20.0,0.0,True,False,False
8,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,3585810084213,White Belllini tè bianco aromatizzato alla pesca e albicocca,kusmi tea,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/358/581/008/4213/front_it.16.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,1.0,1.2000000000000002,-0.2000000000000001,-0.2000000000000001,0.2000000000000001,0.1,0.2,0.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,True,False,False
9,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,3700111085442,Epicerie / Thé Bio Et équitable / Thé Vert,destination,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/370/011/108/5442/front_fr.3.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,1.0,1.2000000000000002,-0.2000000000000001,-0.2000000000000001,0.2000000000000001,0.1,0.2,0.0,0.0,0.0,,0.0,10.0,20.0,0.0,True,False,False
10,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,3700324434600,Thé vert bio fête divine,nature & decouvertes,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/370/032/443/4600/front_fr.3.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,1.0,1.2000000000000002,-0.2000000000000001,-0.2000000000000001,0.2000000000000001,0.1,0.2,0.0,0.0,0.0,,0.0,10.0,20.0,0.0,True,False,False
