region,category,nutrition_quality_status,nutrition_quality_reason,records,total_records,excluded_from_product_explorer_n,excluded_from_market_overview_calculations_n,excluded_from_market_overview_charts_n,records_pct_of_region_category,excluded_from_product_explorer_pct,excluded_from_market_overview_calculations_pct,excluded_from_market_overview_charts_pct
BENELUX,beverages,data_quality_error,nutrient_density_exceeds_energy_limit,61,2374,80,146,146,2.57,3.37,6.15,6.15
BENELUX,beverages,data_quality_error,saturated_fat_greater_than_fat,10,2374,80,146,146,0.42,3.37,6.15,6.15
BENELUX,beverages,data_quality_error,sugars_greater_than_carbs,6,2374,80,146,146,0.25,3.37,6.15,6.15
BENELUX,beverages,data_quality_error,energy_above_900_kcal,1,2374,80,146,146,0.04,3.37,6.15,6.15
BENELUX,beverages,data_quality_error,macro_mass_balance_exceeds_100g;nutrient_density_exceeds_energy_limit,1,2374,80,146,146,0.04,3.37,6.15,6.15
BENELUX,beverages,data_quality_error,nutrient_value_above_100g;macro_mass_balance_exceeds_100g;nutrient_density_exceeds_energy_limit,1,2374,80,146,146,0.04,3.37,6.15,6.15
BENELUX,beverages,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,55,2374,80,146,146,2.32,3.37,6.15,6.15
BENELUX,beverages,energy_macro_inconsistency,energy_macro_difference_15pct_or_more;high_energy_beverage_formula_exception_review,11,2374,80,146,146,0.46,3.37,6.15,6.15
BENELUX,beverages,valid,none,1905,2374,80,146,146,80.24,3.37,6.15,6.15
BENELUX,beverages,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted,286,2374,80,146,146,12.05,3.37,6.15,6.15
BENELUX,beverages,valid,energy_macro_difference_15pct_or_more;alcohol_formula_exception_accepted,14,2374,80,146,146,0.59,3.37,6.15,6.15
BENELUX,beverages,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted,14,2374,80,146,146,0.59,3.37,6.15,6.15
BENELUX,beverages,valid,energy_macro_difference_15pct_or_more;energy_macro_small_absolute_gap_accepted;low_energy_beverage_macro_gap_accepted;alcohol_formula_exception_accepted,9,2374,80,146,146,0.38,3.37,6.15,6.15
BENELUX,cereals,data_quality_error,energy_above_900_kcal,1,545,2,8,8,0.18,0.37,1.47,1.47
BENELUX,cereals,data_quality_error,macro_mass_balance_exceeds_100g;nutrient_density_exceeds_energy_limit,1,545,2,8,8,0.18,0.37,1.47,1.47
BENELUX,cereals,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,6,545,2,8,8,1.1,0.37,1.47,1.47
BENELUX,cereals,valid,none,537,545,2,8,8,98.53,0.37,1.47,1.47
BENELUX,dairies,data_quality_error,nutrient_density_exceeds_energy_limit,13,1865,29,57,57,0.7,1.55,3.06,3.06
BENELUX,dairies,data_quality_error,sugars_greater_than_carbs,10,1865,29,57,57,0.54,1.55,3.06,3.06
BENELUX,dairies,data_quality_error,energy_above_900_kcal,2,1865,29,57,57,0.11,1.55,3.06,3.06
