review_rank,review_priority_bucket,review_priority_reason,review_suggestion,reviewer_decision,reviewer_note,barcode,product_name,brand,company,region,category,image_url,nutrition_quality_status,nutrition_quality_reason,energy_kcal_100g,energy_kcal_macro_calculated_100g,energy_kcal_macro_diff_abs,energy_kcal_macro_diff_pct,energy_kcal_macro_diff_pct_abs,protein_g_100g,carbs_g_100g,fat_g_100g,sugars_g_100g,saturated_fat_g_100g,fiber_g_100g,salt_g_100g,protein_g_per_100kcal,carbs_g_per_100kcal,fat_g_per_100kcal,include_in_product_explorer,include_in_market_overview_calculations,include_in_market_overview_charts,scenario_c2_reinclude,scenario_c2_rule,scenario_c2_proposed_treatment,scenario_c2_review_status,scenario_c2_rationale
55,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,5000281016283,Caol Ila 12 Year Old,caol ila,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/500/028/101/6283/front_fr.11.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,239.0,0.4,238.6,0.998326359832636,0.998326359832636,0.0,0.1,0.0,0.096,0.0,0.0,0.0,0.0,0.0418410041841004,0.0,True,False,False,False,,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by guarded Scenario C2 re-inclusion rules; remains excluded by default pending review.
125,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,3147690061007,Poliakov,poliakov,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/314/769/006/1007/front_fr.5.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,207.0,0.0,207.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,True,False,False,False,,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by guarded Scenario C2 re-inclusion rules; remains excluded by default pending review.
126,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,3147690089803,Porto Cruz blanc,porto cruz,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/314/769/008/9803/front_fr.12.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,660.1,0.0,660.1,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,True,False,False,False,,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by guarded Scenario C2 re-inclusion rules; remains excluded by default pending review.
127,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,3245414819917,Côte du Rhône Village,caves d'augustin florent,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/324/541/481/9917/front_fr.21.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,660.1,0.0,660.1,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,True,False,False,False,,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by guarded Scenario C2 re-inclusion rules; remains excluded by default pending review.
128,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,3592681531074,Château de Ribebon,unknown,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/359/268/153/1074/front_fr.10.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,660.1,0.0,660.1,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,True,False,False,False,,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by guarded Scenario C2 re-inclusion rules; remains excluded by default pending review.
129,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,5011007025410,Jameson caskmates,jameson,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/501/100/702/5410/front_fr.3.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,660.1,0.0,660.1,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,True,False,False,False,,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by guarded Scenario C2 re-inclusion rules; remains excluded by default pending review.
130,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,5410228220480,Bière blonde,jupiler,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/541/022/822/0480/front_fr.7.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,660.1,0.0,660.1,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,True,False,False,False,,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by guarded Scenario C2 re-inclusion rules; remains excluded by default pending review.
131,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,8711406186190,Urthel Samaranth 11.5% Donker 33 CL Fles,urthel,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/871/140/618/6190/front_fr.14.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,660.1,0.0,660.1,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,True,False,False,False,,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by guarded Scenario C2 re-inclusion rules; remains excluded by default pending review.
145,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,5000281021621,The Singleton Single Malt Scotch Whisky Of Dufftown,dufftown distillery,,BENELUX|FRANCE|DACH,beverages,https://images.openfoodfacts.org/images/products/500/028/102/1621/front_fr.20.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,222.0,0.4,221.6,0.9981981981981982,0.9981981981981982,0.0,0.1,0.0,,,,,0.0,0.045045045045045,0.0,True,False,False,False,,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by guarded Scenario C2 re-inclusion rules; remains excluded by default pending review.
146,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,5010103800259,Rare blended scotch whisky,jb,,BENELUX|FRANCE|DACH,beverages,https://images.openfoodfacts.org/images/products/501/010/380/0259/front_fr.6.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,222.0,0.4,221.6,0.9981981981981982,0.9981981981981982,0.0,0.1,0.0,0.096,0.0,0.0,0.0,0.0,0.045045045045045,0.0,True,False,False,False,,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by guarded Scenario C2 re-inclusion rules; remains excluded by default pending review.
