barcode,product_name,brands,primary_brand,query_category,off_categories,countries,observed_market_region_codes,image_url,energy_kcal_off_raw,energy_kcal,fat_100g_off_raw,fat_100g,saturated_fat_100g_off_raw,saturated_fat_100g,carbs_100g_off_raw,carbs_100g,sugars_100g_off_raw,sugars_100g,fiber_100g_off_raw,fiber_100g,protein_100g_off_raw,protein_100g,salt_100g_off_raw,salt_100g,nutrition_quality_status,outlier_type,include_in_product_table,include_in_aggregates,include_in_charts,nutrition_quality_reason
2312,Tester,cadburies,cadburies,cereals,"en:breakfast-cereals, en:meats",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/000/000/000/2312/front_en.3.400.jpg,2121.0,,2321.0,,31.231,31.231,2312.0,,0.0002,0.0002,23.123,23.123,213.0,,0.1,0.1,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
19101,SHORTBREAD all butter fingers,sainsburys,sainsburys,snacks,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits, Shortbread cookies, Shortbread",en:france|en:united-kingdom,FRANCE|UK_IE,https://images.openfoodfacts.org/images/products/000/000/001/9101/front_en.32.400.jpg,8700.0,,28.3,28.3,18.5,18.5,60.5,60.5,14.8,14.8,4.012,4.012,6.2,6.2,0.6,0.6,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
10700708106,Peanut Caramel Bar,payday,payday,snacks,"Snacks, Sweet snacks, Confectioneries",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/070/070/8106/front_en.7.400.jpg,1000.0,,27.5,27.5,5.0,5.0,52.5,52.5,40.0,40.0,5.0,5.0,12.5,12.5,0.53125,0.53125,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
12000240751,Baja Cabo Citrus,mountain dew,mountain dew,beverages,"en:beverages-and-beverages-preparations,en:beverages,en:carbonated-drinks,en:sodas,en:colas,en:cola-with-sugar,en:cola-with-sugar-and-without-caffeine",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/200/024/0751/front_en.9.400.jpg,1400.0,,0.0,0.0,0.0,0.0,,,370.0,,0.0,0.0,0.0,0.0,1.1875,1.1875,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
13499900379,Fresh Goat Cheese,schnucks,schnucks,dairies,Goat cheeses,en:united-states,US_CANADA,,943.964285714286,,76.5357142857143,76.5357142857143,51.0357142857143,51.0357142857143,12.75,12.75,0.0,0.0,0.0,0.0,51.0357142857143,51.0357142857143,0.0036696428571428,0.0036696428571428,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
14100074816,Milano Raspberry Chocolate,pepperidge farm,pepperidge farm,snacks,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits",en:mexico|en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/410/007/4816/front_en.49.400.jpg,1625.0,,28.0,28.0,16.0,16.0,60.0,60.0,36.0,36.0,4.0,4.0,4.0,4.0,0.35,0.35,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
16000171091,Golden Grahams Cereal,golden grahams,golden grahams,cereals,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Extruded cereals, en:cereals-with-caramel",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/600/017/1091/front_en.29.400.jpg,937.5,,5.0,5.0,0.0,0.0,85.0,85.0,30.0,30.0,5.0,5.0,5.0,5.0,1.8125,1.8125,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
16000185173,Strawberry Banana Cheerios,cheerios,cheerios,cereals,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, extruded cereals",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/600/018/5173/front_en.27.400.jpg,1022.64426588751,,18.2615047479912,18.2615047479912,0.0,0.0,219.138056975895,,80.3506208911614,80.3506208911614,21.9138056975895,21.9138056975895,21.9138056975895,21.9138056975895,2.92184075967859,2.92184075967859,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
16000186217,Coconut Almond Granola,:ratio,:ratio,cereals,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/600/018/6217/front_en.24.400.jpg,1875.0,,37.037037037037,37.037037037037,11.1111111111111,11.1111111111111,25.9259259259259,25.9259259259259,3.7037037037037,3.7037037037037,14.8148148148148,14.8148148148148,29.6296296296296,29.6296296296296,1.15740740740741,1.15740740740741,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
16000227835,Bluey Cereal,general mills,general mills,cereals,en:breakfast-cereals,en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/001/600/022/7835/front_en.11.400.jpg,937.5,,6.25,6.25,0.0,0.0,212.5,,25.0,25.0,18.75,18.75,18.75,18.75,2.8125,2.8125,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
