sample_region_code,sample_category,target_difference_pct,distance_from_target_pct,barcode,product_name,brands,primary_brand,query_category,observed_market_region_codes,countries,image_url,energy_kcal_off_raw,calculated_energy_kcal_from_macros_off_raw,energy_difference_abs_off_raw,energy_difference_pct_off_raw,fat_100g_off_raw,carbs_100g_off_raw,protein_100g_off_raw,saturated_fat_100g_off_raw,sugars_100g_off_raw,fiber_100g_off_raw,salt_100g_off_raw,nutrition_quality_reason,reviewer_decision,reviewer_note
FRANCE,beverages,15,1.6458333333333286,5201127032348,ΣΟΚΟΛΆΤΑ ΥΓΕΊΑΣ ΑΜΥΓΔΆΛΟΥ ΣΤΕΒΙΑ,ιον,,beverages,FRANCE,en:france,https://images.openfoodfacts.org/images/products/520/112/703/2348/front_el.14.400.jpg,480.0,559.9,79.89999999999998,16.64583333333333,33.5,60.0,4.6,16.7,3.6,,0.102,energy_inconsistent_with_macros,,
FRANCE,beverages,20,0.0,7622300559991,tang orange 19g,"mondelez international, tang",mondelez,beverages,FRANCE,en:france,https://images.openfoodfacts.org/images/products/762/230/055/9991/front_en.30.400.jpg,400.0,320.0,80.0,20.0,0.0,80.0,0.0,0.0,60.0,16.0,2.25,energy_inconsistent_with_macros,,
FRANCE,beverages,30,0.03058103975535076,3564700338964,Cream liqueur 17°,"marque repère, baird's",marque repere,beverages,FRANCE,en:france,https://images.openfoodfacts.org/images/products/356/470/033/8964/front_fr.7.400.jpg,327.0,229.0,98.0,29.96941896024465,13.0,25.0,3.0,,,,0.0,energy_inconsistent_with_macros,,
FRANCE,cereals,15,0.27777777777778034,3701269708955,Granola bio Chocolat & Cacahuète,greenweez,greenweez,cereals,FRANCE,en:france,https://images.openfoodfacts.org/images/products/370/126/970/8955/front_en.3.400.jpg,504.0,427.0,77.0,15.27777777777778,19.8,51.1,11.1,4.0,15.1,7.5,0.02,energy_inconsistent_with_macros,,
FRANCE,cereals,20,0.2685421994884898,3421557501678,Muesli aux Fruits,terres et céréales,terres et cereales,cereals,FRANCE,en:france,https://images.openfoodfacts.org/images/products/342/155/750/1678/front_fr.9.400.jpg,391.0,311.75,79.25,20.26854219948849,2.95,63.3,8.0,1.3,21.4,11.3,0.09,energy_inconsistent_with_macros,,
FRANCE,cereals,30,0.14285714285714235,3222477371811,Son d'avoine biologique,"casino, casino bio",casino,cereals,FRANCE,en:france,https://images.openfoodfacts.org/images/products/322/247/737/1811/front_fr.12.400.jpg,280.0,195.6,84.4,30.142857142857142,4.4,24.0,15.0,0.8,2.5,42.0,0.03,energy_inconsistent_with_macros,,
FRANCE,dairies,15,0.2564102564102555,5201953000160,Fromage Manouri au lait de brebis,choice ab,choice ab,dairies,BENELUX|FRANCE,en:belgium|en:france,https://images.openfoodfacts.org/images/products/520/195/300/0160/front_fr.3.400.jpg,546.0,462.7,83.30000000000001,15.256410256410255,47.5,1.4,7.4,34.7,0.7,0.0,2.1,energy_inconsistent_with_macros,,
FRANCE,dairies,20,0.0,8002004284020,BiraghIGPetali sottili,biraghi,biraghi,dairies,FRANCE,en:bulgaria|en:france,https://images.openfoodfacts.org/images/products/800/200/428/4020/front_fr.11.400.jpg,522.5,418.0,104.5,20.0,30.0,0.0,37.0,21.0,0.0,0.0,1.8,energy_inconsistent_with_macros,,
FRANCE,dairies,30,0.0,3564700014646,Emmental râpé,les croisés,les croises,dairies,BENELUX|FRANCE,en:belgium|en:france,https://images.openfoodfacts.org/images/products/356/470/001/4646/front_en.181.400.jpg,530.0,371.0,159.0,30.0,29.0,0.5,27.0,20.0,0.5,0.0,0.8,energy_inconsistent_with_macros,,
FRANCE,snacks,15,0.008976660682229465,3770018415024,Chocolat noir 80% single origine Ile de la Réunion,les cabosses ailées,les cabosses ailees,snacks,FRANCE,en:france,https://images.openfoodfacts.org/images/products/377/001/841/5024/front_fr.3.400.jpg,557.0,640.6,83.60000000000002,15.00897666068223,48.2,43.1,8.6,29.2,20.2,,0.0,energy_inconsistent_with_macros,,
FRANCE,snacks,20,0.0,3329757005043,Chocolat noir & orange,pure via,pure via,snacks,FRANCE,en:france,https://images.openfoodfacts.org/images/products/332/975/700/5043/front_fr.10.400.jpg,410.0,492.0,82.0,20.0,36.0,35.0,7.0,22.0,3.1,17.0,0.09,energy_inconsistent_with_macros,,
FRANCE,snacks,30,0.0369003690036962,3497913444118,Saveur chèvre & piment d'espelette,bret's,bret's,snacks,FRANCE,en:france,https://images.openfoodfacts.org/images/products/349/791/344/4118/front_fr.4.400.jpg,542.0,379.6,162.39999999999998,29.963099630996304,34.0,12.0,6.4,3.1,0.5,5.0,1.3,energy_inconsistent_with_macros,,
UK_IE,beverages,15,9.335260115606928,5060050987237,Coriander Seeds,bodrum,bodrum,beverages,UK_IE,en:united-kingdom,https://images.openfoodfacts.org/images/products/506/005/098/7237/front_en.5.400.jpg,346.0,261.8,84.19999999999999,24.33526011560693,17.8,13.0,12.4,0.97,2.95,41.9,0.088,energy_inconsistent_with_macros,,
UK_IE,beverages,20,9.96941896024465,5011013100156,The Original Irish Cream,baileys,baileys,beverages,BENELUX|NORDICS|FRANCE|DACH|UK_IE|SOUTHERN_EUROPE,en:australia|en:belgium|en:denmark|en:france|en:germany|en:ireland|en:italy|en:spain|en:switzerland|en:united-kingdom,https://images.openfoodfacts.org/images/products/501/101/310/0156/front_en.155.400.jpg,327.0,229.0,98.0,29.96941896024465,13.0,25.0,3.0,1.0,23.0,3.55235,0.1,energy_inconsistent_with_macros,,
UK_IE,beverages,30,1.0986666666663822,5065009432172,Rainbow Dust,space goods,space goods,beverages,UK_IE,en:united-kingdom,https://images.openfoodfacts.org/images/products/506/500/943/2172/front_en.4.400.jpg,313.695028680689,411.25,97.554971319311,31.098666666666382,11.25,52.5,25.0,0.0,41.25,,0.75,energy_inconsistent_with_macros,,
UK_IE,cereals,15,4.977220956719812,405256,Low Sugar Berry Granola,sainsbury's,sainsbury's,cereals,UK_IE,en:united-kingdom,https://images.openfoodfacts.org/images/products/000/000/040/5256/front_en.3.400.jpg,439.0,351.3,87.69999999999999,19.977220956719812,6.5,60.9,12.3,4.3,2.9,8.3,0.03,energy_inconsistent_with_macros,,
UK_IE,cereals,20,0.2702702702702702,5000108763291,Porridge to go,quaker,quaker,cereals,DACH|FRANCE|UK_IE,en:austria|en:france|en:united-kingdom,https://images.openfoodfacts.org/images/products/500/010/876/3291/front_en.21.400.jpg,407.0,324.5,82.5,20.27027027027027,6.9,62.0,3.6,0.8,12.0,10.0,0.29,energy_inconsistent_with_macros,,
UK_IE,cereals,30,0.8664007399699436,3900000001915,Bran Sticks,ceres,ceres,cereals,UK_IE,en:united-kingdom,https://images.openfoodfacts.org/images/products/390/000/000/1915/front_en.3.400.jpg,276.768,196.13552,80.63247999999999,29.133599260030056,4.3336,23.9272,15.35608,0.83328,2.44672,41.7348,0.0328008,energy_inconsistent_with_macros,,
UK_IE,dairies,15,3.9274202898549184,5011037611195,Original,dairygold,dairygold,dairies,FRANCE|UK_IE,en:france|en:ireland,https://images.openfoodfacts.org/images/products/501/103/761/1195/front_en.4.400.jpg,706.774105435672,573.0,133.77410543567203,18.92742028985492,63.0,1.0,0.5,21.0,0.5,0.0,1.34,energy_inconsistent_with_macros,,
UK_IE,dairies,20,0.49217002237136853,4088600040769,Manchego Cheese D.O.P.,specially selected,specially selected,dairies,UK_IE,en:united-kingdom,https://images.openfoodfacts.org/images/products/408/860/004/0769/front_en.17.400.jpg,447.0,355.4,91.60000000000002,20.49217002237137,35.0,0.5,9.6,26.0,0.5,0.5,0.4,energy_inconsistent_with_macros,,
UK_IE,dairies,30,0.32258064516128826,5016049281275,Squeezy burger cheese,,unknown,dairies,UK_IE,en:united-kingdom,https://images.openfoodfacts.org/images/products/501/604/928/1275/front_en.3.400.jpg,868.0,610.4,257.6,29.67741935483871,58.4,9.6,11.6,36.8,4.8,,2.4,energy_inconsistent_with_macros,,
UK_IE,snacks,15,0.973782771535582,1733051,dark chocolate 85%,"sainsbury's taste the difference, sainsbury's",sainsbury's,snacks,UK_IE,en:united-kingdom,https://images.openfoodfacts.org/images/products/000/000/173/3051/front_en.27.400.jpg,534.0,448.7,85.30000000000001,15.973782771535582,40.3,19.0,2.5,40.3,19.0,14.6,0.01,energy_inconsistent_with_macros,,
UK_IE,snacks,20,0.19650655021856167,5060006203916,FLAPJACK Chocolate Flavour Coated,flapjax,flapjax,snacks,SOUTHERN_EUROPE|UK_IE,en:spain|en:united-kingdom,https://images.openfoodfacts.org/images/products/506/000/620/3916/front_en.22.400.jpg,381.666666666667,457.2499999999996,75.58333333333258,19.80349344978144,22.5833333333333,58.8333333333333,4.66666666666667,6.91666666666667,24.0833333333333,,0.6,energy_inconsistent_with_macros,,
UK_IE,snacks,30,0.18281535648992886,8004735107692,Cioccolato Fondente Extra,zaini,zaini,snacks,SOUTHERN_EUROPE|UK_IE,en:italy|en:united-kingdom,https://images.openfoodfacts.org/images/products/800/473/510/7692/front_it.18.400.jpg,729.333333333333,509.19999999999993,220.1333333333331,30.18281535648993,42.4,21.3,10.6,25.4,16.2,,0.02,energy_inconsistent_with_macros,,
US_CANADA,beverages,15,3.666666666666668,50000334803,Vanilla Caramel Zero Sugar Coffee Mate,nestlé,nestle,beverages,FRANCE|DACH|US_CANADA,en:france|en:germany|en:united-states,https://images.openfoodfacts.org/images/products/005/000/033/4803/front_en.5.400.jpg,750.0,610.0,140.0,18.666666666666668,50.0,40.0,0.0,40.0,0.0,0.0,0.75,energy_inconsistent_with_macros,,
