barcode,product_name,brands,primary_brand,query_category,off_categories,countries,observed_market_region_codes,image_url,energy_kcal_off_raw,energy_kcal,fat_100g_off_raw,fat_100g,saturated_fat_100g_off_raw,saturated_fat_100g,carbs_100g_off_raw,carbs_100g,sugars_100g_off_raw,sugars_100g,fiber_100g_off_raw,fiber_100g,protein_100g_off_raw,protein_100g,salt_100g_off_raw,salt_100g,nutrition_quality_status,outlier_type,include_in_product_table,include_in_aggregates,include_in_charts,nutrition_quality_reason,calculated_energy_kcal_from_macros_off_raw,energy_difference_abs_off_raw,energy_difference_pct_off_raw
102081301,Coca cola,coca-cola,coca-cola,beverages,"Boissons, Boissons gazeuses, Sodas, Sodas au cola",en:france,FRANCE,https://images.openfoodfacts.org/images/products/000/010/208/1301/front_fr.3.400.jpg,42.0,,27.0,,0.0,0.0,10.6,10.6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,data_quality_error,data_quality_error,False,False,False,nutrient_density_exceeds_energy_limit|energy_inconsistent_with_macros,285.4,243.39999999999998,579.5238095238095
2192,madeleines ecrin,bijoux,bijoux,snacks,"Snacks, Snacks sucrés, Biscuits et gâteaux, Gâteaux, Gâteaux au chocolat, Madeleines, Madeleines au chocolat",en:france,FRANCE,https://images.openfoodfacts.org/images/products/000/000/000/2192/front_fr.4.400.jpg,369.946666666667,,37.0124333333333,37.0124333333333,1.5664,1.5664,47.0559,47.0559,32.3159,32.3159,1.496,1.496,3.42653333333333,3.42653333333333,0.0476213333333334,0.0476213333333334,data_quality_error,data_quality_error,False,False,False,energy_inconsistent_with_macros,535.041633333333,165.09496666666604,44.62669393786471
2312,Tester,cadburies,cadburies,cereals,"en:breakfast-cereals, en:meats",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/000/000/000/2312/front_en.3.400.jpg,2121.0,,2321.0,,31.231,31.231,2312.0,,0.0002,0.0002,23.123,23.123,213.0,,0.1,0.1,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal|nutrient_value_above_100g|energy_inconsistent_with_macros,30989.0,28868.0,1361.0561056105612
1000322695,Croissant,,unknown,snacks,"Snacks,Snacks sucrés,en:Sweet pastries and pies,Viennoiseries,Croissants,Croissants au beurre",en:france,FRANCE,https://images.openfoodfacts.org/images/products/000/100/032/2695/front_fr.3.400.jpg,30.0,,24.0,,15.0,15.0,45.0,,5.4,5.4,2.4,2.4,8.8,,1.2,1.2,data_quality_error,data_quality_error,False,False,False,nutrient_density_exceeds_energy_limit|energy_inconsistent_with_macros,431.2,401.2,1337.3333333333333
1000827721,Mochi pistache,,unknown,snacks,"Snacks, Desserts, Snacks sucrés, Surgelés, Biscuits et gâteaux, Desserts glacés, Pâtisseries, Mochi",en:france,FRANCE,https://images.openfoodfacts.org/images/products/000/100/082/7721/front_fr.3.400.jpg,253.0,,5.0,5.0,5.0,5.0,4.0,4.0,51.0,,0.393590513392858,0.393590513392858,2.0,2.0,0.5,0.5,data_quality_error,data_quality_error,False,False,False,sugars_greater_than_carbohydrates|energy_inconsistent_with_macros,69.0,184.0,72.72727272727273
1000961574,Gocciole extra dark,pavesi,pavesi,snacks,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits",en:france,FRANCE,https://images.openfoodfacts.org/images/products/000/100/096/1574/front_fr.3.400.jpg,202.0,,21.7,21.7,8.0,8.0,62.7,,22.4,22.4,4.3,4.3,7.4,7.4,0.9,0.9,data_quality_error,data_quality_error,False,False,False,nutrient_density_exceeds_energy_limit|energy_inconsistent_with_macros,475.70000000000005,273.70000000000005,135.49504950495052
1001218326,Ricola,ricola,ricola,snacks,"Snacks, Snacks sucrés, Confiseries, Bonbons, Bonbons durs",en:france,FRANCE,https://images.openfoodfacts.org/images/products/000/100/121/8326/front_fr.3.400.jpg,236.0,,0.0,0.0,0.0,0.0,97.0,,0.0,0.0,,,0.0,0.0,,,data_quality_error,data_quality_error,False,False,False,nutrient_density_exceeds_energy_limit|energy_inconsistent_with_macros,388.0,152.0,64.40677966101694
19101,SHORTBREAD all butter fingers,sainsburys,sainsburys,snacks,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits, Shortbread cookies, Shortbread",en:france|en:united-kingdom,FRANCE|UK_IE,https://images.openfoodfacts.org/images/products/000/000/001/9101/front_en.32.400.jpg,8700.0,,28.3,28.3,18.5,18.5,60.5,60.5,14.8,14.8,4.012,4.012,6.2,6.2,0.6,0.6,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal|energy_inconsistent_with_macros,521.5,8178.5,94.00574712643677
22750,MOZZARELLA STICKS,m&s food,m&s food,dairies,"Dairies, Fermented foods, Fermented milk products, Cheeses, Meat alternatives, Breaded products, Breaded cheeses, Mozzarella sticks",en:france|en:united-kingdom,FRANCE|UK_IE,https://images.openfoodfacts.org/images/products/000/000/002/2750/front_fr.4.400.jpg,616.0,,16.6,16.6,6.5,6.5,24.6,24.6,1.5,1.5,1.2,1.2,14.4,14.4,1.26,1.26,data_quality_error,data_quality_error,False,False,False,energy_inconsistent_with_macros,305.4,310.6,50.422077922077925
26970,Basil Pesto Marinated Italian Mozzarella,m&s food,m&s food,dairies,"Marinated pesto mozzarella, en:cheeses",en:united-kingdom,UK_IE,https://images.openfoodfacts.org/images/products/000/000/002/6970/front_en.3.400.jpg,149.411764705882,,23.1,,11.7,11.7,1.1,1.1,0.2,0.2,1.2,1.2,16.9,16.9,0.001575,0.001575,data_quality_error,data_quality_error,False,False,False,nutrient_density_exceeds_energy_limit|energy_inconsistent_with_macros,279.9,130.48823529411797,87.33464566929176
