parent_company_source,official_brand_name,canonical_brand,brand_key,default_assigned_company,default_relationship_type,regional_exception_flag,exception_region_code,exception_region_name,exception_assigned_company,exception_relationship_type,ownership_resolution_status,market_scope,category_scope,source_1_nestle_official_brand_list,source_2_regional_exception_matrix,notes
Nestlé,Acqua Panna,Acqua Panna,acqua panna,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Aero,Aero,aero,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Alfamino,Alfamino,alfamino,Nestlé,Official Nestlé brand,no,,,,,direct,Global,health_science,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope
Nestlé,Alpo,Alpo,alpo,Nestlé,Official Nestlé brand,no,,,,,direct,Global,petcare,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope
Nestlé,Antica Gelateria Del Corso,Antica Gelateria Del Corso,antica gelateria del corso,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Baci Perugina,Baci Perugina,baci perugina,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Bakers,Bakers,bakers,Nestlé,Official Nestlé brand,no,,,,,direct,Global,petcare,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope
Nestlé,Bear Brand,Bear Brand,bear brand,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Beggin',Beggin',beggin,Nestlé,Official Nestlé brand,no,,,,,direct,Global,petcare,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope
Nestlé,Beneful,Beneful,beneful,Nestlé,Official Nestlé brand,no,,,,,direct,Global,petcare,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope
Nestlé,Beyond,Beyond,beyond,Nestlé,Official Nestlé brand,no,,,,,direct,Global,petcare,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope
Nestlé,Boost,Boost,boost,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Buitoni,Buitoni,buitoni,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Busy Bone,Busy Bone,busy bone,Nestlé,Official Nestlé brand,no,,,,,direct,Global,petcare,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope
Nestlé,Buxton,Buxton,buxton,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Cailler,Cailler,cailler,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Carnation,Carnation,carnation,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list; duplicate listing collapsed to one matrix row
Nestlé,Cat Chow,Cat Chow,cat chow,Nestlé,Official Nestlé brand,no,,,,,direct,Global,petcare,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope
Nestlé,Cerelac,Cerelac,cerelac,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Cheerios,Cheerios,cheerios,Nestlé,Official Nestlé brand,yes,US,United States,General Mills,Trademark / regional owner,market_scoped,US,food_beverage,https://www.nestle.com/brands/brandssearchlist,C:/Users/julia/OneDrive/Desktop/Downloads_temp/nestle_brand_regional_exception_matrix.csv,Exception file assigns Cheerios to General Mills in the US
Nestlé,Cheerios,Cheerios,cheerios,Nestlé,Official Nestlé brand,yes,CA,Canada,General Mills,Trademark / regional owner,market_scoped,Canada,food_beverage,https://www.nestle.com/brands/brandssearchlist,C:/Users/julia/OneDrive/Desktop/Downloads_temp/nestle_brand_regional_exception_matrix.csv,Exception file assigns Cheerios to General Mills in Canada
Nestlé,Cheerios,Cheerios,cheerios,Nestlé,Official Nestlé brand,yes,ROW,Rest of World,Cereal Partners Worldwide (Nestlé/General Mills JV),Joint Venture,market_scoped,Rest of World,food_beverage,https://www.nestle.com/brands/brandssearchlist,C:/Users/julia/OneDrive/Desktop/Downloads_temp/nestle_brand_regional_exception_matrix.csv,Exception file assigns Cheerios ROW to CPW
Nestlé,Chef,Chef,chef,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Chocapic,Chocapic,chocapic,Nestlé,Official Nestlé brand,yes,GLOBAL,Global,Cereal Partners Worldwide (Nestlé/General Mills JV),Joint Venture,market_scoped,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,C:/Users/julia/OneDrive/Desktop/Downloads_temp/nestle_brand_regional_exception_matrix.csv,Exception file assigns Chocapic to CPW
Nestlé,Cini Minis,Cini Minis,cini minis,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Coffee mate,Coffee mate,coffee mate,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Compleat,Compleat,compleat,Nestlé,Official Nestlé brand,no,,,,,direct,Global,health_science,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope
Nestlé,Contrex,Contrex,contrex,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Corn Flakes,Corn Flakes,corn flakes,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Damak,Damak,damak,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Dentalife,Dentalife,dentalife,Nestlé,Official Nestlé brand,no,,,,,direct,Global,petcare,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope
Nestlé,DiGiorno,DiGiorno,digiorno,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Dog Chow,Dog Chow,dog chow,Nestlé,Official Nestlé brand,no,,,,,direct,Global,petcare,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope
Nestlé,Drumstick,Drumstick,drumstick,Nestlé,Official Nestlé brand,yes,GLOBAL,Global,Froneri (Nestlé JV),Joint Venture,market_scoped,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,C:/Users/julia/OneDrive/Desktop/Downloads_temp/nestle_brand_regional_exception_matrix.csv,Exception file assigns Drumstick to Froneri
Nestlé,Erikli,Erikli,erikli,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Essentia,Essentia,essentia,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Extrême,Extrême,extreme,Nestlé,Official Nestlé brand,yes,GLOBAL,Global,Froneri (Nestlé JV),Joint Venture,market_scoped,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,C:/Users/julia/OneDrive/Desktop/Downloads_temp/nestle_brand_regional_exception_matrix.csv,Exception file assigns Extrême to Froneri
Nestlé,Fancy Feast,Fancy Feast,fancy feast,Nestlé,Official Nestlé brand,no,,,,,direct,Global,petcare,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope
Nestlé,Felix,Felix,felix,Nestlé,Official Nestlé brand,no,,,,,direct,Global,petcare,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope
Nestlé,Fitness,Fitness,fitness,Nestlé,Official Nestlé brand,yes,GLOBAL,Global,Cereal Partners Worldwide (Nestlé/General Mills JV),Joint Venture,market_scoped,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,C:/Users/julia/OneDrive/Desktop/Downloads_temp/nestle_brand_regional_exception_matrix.csv,Exception file names this brand Fitness Cereal; official Nestlé A-Z extract names it Fitness
Nestlé,Friskies,Friskies,friskies,Nestlé,Official Nestlé brand,no,,,,,direct,Global,petcare,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope
